actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M39.00S,2026-02-04T00:43:56.5Z,1,REGULAR,freethrow,2 of 2,[],1631222,,,1610612747,3,4,2026-02-04T00:43:56Z,190000,False,,,0,,J. LaRavia Free Throw 2 of 2 (2 PTS),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
20,PT10M27.00S,2026-02-04T00:44:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,93.9060446780552,44.36274509803921,1610612751,5,4,2026-02-04T00:44:19Z,200000,False,-28.0,5.0,1,right,M. Porter Jr. reverse Layup (2 PTS) (N. Claxton 1 AST),"[1629008, 1629651]",1610612751.0,BKN,reverse,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,
22,PT10M09.00S,2026-02-04T00:44:28.0Z,1,REGULAR,2pt,Jump Shot,[],2544,13.354139290407357,74.50980392156863,1610612747,5,6,2026-02-04T00:44:37Z,220000,False,-123.0,73.0,1,left,L. James 14' turnaround fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Left,14.26,Made,2.0,,,,,,,,,,,,,,,
23,PT09M49.00S,2026-02-04T00:44:48.9Z,1,REGULAR,turnover,bad pass,[],1642849,,,1610612751,5,6,2026-02-04T00:44:58Z,230000,False,,,0,,N. Traore bad pass TURNOVER (1 TO),"[1642849, 2544]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,James,2544.0
24,PT09M49.00S,2026-02-04T00:44:48.9Z,1,REGULAR,steal,,[],2544,,,1610612747,5,6,2026-02-04T00:44:52Z,240000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,
25,PT09M44.00S,2026-02-04T00:44:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629028,6.389618922470433,50.0,1610612747,5,8,2026-02-04T00:45:02Z,250000,False,0.0,8.0,1,left,D. Ayton running Layup (2 PTS) (L. James 1 AST),"[1629028, 2544]",1610612747.0,LAL,running,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.76,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,
27,PT09M44.00S,2026-02-04T00:45:02.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,5,8,2026-02-04T00:45:02Z,270000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M29.00S,2026-02-04T00:48:17.9Z,1,REGULAR,foul,personal,['3freethrow'],203935,,,1610612751,5,8,2026-02-04T00:48:34Z,280000,False,,,0,,M. Smart shooting personal FOUL (2 PF) (Porter Jr. 3 FT),"[203935, 1629008]",1610612747.0,LAL,shooting,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,,,,,,,1630886.0,2.0,0.0,Porter Jr.,1629008.0,,,,,,,
30,PT09M29.00S,2026-02-04T00:48:41.8Z,1,REGULAR,freethrow,1 of 3,[],1629008,,,1610612751,6,8,2026-02-04T00:49:07Z,300000,False,,,0,,M. Porter Jr. Free Throw 1 of 3 (3 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
31,PT09M29.00S,2026-02-04T00:48:41.8Z,1,REGULAR,freethrow,2 of 3,[],1629008,,,1610612751,7,8,2026-02-04T00:49:07Z,310000,False,,,0,,M. Porter Jr. Free Throw 2 of 3 (4 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
32,PT09M29.00S,2026-02-04T00:48:41.8Z,1,REGULAR,freethrow,3 of 3,[],1629008,,,1610612751,7,8,2026-02-04T00:49:07Z,320000,False,,,0,,MISS M. Porter Jr. Free Throw 3 of 3,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,
33,PT09M25.00S,2026-02-04T00:48:45.8Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,7,8,2026-02-04T00:49:07Z,330000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,
34,PT09M14.00S,2026-02-04T00:49:21.3Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612747,7,8,2026-02-04T00:49:33Z,340000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (LaRavia 2 FT),"[1629651, 1631222]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,1630886.0,1.0,0.0,LaRavia,1631222.0,,,,,,,
36,PT09M14.00S,2026-02-04T00:49:44.6Z,1,REGULAR,freethrow,1 of 2,[],1631222,,,1610612747,7,8,2026-02-04T00:50:04Z,360000,False,,,0,,MISS J. LaRavia Free Throw 1 of 2,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,Missed,,,,,,,,,,,,,,,,
37,PT09M14.00S,2026-02-04T00:49:44.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,7,8,2026-02-04T00:50:04Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,
38,PT09M14.00S,2026-02-04T00:49:44.6Z,1,REGULAR,freethrow,2 of 2,[],1631222,,,1610612747,7,8,2026-02-04T00:50:04Z,380000,False,,,0,,MISS J. LaRavia Free Throw 2 of 2,[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,,,,Missed,,,,,,,,,,,,,,,,
39,PT09M11.00S,2026-02-04T00:49:47.6Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,7,8,2026-02-04T00:50:04Z,390000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,38.0,1.0,1.0,0.0,,,
40,PT09M00.00S,2026-02-04T00:50:12.1Z,1,REGULAR,3pt,Jump Shot,[],1642856,94.1688567674113,4.166666666666666,1610612751,7,8,2026-02-04T00:50:16Z,400000,False,-229.0,2.0,1,right,MISS E. Dëmin 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,
41,PT08M57.00S,2026-02-04T00:50:15.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,7,8,2026-02-04T00:50:16Z,410000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,40.0,2.0,2.0,0.0,,,
42,PT08M50.00S,2026-02-04T00:50:21.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,32.013797634691194,30.392156862745097,1610612747,7,11,2026-02-04T00:50:52Z,420000,False,98.0,248.0,1,left,L. Dončić 26' 3PT running pullup (5 PTS),[1629029],1610612747.0,LAL,running pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,26.7,Made,5.0,,,,,,,,,,,,,,,
43,PT08M40.00S,2026-02-04T00:50:32.4Z,1,REGULAR,turnover,bad pass,[],1642856,,,1610612751,7,11,2026-02-04T00:50:36Z,430000,False,,,0,,E. Dëmin bad pass TURNOVER (1 TO),"[1642856, 203935]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1.0,Smart,203935.0
44,PT08M40.00S,2026-02-04T00:50:32.4Z,1,REGULAR,steal,,[],203935,,,1610612747,7,11,2026-02-04T00:50:34Z,440000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,
45,PT08M36.00S,2026-02-04T00:50:36.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631222,5.338370565045992,48.28431372549019,1610612747,7,13,2026-02-04T00:50:45Z,450000,False,9.0,-2.0,1,left,J. LaRavia running alley-oop DUNK (4 PTS) (L. James 2 AST),"[1631222, 2544]",1610612747.0,LAL,running alley-oop,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,0.89,Made,4.0,L. James,2544.0,2.0,,,,,,,,,,,,
47,PT08M23.00S,2026-02-04T00:50:49.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642849,88.78120893561103,61.274509803921575,1610612751,7,13,2026-02-04T00:51:14Z,470000,False,56.0,53.0,1,right,MISS N. Traore 7' driving floating Shot,[1642849],1610612751.0,BKN,driving floating,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,7.74,Missed,,,,,,,,,,,,,,,,
48,PT08M23.00S,2026-02-04T00:50:49.0Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,7,13,2026-02-04T00:50:55Z,480000,False,,,0,,L. Dončić REBOUND (Off:0 Def:2),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,47.0,2.0,2.0,0.0,,,
49,PT08M11.00S,2026-02-04T00:51:00.8Z,1,REGULAR,2pt,Jump Shot,[],203935,7.703679369250986,70.83333333333334,1610612747,7,15,2026-02-04T00:57:13Z,490000,False,-104.0,20.0,1,left,M. Smart 10' driving floating Jump Shot (2 PTS) (L. James 3 AST),"[203935, 2544]",1610612747.0,LAL,driving floating,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,10.61,Made,2.0,L. James,2544.0,3.0,,,,,,,,,,,,
51,PT07M43.00S,2026-02-04T00:51:28.8Z,1,REGULAR,2pt,Jump Shot,[],1641730,93.11760840998686,71.07843137254902,1610612751,9,15,2026-02-04T00:51:33Z,510000,False,105.0,12.0,1,right,N. Clowney 10' floating Jump Shot (2 PTS),[1641730],1610612751.0,BKN,floating,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Right,10.61,Made,2.0,,,,,,,,,,,,,,,
52,PT07M34.00S,2026-02-04T00:51:38.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631222,6.1268068331143235,46.81372549019608,1610612747,9,17,2026-02-04T00:58:01Z,520000,False,16.0,5.0,1,left,J. LaRavia driving Layup (6 PTS) (L. Dončić 1 AST),"[1631222, 1629029]",1610612747.0,LAL,driving,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,1.67,Made,6.0,L. Dončić,1629029.0,1.0,,,,,,,,,,,,
54,PT07M20.00S,2026-02-04T00:51:51.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,86.41590013140605,50.49019607843137,1610612751,9,17,2026-02-04T00:52:00Z,540000,False,2.0,75.0,1,right,MISS N. Claxton 7' turnaround Hook,[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,7.52,Missed,,,,,,,,,,,,,,,,
55,PT07M18.00S,2026-02-04T00:51:53.8Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612747,9,17,2026-02-04T00:51:56Z,550000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:1),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,54.0,1.0,1.0,0.0,,,
56,PT07M04.00S,2026-02-04T00:52:08.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,30.17411300919842,34.80392156862745,1610612747,9,17,2026-02-04T00:52:12Z,560000,False,76.0,231.0,1,left,MISS L. Dončić 24' pullup 3PT,[1629029],1610612747.0,LAL,pullup,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,24.33,Missed,,,,,,,,,,,,,,,,
57,PT07M02.00S,2026-02-04T00:52:10.6Z,1,REGULAR,rebound,defensive,[],1642849,,,1610612751,9,17,2026-02-04T00:52:12Z,570000,False,,,0,,N. Traore REBOUND (Off:0 Def:1),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,56.0,1.0,1.0,0.0,,,
58,PT06M59.00S,2026-02-04T00:52:13.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,71.43561103810775,75.0,1610612751,9,17,2026-02-04T00:52:18Z,580000,False,125.0,216.0,1,right,MISS M. Porter Jr. 24' running pullup 3PT,[1629008],1610612751.0,BKN,running pullup,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.96,Missed,,,,,,,,,,,,,,,,
59,PT06M55.00S,2026-02-04T00:52:16.0Z,1,REGULAR,rebound,defensive,[],1631222,,,1610612747,9,17,2026-02-04T00:52:16Z,590000,False,,,0,,J. LaRavia REBOUND (Off:0 Def:2),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,58.0,2.0,2.0,0.0,,,
60,PT06M42.00S,2026-02-04T00:52:32.9Z,1,REGULAR,foul,personal,['2freethrow'],1641730,,,1610612747,9,17,2026-02-04T00:52:45Z,600000,False,,,0,,N. Clowney shooting personal FOUL (1 PF) (Dončić 2 FT),"[1641730, 1629029]",1610612751.0,BKN,shooting,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627534.0,1.0,0.0,Dončić,1629029.0,,,,,,,
62,PT06M42.00S,2026-02-04T00:53:01.6Z,1,REGULAR,freethrow,1 of 2,[],1629029,,,1610612747,9,18,2026-02-04T00:53:01Z,620000,False,,,0,,L. Dončić Free Throw 1 of 2 (6 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
63,PT06M42.00S,2026-02-04T00:53:02.2Z,1,REGULAR,substitution,out,[],1642849,,,1610612747,9,18,2026-02-04T00:53:11Z,630000,False,,,0,,SUB out: N. Traore,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M42.00S,2026-02-04T00:53:02.2Z,1,REGULAR,substitution,out,[],1629028,,,1610612747,9,18,2026-02-04T00:53:11Z,640000,False,,,0,,SUB out: D. Ayton,[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M42.00S,2026-02-04T00:53:02.2Z,1,REGULAR,substitution,out,[],203935,,,1610612747,9,18,2026-02-04T00:53:11Z,650000,False,,,0,,SUB out: M. Smart,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2026-02-04T00:53:02.2Z,1,REGULAR,substitution,in,[],1630533,,,1610612747,9,18,2026-02-04T00:53:11Z,660000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M42.00S,2026-02-04T00:53:02.2Z,1,REGULAR,substitution,in,[],1629216,,,1610612747,9,18,2026-02-04T00:53:11Z,670000,False,,,0,,SUB in: G. Vincent,[1629216],1610612747.0,LAL,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2026-02-04T00:53:02.2Z,1,REGULAR,substitution,in,[],1629637,,,1610612747,9,18,2026-02-04T00:53:11Z,680000,False,,,0,,SUB in: J. Hayes,[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M42.00S,2026-02-04T00:53:25.6Z,1,REGULAR,freethrow,2 of 2,[],1629029,,,1610612747,9,19,2026-02-04T00:53:25Z,690000,False,,,0,,L. Dončić Free Throw 2 of 2 (7 PTS),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
70,PT06M24.00S,2026-02-04T00:53:45.1Z,1,REGULAR,3pt,Jump Shot,[],1642856,74.19513797634691,17.401960784313726,1610612751,9,19,2026-02-04T00:53:51Z,700000,False,-163.0,190.0,1,right,MISS E. Dëmin 25' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,
71,PT06M20.00S,2026-02-04T00:53:49.1Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612751,9,19,2026-02-04T00:53:51Z,710000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,70.0,2.0,1.0,1.0,,,
