actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-04T00:13:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-04T00:13:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-04T00:13:27.8Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2025-11-04T00:13:27Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Claxton: Tip to M. Conley,"[201144, 203497, 1629651]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-11-04T00:13:46.8Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,0,0,2025-11-04T00:13:51Z,70000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1641730]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left,1.0,Clowney,1641730.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-11-04T00:13:46.8Z,1,REGULAR,steal,,[],1641730,,,1610612751,0,0,2025-11-04T00:13:49Z,80000,False,,,0,,N. Clowney STEAL (1 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2025-11-04T00:13:55.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630560,11.645860709592641,58.57843137254902,1610612751,0,0,2025-11-04T00:14:00Z,90000,False,-43.0,57.0,1,left,MISS C. Thomas 7' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,,7.13,Missed,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-11-04T00:13:59.1Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,0,2025-11-04T00:21:11Z,100000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
38,PT11M25.00S,2025-11-04T00:13:57.3Z,1,REGULAR,turnover,lost ball,[],203497,,,1610612750,0,0,2025-11-04T00:35:29Z,105000,False,,,0,,R. Gobert lost ball TURNOVER (1 TO),"[203497, 1630560]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,1.0,Thomas,1630560.0,,,,,,,,,,,,,,,,,
39,PT11M25.00S,2025-11-04T00:13:57.3Z,1,REGULAR,steal,,[],1630560,,,1610612751,0,0,2025-11-04T00:21:53Z,107500,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2025-11-04T00:13:59.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630560,7.440867279894875,50.245098039215684,1610612751,0,0,2025-11-04T00:22:22Z,110000,False,-1.0,17.0,1,left,MISS C. Thomas Layup,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,1.74,Missed,,,,,,,,,,,,,,,
12,PT11M21.00S,2025-11-04T00:14:02.5Z,1,REGULAR,rebound,offensive,[],1630560,,,1610612751,0,0,2025-11-04T00:22:22Z,120000,False,,,0,,C. Thomas REBOUND (Off:1 Def:0),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M21.00S,2025-11-04T00:14:02.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1630560,5.590000152587891,50.0,1610612751,2,0,2025-11-04T00:21:53Z,130000,False,0.0,0.0,1,left,C. Thomas tip Layup (2 PTS),[1630560],1610612751.0,BKN,tip,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,2.0,,,,,,,,,,
15,PT11M13.00S,2025-11-04T00:14:30.5Z,1,REGULAR,turnover,out-of-bounds,[],203497,,,1610612750,2,0,2025-11-04T00:14:39Z,150000,False,,,0,,R. Gobert bad pass out-of-bounds TURNOVER (2 TO),[203497],1610612750.0,MIN,bad pass,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,2.0,,,,,,,,,,1155.0,,,,,,,,,
16,PT11M06.00S,2025-11-04T00:14:44.7Z,1,REGULAR,turnover,out-of-bounds,[],1641730,,,1610612751,2,0,2025-11-04T00:14:50Z,160000,False,,,0,,N. Clowney step out-of-bounds TURNOVER (1 TO),[1641730],1610612751.0,BKN,step,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,1.0,,,,,,,,,,1629177.0,,,,,,,,,
17,PT10M49.00S,2025-11-04T00:15:07.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203944,80.76544021024968,49.754901960784316,1610612750,2,2,2025-11-04T00:18:41Z,170000,False,-1.0,128.0,1,right,J. Randle 12' step back Jump Shot (2 PTS),[203944],1610612750.0,MIN,step back,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,12.83,Made,,,,,2.0,,,,,,,,,,
18,PT10M34.00S,2025-11-04T00:15:22.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,5.995400788436268,51.9607843137255,1610612751,4,2,2025-11-04T00:15:26Z,180000,False,-10.0,4.0,1,left,N. Claxton alley-oop DUNK (2 PTS) (C. Thomas 1 AST),"[1629651, 1630560]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,1.05,Made,,,,,2.0,,C. Thomas,1630560.0,1.0,,,,,,
20,PT10M22.00S,2025-11-04T00:15:37.1Z,1,REGULAR,foul,personal,['2freethrow'],1631213,,,1610612750,4,2,2025-11-04T00:15:51Z,200000,False,,,0,,T. Martin shooting personal FOUL (1 PF) (Gobert 2 FT),"[1631213, 203497]",1610612751.0,BKN,shooting,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1629177.0,,,,1.0,0.0,Gobert,203497.0,,
22,PT10M22.00S,2025-11-04T00:16:10.9Z,1,REGULAR,freethrow,1 of 2,[],203497,,,1610612750,4,3,2025-11-04T00:16:46Z,220000,False,,,0,,R. Gobert Free Throw 1 of 2 (1 PTS),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,,
23,PT10M22.00S,2025-11-04T00:16:10.9Z,1,REGULAR,freethrow,2 of 2,[],203497,,,1610612750,4,3,2025-11-04T00:16:46Z,230000,False,,,0,,MISS R. Gobert Free Throw 2 of 2,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
24,PT10M19.00S,2025-11-04T00:16:13.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,3,2025-11-04T00:16:46Z,240000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT10M09.00S,2025-11-04T00:16:52.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,10.726018396846255,49.01960784313725,1610612751,6,3,2025-11-04T00:16:56Z,250000,False,5.0,48.0,1,left,N. Claxton Hook (4 PTS) (T. Martin 1 AST),"[1629651, 1631213]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,4.85,Made,,,,,4.0,,T. Martin,1631213.0,1.0,,,,,,
27,PT09M58.00S,2025-11-04T00:17:03.0Z,1,REGULAR,3pt,Jump Shot,[],203944,73.80091984231275,81.86274509803921,1610612750,6,3,2025-11-04T00:17:07Z,270000,False,159.0,194.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,,,,25.09,Missed,,,,,,,,,,,,,,,
