actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-20T23:40:51.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-20T23:40:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-20T23:40:54.3Z,1,REGULAR,jumpball,recovered,[],1642849,,,1610612751,0,0,2026-03-20T23:40:54Z,40000,False,,,0,,Jump Ball N. Claxton vs. K. Towns: Tip to N. Traore,"[1642849, 1629651, 1626157]",1610612751.0,BKN,startperiod,N. Traore,1642849.0,Traore,N. Traore,Claxton,1629651.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2026-03-20T23:41:03.2Z,1,REGULAR,turnover,bad pass,[],1642849,,,1610612751,0,0,2026-03-20T23:41:07Z,70000,False,,,0,,N. Traore bad pass TURNOVER (1 TO),"[1642849, 1629013]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Center,1.0,Shamet,1629013.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2026-03-20T23:41:03.2Z,1,REGULAR,steal,,[],1629013,,,1610612752,0,0,2026-03-20T23:41:05Z,80000,False,,,0,,L. Shamet STEAL (1 STL),[1629013],1610612752.0,NYK,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2026-03-20T23:41:07.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628973,4.681340341655716,96.07843137254902,1610612752,0,0,2026-03-20T23:41:31Z,90000,False,-230.0,-8.0,1,left,MISS J. Brunson running 3PT,[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Left Corner 3,24+ Left,,,,23.06,Missed,,,,,,,,,,,,,,,
10,PT11M39.00S,2026-03-20T23:41:11.7Z,1,REGULAR,rebound,defensive,[],1642874,,,1610612751,0,0,2026-03-20T23:41:13Z,100000,False,,,0,,D. Wolf REBOUND (Off:0 Def:1),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,Left Corner 3,24+ Left,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M33.00S,2026-03-20T23:41:17.6Z,1,REGULAR,3pt,Jump Shot,[],1642849,95.87713534822602,95.83333333333334,1610612751,0,0,2026-03-20T23:41:22Z,110000,False,229.0,-14.0,1,right,MISS N. Traore 3PT,[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Right Corner 3,24+ Right,,,,22.96,Missed,,,,,,,,,,,,,,,
12,PT11M29.00S,2026-03-20T23:41:21.6Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,0,0,2026-03-20T23:41:22Z,120000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M10.00S,2026-03-20T23:41:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629013,9.017739816031538,35.049019607843135,1610612752,0,0,2026-03-20T23:41:48Z,130000,False,75.0,32.0,1,left,MISS L. Shamet 8' pullup bank Shot - blocked,"[1629013, 1642849]",1610612752.0,NYK,pullup bank,,,Shamet,L. Shamet,,,,,In The Paint (Non-RA),0-8 Center,,,,8.15,Missed,,,,,Traore,1642849.0,,,,,,,,,
14,PT11M10.00S,2026-03-20T23:41:40.3Z,1,REGULAR,block,,[],1642849,,,1610612752,0,0,2026-03-20T23:41:42Z,140000,False,,,0,,N. Traore BLOCK (1 BLK),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2026-03-20T23:41:41.3Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,0,0,2026-03-20T23:42:28Z,150000,False,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,
16,PT11M09.00S,2026-03-20T23:41:45.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,8.360709592641262,5.147058823529411,1610612752,0,0,2026-03-20T23:42:36Z,160000,False,224.0,26.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,,22.58,Missed,,,,,,,,,,,,,,,
17,PT11M08.00S,2026-03-20T23:41:46.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,0,0,2026-03-20T23:42:36Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Right Corner 3,24+ Right,,,,,,16.0,,,,,,,,,,,,,,
18,PT11M08.00S,2026-03-20T23:41:49.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,0,0,2026-03-20T23:41:55Z,180000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,202007.0,,,,,,,,
