actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-19T00:40:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-19T00:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-19T00:40:42.4Z,1,REGULAR,jumpball,recovered,[],1629008,,,1610612751,0,0,2025-11-19T00:40:42Z,40000,False,,,0,,Jump Ball N. Claxton vs. N. Queta: Tip to M. Porter Jr.,"[1629008, 1629651, 1629674]",1610612751.0,BKN,startperiod,M. Porter Jr.,1629008.0,Porter Jr.,M. Porter Jr.,Claxton,1629651.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-11-19T00:40:54.4Z,1,REGULAR,foul,personal,[],1641775,,,1610612751,0,0,2025-11-19T00:41:12Z,70000,False,,,0,,J. Walsh personal FOUL (1 PF),"[1641775, 1629008]",1610612738.0,BOS,,,,Walsh,J. Walsh,,,,,Mid-Range,8-16 Right,1627526.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-11-19T00:41:17.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,66.96780551905388,46.07843137254902,1610612751,3,0,2025-11-19T00:41:22Z,90000,False,-20.0,258.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (T. Mann 1 AST),"[1629008, 1629611]",1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,25.87,Made,3.0,T. Mann,1629611.0,1.0,,,,,,,,,
11,PT11M25.00S,2025-11-19T00:41:33.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,15.850854139290407,15.931372549019606,1610612738,3,2,2025-11-19T00:42:07Z,110000,False,170.0,96.0,1,left,J. Brown 19' step back Jump Shot (2 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right,,,,,,19.57,Made,2.0,,,,,,,,,,,,
12,PT11M06.00S,2025-11-19T00:41:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,85.49605781865965,40.68627450980392,1610612751,3,2,2025-11-19T00:41:56Z,120000,False,-47.0,84.0,1,right,MISS N. Clowney 9' driving floating bank Shot,[1641730],1610612751.0,BKN,driving floating bank,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.59,Missed,,,,,,,,,,,,,
13,PT11M04.00S,2025-11-19T00:41:54.5Z,1,REGULAR,rebound,defensive,[],1630202,,,1610612738,3,2,2025-11-19T00:41:56Z,130000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT10M54.00S,2025-11-19T00:42:04.9Z,1,REGULAR,2pt,Jump Shot,[],1627759,22.421156373193167,77.45098039215686,1610612738,3,4,2025-11-19T00:44:24Z,140000,False,-137.0,158.0,1,left,J. Brown 20' step back Jump Shot (4 PTS),[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left Center,,,,,,20.95,Made,4.0,,,,,,,,,,,,
15,PT10M46.00S,2025-11-19T00:42:13.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641730,95.0886990801577,54.41176470588235,1610612751,3,4,2025-11-19T00:43:28Z,150000,False,22.0,-6.0,1,right,MISS N. Clowney driving finger roll Layup,[1641730],1610612751.0,BKN,driving finger roll,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,2.3,Missed,,,,,,,,,,,,,
16,PT10M41.00S,2025-11-19T00:42:18.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,3,4,2025-11-19T00:42:40Z,160000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M35.00S,2025-11-19T00:42:27.4Z,1,REGULAR,foul,offensive,[],1628401,,,1610612738,3,4,2025-11-19T00:42:35Z,170000,False,,,0,,D. White offensive FOUL (1 PF),"[1628401, 1629651]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,200834.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
19,PT10M35.00S,2025-11-19T00:42:27.4Z,1,REGULAR,turnover,offensive foul,[],1628401,,,1610612738,3,4,2025-11-19T00:42:27Z,190000,False,,,0,,D. White offensive foul TURNOVER (1 TO),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,200834.0,,,,,,,,,,,,,,,1.0,,,,
20,PT10M26.00S,2025-11-19T00:43:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629651,91.67214191852825,51.470588235294116,1610612751,3,4,2025-11-19T00:48:41Z,200000,False,7.0,26.0,1,right,MISS N. Claxton driving Layup - blocked,"[1629651, 1629674]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,2.68,Missed,,,,,,,,,,Queta,1629674.0,,
