actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
16,PT10M17.00S,2025-11-25T00:44:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626157,5.590000152587891,50.0,1610612752,2,3,2025-11-25T00:45:47Z,160000,False,0.0,0.0,1,left,MISS K. Towns putback Layup,[1626157],1610612752.0,NYK,putback,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
17,PT10M16.00S,2025-11-25T00:44:40.3Z,1,REGULAR,rebound,defensive,[],1642856,,,1610612751,2,3,2025-11-25T00:44:40Z,170000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Mid-Range,8-16 Left,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M07.00S,2025-11-25T00:44:54.3Z,1,REGULAR,foul,technical,['1freethrow'],1628969,,,1610612751,2,3,2025-11-25T00:45:06Z,180000,False,,,0,,M. Bridges defensive-3-second technical FOUL (1 Tech),[1628969],1610612752.0,NYK,defensive-3-second,,,Bridges,M. Bridges,,,,,,,,,,,,,,202007.0,0.0,1.0,,,,,,,,,,
19,PT10M07.00S,2025-11-25T00:45:11.9Z,1,REGULAR,freethrow,1 of 1,[],1629008,,,1610612751,2,3,2025-11-25T00:45:14Z,190000,False,,,0,,MISS M. Porter Jr. technical Free Throw 1 of 1,[1629008],1610612751.0,BKN,technical,,,Porter Jr.,M. Porter Jr.,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M07.00S,2025-11-25T00:45:11.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,2,3,2025-11-25T00:45:14Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,
21,PT09M55.00S,2025-11-25T00:45:38.7Z,1,REGULAR,3pt,Jump Shot,[],1642856,92.9862023653088,95.34313725490196,1610612751,2,3,2025-11-25T00:45:44Z,210000,False,227.0,13.0,1,right,MISS E. Dëmin 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Right Corner 3,24+ Right,22.71,Missed,,,,,,,,,,,,,,,,,,
22,PT09M50.00S,2025-11-25T00:45:42.5Z,1,REGULAR,rebound,defensive,[],1630540,,,1610612752,2,3,2025-11-25T00:45:42Z,220000,False,,,0,,M. McBride REBOUND (Off:0 Def:1),[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,Right Corner 3,24+ Right,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M46.00S,2025-11-25T00:45:46.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630540,6.258212877792378,55.392156862745104,1610612752,2,5,2025-11-25T00:45:51Z,230000,False,-27.0,6.0,1,left,M. McBride running Layup (2 PTS),[1630540],1610612752.0,NYK,running,,,McBride,M. McBride,,,,,Restricted Area,0-8 Center,2.77,Made,,,,,2.0,,,,,,,,,,,,,
26,PT09M31.00S,2025-11-25T00:46:02.0Z,1,REGULAR,2pt,Jump Shot,[],1629008,79.84559789750328,22.30392156862745,1610612751,4,5,2025-11-25T00:48:03Z,240000,False,-138.0,137.0,1,right,M. Porter Jr. 19' pullup Jump Shot (4 PTS),[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,19.48,Made,,,,,4.0,,,,,,,,,,,,,
27,PT09M05.00S,2025-11-25T00:46:27.9Z,1,REGULAR,2pt,Jump Shot,[],1628969,14.273981603153747,18.627450980392158,1610612752,4,7,2025-11-25T00:46:31Z,250000,False,157.0,82.0,1,left,M. Bridges 17' pullup Jump Shot (2 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right,17.69,Made,,,,,2.0,,,,J. Hart,1628404.0,1.0,,,,,,,
