actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-06T22:10:37.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T22:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-06T22:10:41.4Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612751,0,0,2025-12-06T22:10:41Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Queen: Tip to T. Mann,"[1629611, 1629651, 1642852]",1610612751.0,BKN,startperiod,T. Mann,1629611.0,Mann,T. Mann,Claxton,1629651.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-06T22:10:53.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,6.783837056504599,47.794117647058826,1610612751,2,0,2025-12-06T22:10:58Z,70000,False,11.0,11.0,1,left,N. Claxton driving DUNK (2 PTS) (E. Dëmin 1 AST),"[1629651, 1642856]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.58,Made,2.0,E. Dëmin,1642856.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-12-06T22:11:15.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630180,86.41590013140605,50.73529411764706,1610612740,2,0,2025-12-06T22:11:19Z,90000,False,4.0,75.0,1,right,MISS S. Bey 7' turnaround Hook,[1630180],1610612740.0,NOP,turnaround,,,Bey,S. Bey,,,,,In The Paint (Non-RA),0-8 Center,7.53,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2025-12-06T22:11:17.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,0,2025-12-06T22:11:19Z,100000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2025-12-06T22:11:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,9.411957950065702,43.38235294117647,1610612751,2,0,2025-12-06T22:11:27Z,110000,False,33.0,36.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,4.89,Missed,,,,,,,,,,,,,,,,,,
12,PT11M13.00S,2025-12-06T22:11:24.5Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,2,0,2025-12-06T22:11:27Z,120000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M05.00S,2025-12-06T22:11:32.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,91.93495400788436,96.32352941176471,1610612740,2,3,2025-12-06T22:11:37Z,130000,False,232.0,23.0,1,right,T. Murphy III 3PT  (3 PTS) (J. Fears 1 AST),"[1630530, 1642847]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,23.28,Made,3.0,J. Fears,1642847.0,1.0,,,,,,,,,,,,,,
15,PT10M54.00S,2025-12-06T22:11:43.4Z,1,REGULAR,2pt,Jump Shot,[],1629008,7.703679369250986,22.30392156862745,1610612751,2,3,2025-12-06T22:11:49Z,150000,False,138.0,20.0,1,left,MISS M. Porter Jr. 13' fadeaway Shot,[1629008],1610612751.0,BKN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Right,13.99,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2025-12-06T22:11:47.0Z,1,REGULAR,rebound,offensive,[],1629611,,,1610612751,2,3,2025-12-06T22:11:47Z,160000,False,,,0,,T. Mann REBOUND (Off:1 Def:0),[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,Mid-Range,8-16 Right,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
