actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-24T23:43:29.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-24T23:43:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-24T23:43:31.3Z,1,REGULAR,jumpball,recovered,[],1642879,,,1610612751,0,0,2025-10-24T23:43:31Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Allen: Tip to B. Saraf,"[1642879, 1629651, 1628386]",1610612751.0,BKN,startperiod,B. Saraf,1642879.0,Saraf,B. Saraf,Claxton,1629651.0,Allen,1628386.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-10-24T23:43:48.1Z,1,REGULAR,turnover,bad pass,[],1630560,,,1610612751,0,0,2025-10-24T23:43:53Z,70000,False,,,0,,C. Thomas bad pass TURNOVER (1 TO),"[1630560, 1642281]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,1.0,Tyson,1642281.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-10-24T23:43:48.1Z,1,REGULAR,steal,,[],1642281,,,1610612739,0,0,2025-10-24T23:43:51Z,80000,False,,,0,,J. Tyson STEAL (1 STL),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2025-10-24T23:43:58.0Z,1,REGULAR,turnover,out-of-bounds,[],1630241,,,1610612739,0,0,2025-10-24T23:44:02Z,90000,False,,,0,,S. Merrill step out-of-bounds TURNOVER (1 TO),[1630241],1610612739.0,CLE,step,,,Merrill,S. Merrill,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,200832.0,,,,,,,,,,,,,,,,
10,PT11M22.00S,2025-10-24T23:44:23.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629008,27.020367936925098,76.22549019607843,1610612751,0,0,2025-10-24T23:44:29Z,100000,False,-131.0,201.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,24.04,Missed,,,,,,,,,,,,,,
11,PT11M18.00S,2025-10-24T23:44:27.8Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2025-10-24T23:44:27Z,110000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M09.00S,2025-10-24T23:44:35.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",1642879,5.206964520367937,51.470588235294116,1610612751,0,0,2025-10-24T23:44:49Z,120000,False,-7.0,-4.0,1,left,MISS B. Saraf driving DUNK,[1642879],1610612751.0,BKN,driving,,,Saraf,B. Saraf,,,,,Restricted Area,0-8 Center,,,,,0.82,Missed,,,,,,,,,,,,,,
13,PT10M59.00S,2025-10-24T23:44:45.5Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,0,2025-10-24T23:45:48Z,130000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M56.00S,2025-10-24T23:44:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,92.32917214191852,38.48039215686275,1610612739,0,2,2025-10-24T23:44:59Z,160000,False,-58.0,20.0,1,right,E. Mobley 6' turnaround fadeaway Jump Shot (2 PTS) (D. Mitchell 1 AST),"[1630596, 1628378]",1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.08,Made,,,,,2.0,D. Mitchell,1628378.0,1.0,,,,,,
18,PT10M42.00S,2025-10-24T23:45:05.7Z,1,REGULAR,foul,personal,[],1630241,,,1610612751,0,2,2025-10-24T23:45:11Z,180000,False,,,0,,S. Merrill personal FOUL (1 PF),"[1630241, 1630560]",1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Above the Break 3,24+ Right Center,,,,200832.0,,,,,,,,,,,1.0,0.0,Thomas,1630560.0,,
20,PT10M37.00S,2025-10-24T23:45:27.8Z,1,REGULAR,3pt,Jump Shot,[],1629611,28.07161629434954,77.69607843137256,1610612751,0,2,2025-10-24T23:45:33Z,200000,False,-138.0,211.0,1,left,MISS T. Mann 25' step back 3PT,[1629611],1610612751.0,BKN,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,,25.27,Missed,,,,,,,,,,,,,,
21,PT10M34.00S,2025-10-24T23:45:30.8Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,2,2025-10-24T23:45:33Z,210000,False,,,0,,J. Allen REBOUND (Off:0 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
22,PT10M26.00S,2025-10-24T23:45:39.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630596,85.10183968462549,48.03921568627451,1610612739,0,4,2025-10-24T23:46:04Z,220000,False,-10.0,88.0,1,right,E. Mobley 8' turnaround Hook (4 PTS),[1630596],1610612739.0,CLE,turnaround,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.8,Made,,,,,4.0,,,,,,,,,
23,PT10M13.00S,2025-10-24T23:45:58.6Z,1,REGULAR,foul,personal,[],1642281,,,1610612751,0,4,2025-10-24T23:46:05Z,230000,False,,,0,,J. Tyson personal FOUL (1 PF),"[1642281, 1629008]",1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,In The Paint (Non-RA),0-8 Center,,,,204058.0,,,,,,,,,,,1.0,0.0,Porter Jr.,1629008.0,,
25,PT10M01.00S,2025-10-24T23:46:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,5.601182654402102,52.450980392156865,1610612751,0,4,2025-10-24T23:46:39Z,250000,False,-12.0,0.0,1,left,MISS M. Porter Jr. driving Layup - blocked,"[1629008, 1630596]",1610612751.0,BKN,driving,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,1.23,Missed,,,,,,,,,,,,,Mobley,1630596.0
35,PT10M01.00S,2025-10-24T23:46:27.2Z,1,REGULAR,block,,[],1630596,,,1610612751,0,4,2025-10-24T23:47:49Z,260000,False,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT10M01.00S,2025-10-24T23:46:27.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,4,2025-10-24T23:46:39Z,270000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
28,PT10M01.00S,2025-10-24T23:46:34.6Z,1,REGULAR,turnover,out-of-bounds,[],1630596,,,1610612739,0,4,2025-10-24T23:46:51Z,280000,False,,,0,,E. Mobley lost ball out-of-bounds TURNOVER (1 TO),[1630596],1610612739.0,CLE,lost ball,,,Mobley,E. Mobley,,,,,Mid-Range,8-16 Right,1.0,,,202056.0,,,,,,,,,,,,,,,,
29,PT09M59.00S,2025-10-24T23:46:49.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630560,18.347568988173457,5.147058823529411,1610612751,0,4,2025-10-24T23:46:53Z,290000,False,224.0,120.0,1,left,MISS C. Thomas 25' 3PT,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,,,,,25.44,Missed,,,,,,,,,,,,,,
30,PT09M56.00S,2025-10-24T23:46:53.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,4,2025-10-24T23:46:53Z,300000,False,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,
31,PT09M50.00S,2025-10-24T23:47:01.1Z,1,REGULAR,foul,personal,['2freethrow'],1629611,,,1610612739,0,4,2025-10-24T23:47:21Z,310000,False,,,0,,T. Mann shooting personal FOUL (1 PF) (Mobley 2 FT),"[1629611, 1630596]",1610612751.0,BKN,shooting,,,Mann,T. Mann,,,,,In The Paint (Non-RA),0-8 Center,,,,202056.0,,,,,,,,,,,1.0,0.0,Mobley,1630596.0,,
