actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-18T23:41:00.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-18T23:41:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-18T23:41:03.1Z,1,REGULAR,jumpball,recovered,[],1641730,,,1610612751,0,0,2026-03-18T23:41:03Z,40000,False,,,0,,Jump Ball N. Claxton vs. C. Holmgren: Tip to N. Clowney,"[1641730, 1629651, 1631096]",1610612751.0,BKN,startperiod,N. Clowney,1641730.0,Clowney,N. Clowney,Claxton,1629651.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-18T23:41:15.6Z,1,REGULAR,3pt,Jump Shot,[],1641730,7.5722733245729295,4.901960784313726,1610612751,0,0,2026-03-18T23:41:21Z,70000,False,225.0,19.0,1,left,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Right Corner 3,24+ Right,22.63,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-03-18T23:41:20.6Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,0,2026-03-18T23:41:21Z,80000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-03-18T23:41:38.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642349,89.30683311432325,47.30392156862745,1610612760,0,0,2026-03-18T23:42:19Z,90000,False,-13.0,48.0,1,right,MISS A. Mitchell driving finger roll Layup,[1642349],1610612760.0,OKC,driving finger roll,,,Mitchell,A. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2026-03-18T23:41:40.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2026-03-18T23:41:42Z,100000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2026-03-18T23:41:42.2Z,1,REGULAR,turnover,lost ball,[],1629651,,,1610612751,0,0,2026-03-18T23:41:46Z,110000,False,,,0,,N. Claxton lost ball TURNOVER (1 TO),"[1629651, 1641717]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Wallace,1641717.0,,,,,,,,,,,
12,PT11M17.00S,2026-03-18T23:41:42.2Z,1,REGULAR,steal,,[],1641717,,,1610612760,0,0,2026-03-18T23:41:44Z,120000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2026-03-18T23:41:45.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641717,92.9862023653088,50.98039215686274,1610612760,0,2,2026-03-18T23:41:50Z,130000,False,5.0,13.0,1,right,C. Wallace running DUNK (2 PTS),[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,,,,2.0,,,,,,,,,,
14,PT10M56.00S,2026-03-18T23:42:03.0Z,1,REGULAR,2pt,Hook,[],1641730,7.5722733245729295,28.921568627450984,1610612751,2,2,2026-03-18T23:43:23Z,140000,False,105.0,19.0,1,left,N. Clowney 10' driving Hook (2 PTS),[1641730],1610612751.0,BKN,driving,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Right,10.7,Made,,,,,,,,2.0,,,,,,,,,,
