actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-05T19:40:50.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-05T19:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-04-05T19:40:54.2Z,1,REGULAR,jumpball,recovered,[],1630604,,,1610612751,0,0,2026-04-05T19:40:54Z,40000,False,,,0,,Jump Ball C. Johnson vs. J. Reese: Tip to E. Liddell,"[1630604, 1643052, 1642882]",1610612751.0,BKN,startperiod,E. Liddell,1630604.0,Liddell,E. Liddell,Johnson,1643052.0,Reese,1642882.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-04-05T19:41:11.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642962,80.23981603153744,49.01960784313725,1610612751,0,0,2026-04-05T19:41:17Z,70000,False,-5.0,133.0,1,right,MISS D. Powell 13' step back Shot,[1642962],1610612751.0,BKN,step back,,,Powell,D. Powell,,,,,In The Paint (Non-RA),8-16 Center,13.33,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2026-04-05T19:41:16.2Z,1,REGULAR,rebound,defensive,[],1642267,,,1610612764,0,0,2026-04-05T19:41:17Z,80000,False,,,0,,B. Carrington REBOUND (Off:0 Def:1),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M13.00S,2026-04-05T19:41:39.4Z,1,REGULAR,3pt,Jump Shot,[],1630264,8.360709592641262,97.79411764705883,1610612764,0,0,2026-04-05T19:43:50Z,90000,False,-239.0,26.0,1,left,MISS A. Gill 24' 3PT - blocked,"[1630264, 1630604]",1610612764.0,WAS,,,,Gill,A. Gill,,,,,Left Corner 3,24+ Left,24.04,Missed,,,,,Liddell,1630604.0,,,,,,,,,,,,
10,PT11M13.00S,2026-04-05T19:41:39.4Z,1,REGULAR,block,,[],1630604,,,1610612764,0,0,2026-04-05T19:41:42Z,100000,False,,,0,,E. Liddell BLOCK (1 BLK),[1630604],1610612751.0,BKN,,,,Liddell,E. Liddell,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2026-04-05T19:41:40.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,0,2026-04-05T19:43:50Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Left Corner 3,24+ Left,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2026-04-05T19:41:44.0Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612764,0,0,2026-04-05T19:43:53Z,120000,False,,,0,,WAS shot clock Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1155.0,,,,,,,,,,,
13,PT10M59.00S,2026-04-05T19:41:59.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642962,95.0886990801577,96.81372549019608,1610612751,0,0,2026-04-05T19:42:04Z,130000,False,234.0,-6.0,1,right,MISS D. Powell 3PT,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Right Corner 3,24+ Right,23.42,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2026-04-05T19:42:03.7Z,1,REGULAR,rebound,offensive,[],1643052,,,1610612751,0,0,2026-04-05T19:42:03Z,140000,False,,,0,,C. Johnson REBOUND (Off:1 Def:0),[1643052],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT10M52.00S,2026-04-05T19:42:05.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1642849,66.96780551905388,47.549019607843135,1610612751,3,0,2026-04-05T19:42:10Z,150000,False,-12.0,258.0,1,right,N. Traore 25' 3PT  (3 PTS) (D. Powell 1 AST),"[1642849, 1642962]",1610612751.0,BKN,,,,Traore,N. Traore,,,,,Above the Break 3,24+ Center,25.83,Made,,,,,,,,3.0,D. Powell,1642962.0,1.0,,,,,,,
