actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-29T00:40:44.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T00:40:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-29T00:40:47.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612751,0,0,2025-11-29T00:40:47Z,40000,False,,,0,,Jump Ball N. Claxton vs. A. Drummond: Tip to Team (BKN),"[1629651, 203083]",1610612751.0,BKN,startperiod,Team (BKN),Claxton,1629651.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-11-29T00:41:07.3Z,1,REGULAR,3pt,Jump Shot,[],1641730,92.19776609724047,3.9215686274509802,1610612751,0,0,2025-11-29T00:41:12Z,70000,False,-230.0,21.0,1,right,MISS N. Clowney 3PT,[1641730],1610612751.0,BKN,,,,,,,Left Corner 3,24+ Left,23.13,Missed,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-29T00:41:11.3Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,0,2025-11-29T00:41:12Z,80000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,,Drummond,A. Drummond,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-11-29T00:41:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631230,5.338370565045992,48.03921568627451,1610612755,0,2,2025-11-29T00:41:33Z,90000,False,10.0,-2.0,1,left,D. Barlow cutting Layup (2 PTS) (A. Drummond 1 AST),"[1631230, 203083]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,1.01,Made,Barlow,D. Barlow,,,,,2.0,A. Drummond,203083.0,1.0,,,,,,,,,,
11,PT11M08.00S,2025-11-29T00:41:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642856,87.46714848883047,45.34313725490196,1610612751,0,2,2025-11-29T00:41:49Z,110000,False,-23.0,65.0,1,right,MISS E. Dëmin 6' driving Layup - blocked,"[1642856, 203083]",1610612751.0,BKN,driving,,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,Dëmin,E. Dëmin,,,,,,,,,Drummond,203083.0,,,,,,,,
12,PT11M08.00S,2025-11-29T00:41:45.4Z,1,REGULAR,block,,[],203083,,,1610612751,0,2,2025-11-29T00:41:47Z,120000,False,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-11-29T00:41:45.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,2,2025-11-29T00:41:49Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,11.0,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-11-29T00:42:38.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629651,65.25952693823915,61.274509803921575,1610612751,0,2,2025-11-29T00:42:43Z,160000,False,56.0,274.0,1,right,MISS N. Claxton 27' 3PT,[1629651],1610612751.0,BKN,,,,,,,Above the Break 3,24+ Center,27.98,Missed,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,
17,PT10M54.00S,2025-11-29T00:42:42.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,2,2025-11-29T00:42:43Z,170000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,Drummond,A. Drummond,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
