actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-01T23:10:57.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-01T23:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-01T23:11:00.2Z,1,REGULAR,jumpball,recovered,[],1631106,,,1610612745,0,0,2026-01-01T23:11:00Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Claxton: Tip to T. Eason,"[1631106, 1630578, 1629651]",1610612745.0,HOU,startperiod,T. Eason,1631106.0,Eason,T. Eason,Sengun,1630578.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-01T23:11:17.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.85479632063075,50.245098039215684,1610612745,0,2,2026-01-01T23:11:22Z,70000,False,1.0,15.0,1,right,A. Sengun driving Layup (2 PTS),[1630578],1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,1.47,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M12.00S,2026-01-01T23:11:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,16.376478318002626,42.15686274509804,1610612751,0,2,2026-01-01T23:12:44Z,80000,False,39.0,101.0,1,left,MISS N. Claxton 10' driving floating Shot,[1629651],1610612751.0,BKN,driving floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,10.87,Missed,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2026-01-01T23:11:46.8Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,0,2,2026-01-01T23:12:51Z,100000,False,,,0,,T. Eason REBOUND (Off:0 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),8-16 Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M05.00S,2026-01-01T23:11:52.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630578,93.51182654402102,50.73529411764706,1610612745,0,4,2026-01-01T23:11:58Z,110000,False,4.0,8.0,1,right,A. Sengun running DUNK (4 PTS) (K. Durant 1 AST),"[1630578, 201142]",1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,0.93,Made,4.0,,,,,K. Durant,201142.0,1.0,,,,,,,,,,
13,PT10M46.00S,2026-01-01T23:12:10.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,5.601182654402102,52.20588235294118,1610612751,2,4,2026-01-01T23:13:31Z,130000,False,-11.0,0.0,1,left,N. Claxton driving bank Hook (2 PTS) (D. Wolf 1 AST),"[1629651, 1642874]",1610612751.0,BKN,driving bank,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.1,Made,2.0,,,,,D. Wolf,1642874.0,1.0,,,,,,,,,,
14,PT10M22.00S,2026-01-01T23:12:35.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631106,91.67214191852825,48.28431372549019,1610612745,2,6,2026-01-01T23:12:40Z,140000,False,-9.0,26.0,1,right,T. Eason driving finger roll Layup (2 PTS) (K. Durant 2 AST),"[1631106, 201142]",1610612745.0,HOU,driving finger roll,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,2.72,Made,2.0,,,,,K. Durant,201142.0,2.0,,,,,,,,,,
16,PT10M07.00S,2026-01-01T23:12:50.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642874,7.178055190538765,56.61764705882353,1610612751,2,6,2026-01-01T23:12:54Z,160000,False,-33.0,15.0,1,left,MISS D. Wolf driving Layup,[1642874],1610612751.0,BKN,driving,,,Wolf,D. Wolf,,,,,Restricted Area,0-8 Center,3.63,Missed,,,,,,,,,,,,,,,,,,
17,PT10M04.00S,2026-01-01T23:12:53.0Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,2,6,2026-01-01T23:12:54Z,170000,False,,,0,,T. Eason REBOUND (Off:0 Def:2),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,Restricted Area,0-8 Center,,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,
18,PT09M51.00S,2026-01-01T23:13:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,93.9060446780552,52.20588235294118,1610612745,2,8,2026-01-01T23:13:09Z,180000,False,11.0,5.0,1,right,A. Thompson cutting Layup (2 PTS) (K. Durant 3 AST),"[1641708, 201142]",1610612745.0,HOU,cutting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.2,Made,2.0,,,,,K. Durant,201142.0,3.0,,,,,,,,,,
