actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2026-04-07T23:40:57.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-07T23:40:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-04-07T23:41:00.7Z,1,REGULAR,jumpball,recovered,[],1631172,,,1610612749,0,0,2026-04-07T23:41:00Z,40000,False,,,0,,Jump Ball J. Sims vs. T. Scott: Tip to O. Dieng,"[1631172, 1630579, 1630286]",1610612749.0,MIL,startperiod,O. Dieng,1631172.0,Dieng,O. Dieng,Sims,1630579.0,Scott,1630286.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-04-07T23:41:18.9Z,1,REGULAR,foul,personal,[],1630286,,,1610612749,0,0,2026-04-07T23:41:27Z,70000,False,,,0,,T. Scott personal FOUL (1 PF),"[1630286, 1631260]",1610612751.0,BKN,,,,Scott,T. Scott,,,,,Above the Break 3,24+ Center,203054.0,1.0,0.0,Green,1631260.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2026-04-07T23:41:40.7Z,1,REGULAR,3pt,Jump Shot,[],1631250,3.892904073587385,95.34313725490196,1610612749,0,3,2026-04-07T23:41:44Z,90000,False,-227.0,-16.0,1,left,P. Nance 3PT  (3 PTS) (A. Green 1 AST),"[1631250, 1631260]",1610612749.0,MIL,,,,Nance,P. Nance,,,,,Left Corner 3,24+ Left,,,,,,22.73,Made,3.0,A. Green,1631260.0,1.0,,,,,,,,,
12,PT11M13.00S,2026-04-07T23:41:58.0Z,1,REGULAR,3pt,Jump Shot,[],1630604,78.40013140604468,9.068627450980392,1610612751,3,3,2026-04-07T23:43:43Z,120000,False,-205.0,151.0,1,right,E. Liddell 25' 3PT  (3 PTS) (D. Powell 1 AST),"[1630604, 1642962]",1610612751.0,BKN,,,,Liddell,E. Liddell,,,,,Above the Break 3,24+ Left Center,,,,,,25.41,Made,3.0,D. Powell,1642962.0,1.0,,,,,,,,,
14,PT11M01.00S,2026-04-07T23:42:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630579,5.995400788436268,52.20588235294118,1610612749,3,5,2026-04-07T23:42:16Z,140000,False,-11.0,4.0,1,left,J. Sims driving Layup (2 PTS),[1630579],1610612749.0,MIL,driving,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,1.17,Made,2.0,,,,,,,,,,,,
15,PT10M44.00S,2026-04-07T23:42:27.0Z,1,REGULAR,3pt,Jump Shot,[],1630604,67.09921156373193,41.66666666666667,1610612751,6,5,2026-04-07T23:42:55Z,150000,False,-42.0,257.0,1,right,E. Liddell 26' 3PT pullup (6 PTS) (T. Scott 1 AST),"[1630604, 1630286]",1610612751.0,BKN,pullup,,,Liddell,E. Liddell,,,,,Above the Break 3,24+ Center,,,,,,26.02,Made,6.0,T. Scott,1630286.0,1.0,,,,,,,,,
17,PT10M25.00S,2026-04-07T23:42:45.9Z,1,REGULAR,turnover,bad pass,[],1631250,,,1610612749,6,5,2026-04-07T23:43:09Z,170000,False,,,0,,P. Nance bad pass TURNOVER (1 TO),"[1631250, 1641869]",1610612749.0,MIL,,,,Nance,P. Nance,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,Smith,1641869.0,,,,,,
18,PT10M25.00S,2026-04-07T23:42:45.9Z,1,REGULAR,steal,,[],1641869,,,1610612751,6,5,2026-04-07T23:42:48Z,180000,False,,,0,,M. Smith STEAL (1 STL),[1641869],1610612751.0,BKN,,,,Smith,M. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M05.00S,2026-04-07T23:43:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642962,91.27792378449409,51.71568627450981,1610612751,6,5,2026-04-07T23:43:11Z,190000,False,9.0,29.0,1,right,MISS D. Powell driving Layup - blocked,"[1642962, 1630579]",1610612751.0,BKN,driving,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,3.07,Missed,,,,,,,,Sims,1630579.0,,,,
