actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-16T23:40:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-16T23:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-03-16T23:40:59.9Z,1,REGULAR,jumpball,recovered,[],1642874,,,1610612751,0,0,2026-03-16T23:40:59Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Clingan: Tip to D. Wolf,"[1642874, 1629651, 1642270]",1610612751.0,BKN,startperiod,D. Wolf,1642874.0,Wolf,D. Wolf,Claxton,1629651.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-16T23:41:14.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,90.22667542706965,39.705882352941174,1610612751,0,0,2026-03-16T23:41:18Z,70000,False,-51.0,39.0,1,right,MISS N. Claxton 6' driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,6.48,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-03-16T23:41:16.9Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,0,2026-03-16T23:41:18Z,80000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2026-03-16T23:41:28.5Z,1,REGULAR,3pt,Jump Shot,[],203924,28.86005256241787,26.715686274509803,1610612757,0,3,2026-03-16T23:41:32Z,90000,False,116.0,219.0,1,left,J. Grant 24' 3PT  (3 PTS) (D. Avdija 1 AST),"[203924, 1630166]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,24.78,Made,,,,,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,
11,PT11M00.00S,2026-03-16T23:41:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642849,93.64323258869908,56.61764705882353,1610612751,0,3,2026-03-16T23:42:00Z,110000,False,33.0,7.0,1,right,MISS N. Traore driving Layup,[1642849],1610612751.0,BKN,driving,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,3.39,Missed,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2026-03-16T23:41:56.2Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,0,3,2026-03-16T23:52:17Z,120000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M54.00S,2026-03-16T23:42:00.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642270,6.915243101182654,49.26470588235294,1610612757,0,5,2026-03-16T23:42:05Z,130000,False,4.0,13.0,1,left,D. Clingan running alley-oop DUNK (2 PTS) (D. Avdija 2 AST),"[1642270, 1630166]",1610612757.0,POR,running alley-oop,,,Clingan,D. Clingan,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,2.0,D. Avdija,1630166.0,2.0,,,,,,,,,,
15,PT10M34.00S,2026-03-16T23:42:19.8Z,1,REGULAR,3pt,Jump Shot,[],1642962,78.0059132720105,89.2156862745098,1610612751,0,5,2026-03-16T23:42:25Z,150000,False,196.0,154.0,1,right,MISS D. Powell 24' 3PT,[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Right Center,24.95,Missed,,,,,,,,,,,,,,,,,,
16,PT10M29.00S,2026-03-16T23:42:24.8Z,1,REGULAR,rebound,defensive,[],201950,,,1610612757,0,5,2026-03-16T23:42:25Z,160000,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
17,PT10M22.00S,2026-03-16T23:42:32.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,10.85742444152431,48.529411764705884,1610612757,0,5,2026-03-16T23:44:10Z,170000,False,7.0,50.0,1,left,MISS J. Holiday cutting Layup - blocked,"[201950, 1642962]",1610612757.0,POR,cutting,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,5.01,Missed,,,,,,,,,Powell,1642962.0,,,,,,,,
18,PT10M22.00S,2026-03-16T23:42:32.4Z,1,REGULAR,block,,[],1642962,,,1610612757,0,5,2026-03-16T23:42:34Z,180000,False,,,0,,D. Powell BLOCK (1 BLK),[1642962],1610612751.0,BKN,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M19.00S,2026-03-16T23:42:35.4Z,1,REGULAR,rebound,defensive,[],1642874,,,1610612751,0,5,2026-03-16T23:42:39Z,190000,False,,,0,,D. Wolf REBOUND (Off:0 Def:1),[1642874],1610612751.0,BKN,,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M15.00S,2026-03-16T23:42:38.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1642874,90.22667542706965,44.11764705882353,1610612751,0,5,2026-03-16T23:42:43Z,200000,False,-29.0,39.0,1,right,MISS D. Wolf running Layup,[1642874],1610612751.0,BKN,running,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),0-8 Center,4.92,Missed,,,,,,,,,,,,,,,,,,
21,PT10M13.00S,2026-03-16T23:42:40.5Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,5,2026-03-16T23:42:43Z,210000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M09.00S,2026-03-16T23:42:44.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,6.915243101182654,5.147058823529411,1610612757,0,8,2026-03-16T23:43:08Z,220000,False,224.0,13.0,1,left,J. Holiday 3PT running (3 PTS) (J. Grant 1 AST),"[201950, 203924]",1610612757.0,POR,running,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,22.46,Made,,,,,3.0,J. Grant,203924.0,1.0,,,,,,,,,,
