actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-02T00:40:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-02T00:40:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-02T00:40:49.7Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2025-12-02T00:40:49Z,40000,False,,,0,,Jump Ball R. Kalkbrenner vs. N. Claxton: Tip to L. Ball,"[1630163, 1641750, 1629651]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Kalkbrenner,1641750.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2025-12-02T00:40:54.0Z,1,REGULAR,3pt,Jump Shot,[],1642851,91.14651773981603,97.79411764705883,1610612766,0,3,2025-12-02T00:40:57Z,70000,False,239.0,31.0,1,right,K. Knueppel 24' 3PT  (3 PTS) (L. Ball 1 AST),"[1642851, 1630163]",1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,Right Corner 3,24+ Right,24.1,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-12-02T00:41:13.8Z,1,REGULAR,2pt,Jump Shot,[],1629008,21.23850197109067,73.2843137254902,1610612751,0,3,2025-12-02T00:41:41Z,90000,False,-116.0,147.0,1,left,MISS M. Porter Jr. 18' fadeaway Shot,[1629008],1610612751.0,BKN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,18.76,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-12-02T00:41:16.8Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,3,2025-12-02T00:41:17Z,100000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M14.00S,2025-12-02T00:41:51.5Z,1,REGULAR,3pt,Jump Shot,[],1642883,69.59592641261499,74.26470588235294,1610612766,0,6,2025-12-02T00:41:55Z,120000,False,121.0,233.0,1,right,S. James 26' 3PT  (3 PTS) (L. Ball 2 AST),"[1642883, 1630163]",1610612766.0,CHA,,,,James,S. James,,,,,Above the Break 3,24+ Right Center,26.29,Made,3.0,L. Ball,1630163.0,2.0,,,,,,,,,,,,,,
14,PT10M59.00S,2025-12-02T00:42:05.5Z,1,REGULAR,2pt,Jump Shot,[],1642856,25.837713534822605,50.49019607843137,1610612751,0,6,2025-12-02T00:42:51Z,140000,False,-2.0,190.0,1,left,MISS E. Dëmin 19' pullup Shot - blocked,"[1642856, 1630163]",1610612751.0,BKN,pullup,,,Dëmin,E. Dëmin,,,,,Mid-Range,16-24 Center,19.04,Missed,,,,,,,,,Ball,1630163.0,,,,,,,,
15,PT10M59.00S,2025-12-02T00:42:05.5Z,1,REGULAR,block,,[],1630163,,,1610612751,0,6,2025-12-02T00:42:07Z,150000,False,,,0,,L. Ball BLOCK (1 BLK),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2025-12-02T00:42:07.5Z,1,REGULAR,rebound,offensive,[],1642856,,,1610612751,0,6,2025-12-02T00:42:08Z,160000,False,,,0,,E. Dëmin REBOUND (Off:1 Def:0),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M56.00S,2025-12-02T00:42:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642856,5.601182654402102,47.30392156862745,1610612751,2,6,2025-12-02T00:42:13Z,170000,False,13.0,0.0,1,left,E. Dëmin putback Layup (2 PTS),[1642856],1610612751.0,BKN,putback,,,Dëmin,E. Dëmin,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,,,,,,,,,,,,,,,,,
