actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-31T23:41:01.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-31T23:41:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-31T23:41:03.8Z,1,REGULAR,jumpball,recovered,[],1642849,,,1610612751,0,0,2026-03-31T23:41:03Z,40000,False,,,0,,Jump Ball N. Claxton vs. M. Diabaté: Tip to N. Traore,"[1642849, 1629651, 1631217]",1610612751.0,BKN,startperiod,N. Traore,1642849.0,Traore,N. Traore,Claxton,1629651.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-31T23:41:18.0Z,1,REGULAR,turnover,out-of-bounds,[],1642849,,,1610612751,0,0,2026-03-31T23:42:04Z,70000,False,,,0,,N. Traore lost ball out-of-bounds TURNOVER (1 TO),[1642849],1610612751.0,BKN,lost ball,,,Traore,N. Traore,,,,,Above the Break 3,24+ Left Center,202056.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-03-31T23:41:44.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641706,66.96780551905388,70.34313725490196,1610612766,0,3,2026-03-31T23:42:31Z,90000,False,102.0,258.0,1,right,B. Miller 27' 3PT pullup (3 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,27.73,Made,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,
11,PT11M01.00S,2026-03-31T23:42:10.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641730,13.354139290407357,46.568627450980394,1610612751,0,3,2026-03-31T23:43:35Z,110000,False,17.0,73.0,1,left,MISS N. Clowney 7' driving floating Shot,[1641730],1610612751.0,BKN,driving floating,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,7.5,Missed,,,,,,,,,,,,,,,,
12,PT10M58.00S,2026-03-31T23:42:13.7Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,0,3,2026-03-31T23:42:19Z,120000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M53.00S,2026-03-31T23:42:18.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630163,66.04796320630749,47.05882352941176,1610612766,0,3,2026-03-31T23:44:41Z,130000,False,-15.0,267.0,1,right,MISS L. Ball 26' running pullup 3PT,[1630163],1610612766.0,CHA,running pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,26.7,Missed,,,,,,,,,,,,,,,,
14,PT10M52.00S,2026-03-31T23:42:19.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,3,2026-03-31T23:42:23Z,140000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,13.0,,,,,,,,,,,
16,PT10M43.00S,2026-03-31T23:42:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642849,6.1268068331143235,41.911764705882355,1610612751,2,3,2026-03-31T23:42:42Z,160000,False,40.0,5.0,1,left,N. Traore driving Layup (2 PTS) (N. Claxton 1 AST),"[1642849, 1629651]",1610612751.0,BKN,driving,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,4.07,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,
18,PT10M33.00S,2026-03-31T23:42:48.8Z,1,REGULAR,3pt,Jump Shot,[],1628970,90.48948751642575,2.696078431372549,1610612766,2,3,2026-03-31T23:42:53Z,180000,False,-237.0,37.0,1,right,MISS M. Bridges 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,23.94,Missed,,,,,,,,,,,,,,,,
