actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-10T23:41:17.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-10T23:41:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-10T23:41:20.3Z,1,REGULAR,jumpball,recovered,[],1631204,,,1610612765,0,0,2026-03-10T23:41:20Z,40000,False,,,0,,Jump Ball J. Duren vs. N. Claxton: Tip to M. Sasser,"[1631204, 1631105, 1629651]",1610612765.0,DET,startperiod,M. Sasser,1631204.0,Sasser,M. Sasser,Duren,1631105.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-03-10T23:41:32.2Z,1,REGULAR,3pt,Jump Shot,[],1629130,28.991458607095925,72.54901960784314,1610612765,0,3,2026-03-10T23:41:37Z,70000,False,-113.0,220.0,1,left,D. Robinson 24' 3PT  (3 PTS) (C. Cunningham 1 AST),"[1629130, 1630595]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,24.72,Made,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2026-03-10T23:41:54.6Z,1,REGULAR,2pt,Jump Shot,[],1629008,92.32917214191852,23.52941176470588,1610612751,2,3,2026-03-10T23:41:59Z,90000,False,-132.0,20.0,1,right,M. Porter Jr. 13' fadeaway Jump Shot (2 PTS) (N. Clowney 1 AST),"[1629008, 1641730]",1610612751.0,BKN,fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,13.38,Made,2.0,N. Clowney,1641730.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2026-03-10T23:42:12.4Z,1,REGULAR,3pt,Jump Shot,[],1631204,30.17411300919842,30.14705882352941,1610612765,2,6,2026-03-10T23:45:30Z,110000,False,99.0,231.0,1,left,M. Sasser 25' 3PT step back (3 PTS) (D. Robinson 1 AST),"[1631204, 1629130]",1610612765.0,DET,step back,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Right Center,25.15,Made,3.0,D. Robinson,1629130.0,1.0,,,,,,,,,,,,,,
12,PT10M44.00S,2026-03-10T23:42:32.6Z,1,REGULAR,2pt,Jump Shot,[],1629008,76.03482260183968,60.5392156862745,1610612751,4,6,2026-03-10T23:42:36Z,120000,False,53.0,173.0,1,right,M. Porter Jr. 18' pullup Jump Shot (4 PTS),[1629008],1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,18.07,Made,4.0,,,,,,,,,,,,,,,,,
14,PT10M28.00S,2026-03-10T23:42:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631204,7.440867279894875,46.568627450980394,1610612765,4,6,2026-03-10T23:43:32Z,130000,False,17.0,17.0,1,left,MISS M. Sasser driving Layup,[1631204],1610612765.0,DET,driving,,,Sasser,M. Sasser,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
15,PT10M27.00S,2026-03-10T23:42:49.1Z,1,REGULAR,rebound,offensive,[],1629130,,,1610612765,4,6,2026-03-10T23:43:32Z,140000,False,,,0,,D. Robinson REBOUND (Off:1 Def:0),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,
16,PT10M25.00S,2026-03-10T23:42:51.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629130,8.229303547963205,45.34313725490196,1610612765,4,8,2026-03-10T23:42:55Z,150000,False,23.0,25.0,1,left,D. Robinson putback Layup (5 PTS),[1629130],1610612765.0,DET,putback,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,3.41,Made,5.0,,,,,,,,,,,,,,,,,
17,PT10M07.00S,2026-03-10T23:43:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,88.25558475689881,42.64705882352941,1610612751,4,8,2026-03-10T23:44:03Z,160000,False,-37.0,58.0,1,right,MISS N. Claxton 6' driving floating Shot,[1629651],1610612751.0,BKN,driving floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,6.86,Missed,,,,,,,,,,,,,,,,,,
18,PT10M06.00S,2026-03-10T23:43:10.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,4,8,2026-03-10T23:44:03Z,170000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT09M54.00S,2026-03-10T23:43:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,6.1268068331143235,54.166666666666664,1610612765,4,10,2026-03-10T23:43:26Z,180000,False,-21.0,5.0,1,left,J. Duren driving reverse Layup (2 PTS),[1631105],1610612765.0,DET,driving reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.14,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M35.00S,2026-03-10T23:43:41.7Z,1,REGULAR,3pt,Jump Shot,[],1641730,67.88764783180025,57.84313725490197,1610612751,4,10,2026-03-10T23:43:47Z,190000,False,39.0,249.0,1,right,MISS N. Clowney 25' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Center,25.25,Missed,,,,,,,,,,,,,,,,,,
21,PT09M30.00S,2026-03-10T23:43:46.7Z,1,REGULAR,rebound,defensive,[],1631204,,,1610612765,4,10,2026-03-10T23:43:47Z,200000,False,,,0,,M. Sasser REBOUND (Off:0 Def:1),[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,Above the Break 3,24+ Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M27.00S,2026-03-10T23:43:49.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202699,28.597240473061763,74.26470588235294,1610612765,4,10,2026-03-10T23:43:54Z,210000,False,-121.0,216.0,1,left,MISS T. Harris 24' running 3PT,[202699],1610612765.0,DET,running,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
23,PT09M24.00S,2026-03-10T23:43:52.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,4,10,2026-03-10T23:43:54Z,220000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M22.00S,2026-03-10T23:43:57.2Z,1,REGULAR,foul,personal,[],1629130,,,1610612751,4,10,2026-03-10T23:44:17Z,230000,False,,,0,,D. Robinson personal FOUL (1 PF),"[1629130, 1629008]",1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627963.0,1.0,0.0,Porter Jr.,1629008.0,,,,,
26,PT09M16.00S,2026-03-10T23:44:31.1Z,1,REGULAR,foul,personal,['3freethrow'],1630595,,,1610612751,4,10,2026-03-10T23:44:49Z,250000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Porter Jr. 3 FT),"[1630595, 1629008]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1627963.0,1.0,0.0,Porter Jr.,1629008.0,,,,,
28,PT09M16.00S,2026-03-10T23:44:53.4Z,1,REGULAR,freethrow,1 of 3,[],1629008,,,1610612751,5,10,2026-03-10T23:44:53Z,270000,False,,,0,,M. Porter Jr. Free Throw 1 of 3 (5 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
29,PT09M16.00S,2026-03-10T23:45:04.1Z,1,REGULAR,freethrow,2 of 3,[],1629008,,,1610612751,6,10,2026-03-10T23:45:04Z,280000,False,,,0,,M. Porter Jr. Free Throw 2 of 3 (6 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
30,PT09M16.00S,2026-03-10T23:45:15.7Z,1,REGULAR,freethrow,3 of 3,[],1629008,,,1610612751,7,10,2026-03-10T23:45:15Z,290000,False,,,0,,M. Porter Jr. Free Throw 3 of 3 (7 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
33,PT08M55.00S,2026-03-10T23:45:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.30946123521682,42.8921568627451,1610612765,7,12,2026-03-10T23:46:00Z,320000,False,36.0,16.0,1,left,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,3.9,Made,2.0,,,,,,,,,,,,,,,,,
34,PT08M43.00S,2026-03-10T23:46:05.6Z,1,REGULAR,3pt,Jump Shot,[],1641730,77.21747700394218,87.00980392156863,1610612751,7,12,2026-03-10T23:46:10Z,330000,False,185.0,162.0,1,right,MISS N. Clowney 24' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,24.57,Missed,,,,,,,,,,,,,,,,,,
35,PT08M41.00S,2026-03-10T23:46:07.9Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,7,12,2026-03-10T23:46:08Z,340000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,,,
36,PT08M40.00S,2026-03-10T23:46:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,93.38042049934296,52.20588235294118,1610612751,7,12,2026-03-10T23:46:12Z,350000,False,11.0,10.0,1,right,MISS N. Claxton putback Layup - blocked,"[1629651, 1631105]",1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,Duren,1631105.0,,,
37,PT08M40.00S,2026-03-10T23:46:09.0Z,1,REGULAR,block,,[],1631105,,,1610612751,7,12,2026-03-10T23:46:11Z,360000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M40.00S,2026-03-10T23:46:09.0Z,1,REGULAR,rebound,offensive,[],1642849,,,1610612751,7,12,2026-03-10T23:46:12Z,370000,False,,,0,,N. Traore REBOUND (Off:1 Def:0),[1642849],1610612751.0,BKN,,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,,,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,
39,PT08M36.00S,2026-03-10T23:46:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642849,92.19776609724047,54.166666666666664,1610612751,7,12,2026-03-10T23:46:15Z,380000,False,21.0,21.0,1,right,MISS N. Traore putback Layup,[1642849],1610612751.0,BKN,putback,,,Traore,N. Traore,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,,,,,,,
41,PT08M34.00S,2026-03-10T23:46:14.3Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,7,12,2026-03-10T23:46:15Z,400000,False,,,0,,D. Robinson REBOUND (Off:1 Def:1),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,
42,PT08M34.00S,2026-03-10T23:46:17.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631105,6.783837056504599,53.67647058823529,1610612765,7,14,2026-03-10T23:46:23Z,410000,False,-18.0,11.0,1,left,J. Duren running Layup (4 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,running,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,2.16,Made,4.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,
43,PT08M34.00S,2026-03-10T23:46:22.7Z,1,REGULAR,foul,personal,['1freethrow'],1641730,,,1610612765,7,14,2026-03-10T23:46:30Z,420000,False,,,0,,N. Clowney shooting personal FOUL (1 PF) (Duren 1 FT),"[1641730, 1631105]",1610612751.0,BKN,shooting,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Duren,1631105.0,,,,,
45,PT08M34.00S,2026-03-10T23:46:48.7Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631105,,,1610612765,7,15,2026-03-10T23:46:48Z,440000,False,,,0,,J. Duren Free Throw 1 of 1 (5 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
46,PT08M15.00S,2026-03-10T23:47:09.7Z,1,REGULAR,2pt,Jump Shot,[],1629008,78.26872536136662,25.245098039215684,1610612751,9,15,2026-03-10T23:47:14Z,450000,False,-124.0,152.0,1,right,M. Porter Jr. 19' pullup Jump Shot (9 PTS) (N. Claxton 1 AST),"[1629008, 1629651]",1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,19.59,Made,9.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,
48,PT08M00.00S,2026-03-10T23:47:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.783837056504599,46.32352941176471,1610612765,9,17,2026-03-10T23:47:33Z,470000,False,18.0,11.0,1,left,T. Harris cutting Layup (2 PTS) (J. Duren 1 AST),"[202699, 1631105]",1610612765.0,DET,cutting,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.16,Made,2.0,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,
50,PT07M46.00S,2026-03-10T23:47:40.0Z,1,REGULAR,foul,personal,['2freethrow'],1631105,,,1610612751,9,17,2026-03-10T23:47:49Z,490000,False,,,0,,J. Duren shooting personal FOUL (1 PF) (Clowney 2 FT),"[1631105, 1641730]",1610612765.0,DET,shooting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Clowney,1641730.0,,,,,
52,PT07M46.00S,2026-03-10T23:48:06.2Z,1,REGULAR,freethrow,1 of 2,[],1641730,,,1610612751,10,17,2026-03-10T23:48:06Z,510000,False,,,0,,N. Clowney Free Throw 1 of 2 (1 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
53,PT07M46.00S,2026-03-10T23:48:23.1Z,1,REGULAR,freethrow,2 of 2,[],1641730,,,1610612751,11,17,2026-03-10T23:48:23Z,520000,False,,,0,,N. Clowney Free Throw 2 of 2 (2 PTS),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
54,PT07M38.00S,2026-03-10T23:48:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,10.988830486202366,48.77450980392157,1610612765,11,19,2026-03-10T23:48:54Z,530000,False,6.0,51.0,1,left,J. Duren Layup (7 PTS) (C. Cunningham 3 AST),"[1631105, 1630595]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,5.12,Made,7.0,C. Cunningham,1630595.0,3.0,,,,,,,,,,,,,,
56,PT07M38.00S,2026-03-10T23:48:36.1Z,1,REGULAR,foul,personal,['1freethrow'],1642849,,,1610612765,11,19,2026-03-10T23:48:44Z,550000,False,,,0,,N. Traore shooting personal FOUL (1 PF) (Duren 1 FT),"[1642849, 1631105]",1610612751.0,BKN,shooting,,,Traore,N. Traore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627963.0,1.0,0.0,Duren,1631105.0,,,,,
58,PT07M38.00S,2026-03-10T23:49:03.9Z,1,REGULAR,freethrow,1 of 1,[],1631105,,,1610612765,11,19,2026-03-10T23:49:06Z,570000,False,,,0,,MISS J. Duren Free Throw 1 of 1,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT07M35.00S,2026-03-10T23:49:06.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,11,19,2026-03-10T23:49:06Z,580000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,58.0,2.0,1.0,1.0,,,,,,,,,,
