actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-05T00:40:54.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-05T00:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-05T00:40:57.0Z,1,REGULAR,jumpball,recovered,[],1642856,,,1610612751,0,0,2025-12-05T00:40:57Z,40000,False,,,0,,Jump Ball N. Claxton vs. K. Filipowski: Tip to E. Dëmin,"[1642856, 1629651, 1642271]",1610612751.0,BKN,startperiod,E. Dëmin,1642856.0,Dëmin,E. Dëmin,Claxton,1629651.0,Filipowski,1642271.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-12-05T00:41:11.2Z,1,REGULAR,3pt,Jump Shot,[],1642856,28.86005256241787,73.52941176470588,1610612751,0,0,2025-12-05T00:41:15Z,70000,False,-118.0,219.0,1,left,MISS E. Dëmin 24' 3PT,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,24.84,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-12-05T00:41:14.2Z,1,REGULAR,rebound,defensive,[],1642271,,,1610612762,0,0,2025-12-05T00:41:15Z,80000,False,,,0,,K. Filipowski REBOUND (Off:0 Def:1),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-12-05T00:41:22.1Z,1,REGULAR,3pt,Jump Shot,[],1628374,79.71419185282524,6.127450980392156,1610612762,0,0,2025-12-05T00:41:26Z,90000,False,-219.0,138.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-12-05T00:41:25.1Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,0,0,2025-12-05T00:41:26Z,100000,False,,,0,,T. Martin REBOUND (Off:0 Def:1),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M23.00S,2025-12-05T00:41:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,7.178055190538765,58.82352941176471,1610612751,0,0,2025-12-05T00:42:14Z,110000,False,-44.0,15.0,1,left,MISS N. Claxton driving Layup,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,4.66,Missed,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2025-12-05T00:41:33.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2025-12-05T00:41:35Z,120000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M12.00S,2025-12-05T00:41:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642271,89.17542706964521,57.59803921568627,1610612762,0,0,2025-12-05T00:41:46Z,130000,False,38.0,49.0,1,right,MISS K. Filipowski 6' turnaround fadeaway Shot,[1642271],1610612762.0,UTA,turnaround fadeaway,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2025-12-05T00:41:43.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2025-12-05T00:41:46Z,140000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M04.00S,2025-12-05T00:41:50.1Z,1,REGULAR,turnover,lost ball,[],1629651,,,1610612751,0,0,2025-12-05T00:41:57Z,150000,False,,,0,,N. Claxton lost ball TURNOVER (1 TO),"[1629651, 1642271]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Filipowski,1642271.0,,,,,,,,,,,
16,PT11M04.00S,2025-12-05T00:41:50.1Z,1,REGULAR,steal,,[],1642271,,,1610612762,0,0,2025-12-05T00:42:19Z,160000,False,,,0,,K. Filipowski STEAL (1 STL),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2025-12-05T00:41:54.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628374,92.46057818659659,45.34313725490196,1610612762,0,2,2025-12-05T00:41:59Z,170000,False,-23.0,18.0,1,right,L. Markkanen running Layup (2 PTS) (K. George 1 AST),"[1628374, 1641718]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,2.97,Made,,,,,,,,2.0,K. George,1641718.0,1.0,,,,,,,
19,PT10M42.00S,2025-12-05T00:42:11.6Z,1,REGULAR,3pt,Jump Shot,[],1641730,28.991458607095925,21.323529411764707,1610612751,3,2,2025-12-05T00:42:16Z,190000,False,143.0,220.0,1,left,N. Clowney 26' 3PT  (3 PTS) (E. Dëmin 1 AST),"[1641730, 1642856]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Right Center,26.26,Made,,,,,,,,3.0,E. Dëmin,1642856.0,1.0,,,,,,,
21,PT10M24.00S,2025-12-05T00:42:30.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642846,93.64323258869908,50.245098039215684,1610612762,3,4,2025-12-05T00:42:33Z,210000,False,1.0,7.0,1,right,A. Bailey cutting DUNK (2 PTS) (K. Filipowski 1 AST),"[1642846, 1642271]",1610612762.0,UTA,cutting,,,Bailey,A. Bailey,,,,,Restricted Area,0-8 Center,0.74,Made,,,,,,,,2.0,K. Filipowski,1642271.0,1.0,,,,,,,
23,PT10M06.00S,2025-12-05T00:42:47.5Z,1,REGULAR,3pt,Jump Shot,[],1631213,22.158344283837057,10.294117647058822,1610612751,3,4,2025-12-05T00:43:54Z,230000,False,199.0,156.0,1,left,MISS T. Martin 25' 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2025-12-05T00:42:51.5Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,3,4,2025-12-05T00:43:04Z,240000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M40.00S,2025-12-05T00:43:14.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,91.27792378449409,60.29411764705882,1610612762,3,4,2025-12-05T00:43:18Z,250000,False,51.0,29.0,1,right,MISS K. George driving floating bank Shot,[1641718],1610612762.0,UTA,driving floating bank,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,5.94,Missed,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2025-12-05T00:43:15.4Z,1,REGULAR,rebound,offensive,[],1641718,,,1610612762,3,4,2025-12-05T00:43:15Z,260000,False,,,0,,K. George REBOUND (Off:1 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,In The Paint (Non-RA),0-8 Center,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT09M37.00S,2025-12-05T00:43:18.7Z,1,REGULAR,foul,personal,['2freethrow'],1641730,,,1610612762,3,4,2025-12-05T00:43:32Z,270000,False,,,0,,N. Clowney shooting personal FOUL (1 PF) (George 2 FT),"[1641730, 1641718]",1610612751.0,BKN,shooting,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,1830.0,1.0,0.0,George,1641718.0,,
29,PT09M37.00S,2025-12-05T00:43:49.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641718,,,1610612762,3,5,2025-12-05T00:43:49Z,290000,False,,,0,,K. George Free Throw 1 of 2 (1 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
30,PT09M37.00S,2025-12-05T00:44:10.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641718,,,1610612762,3,6,2025-12-05T00:44:10Z,300000,False,,,0,,K. George Free Throw 2 of 2 (2 PTS),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
31,PT09M22.00S,2025-12-05T00:44:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641730,6.652431011826544,43.872549019607845,1610612751,5,6,2025-12-05T00:44:32Z,310000,False,31.0,10.0,1,left,N. Clowney driving Layup (5 PTS),[1641730],1610612751.0,BKN,driving,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,3.22,Made,,,,,,,,5.0,,,,,,,,,,
32,PT09M11.00S,2025-12-05T00:44:37.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,92.72339027595268,48.77450980392157,1610612762,5,8,2025-12-05T00:44:42Z,320000,False,-6.0,16.0,1,right,L. Markkanen alley-oop DUNK (4 PTS) (K. Filipowski 2 AST),"[1628374, 1642271]",1610612762.0,UTA,alley-oop,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.7,Made,,,,,,,,4.0,K. Filipowski,1642271.0,2.0,,,,,,,
34,PT09M01.00S,2025-12-05T00:44:48.0Z,1,REGULAR,3pt,Jump Shot,[],1641730,30.831143232588698,72.30392156862744,1610612751,8,8,2025-12-05T00:44:51Z,340000,False,-112.0,237.0,1,left,N. Clowney 26' 3PT  (8 PTS) (T. Mann 1 AST),"[1641730, 1629611]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,26.22,Made,,,,,,,,8.0,T. Mann,1629611.0,1.0,,,,,,,
36,PT08M38.00S,2025-12-05T00:45:10.7Z,1,REGULAR,3pt,Jump Shot,[],1641718,93.51182654402102,96.32352941176471,1610612762,8,8,2025-12-05T00:45:16Z,360000,False,232.0,8.0,1,right,MISS K. George 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
37,PT08M34.00S,2025-12-05T00:45:14.7Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,8,8,2025-12-05T00:45:19Z,370000,False,,,0,,T. Martin REBOUND (Off:0 Def:2),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Right Corner 3,24+ Right,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M27.00S,2025-12-05T00:45:22.0Z,1,REGULAR,3pt,Jump Shot,[],1641730,29.122864651773984,79.16666666666666,1610612751,8,8,2025-12-05T00:45:25Z,380000,False,-146.0,221.0,1,left,MISS N. Clowney 26' 3PT,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
39,PT08M24.00S,2025-12-05T00:45:25.0Z,1,REGULAR,rebound,defensive,[],1629004,,,1610612762,8,8,2025-12-05T00:45:25Z,390000,False,,,0,,S. Mykhailiuk REBOUND (Off:0 Def:1),[1629004],1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Left Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT08M19.00S,2025-12-05T00:45:30.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629004,92.46057818659659,45.83333333333333,1610612762,8,10,2025-12-05T00:45:35Z,400000,False,-21.0,18.0,1,right,S. Mykhailiuk running Layup (2 PTS),[1629004],1610612762.0,UTA,running,,,Mykhailiuk,S. Mykhailiuk,,,,,Restricted Area,0-8 Center,2.78,Made,,,,,,,,2.0,,,,,,,,,,
41,PT08M02.00S,2025-12-05T00:45:46.4Z,1,REGULAR,3pt,Jump Shot,[],1631213,6.915243101182654,3.6764705882352944,1610612751,8,10,2025-12-05T00:45:51Z,410000,False,232.0,13.0,1,left,MISS T. Martin 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Right Corner 3,24+ Right,23.19,Missed,,,,,,,,,,,,,,,,,,
