actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-02-24T03:42:42.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-24T03:42:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-24T03:42:44.4Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2024-02-24T03:42:44Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. A. Davis: Tip to J. Champagnie,"[1630577, 1641705, 203076]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-02-24T03:43:04.7Z,1,REGULAR,turnover,lost ball,[],1630170,,,1610612759,0,0,2024-02-24T03:43:08Z,70000,False,,,0,,D. Vassell lost ball TURNOVER (1 TO),"[1630170, 1629060]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,1.0,Hachimura,1629060.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-02-24T03:43:04.7Z,1,REGULAR,steal,,[],1629060,,,1610612747,0,0,2024-02-24T03:45:27Z,80000,False,,,0,,R. Hachimura STEAL (1 STL),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2024-02-24T03:43:09.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630559,13.715505913272011,96.07843137254902,1610612747,0,0,2024-02-24T03:43:17Z,90000,False,-230.0,76.0,1,left,MISS A. Reaves 24' running 3PT,[1630559],1610612747.0,LAL,running,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,,,,24.27,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2024-02-24T03:43:13.1Z,1,REGULAR,rebound,offensive,[],1630559,,,1610612747,0,0,2024-02-24T03:43:17Z,100000,False,,,0,,A. Reaves REBOUND (Off:1 Def:0),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M27.00S,2024-02-24T03:43:15.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630559,7.670827858081481,45.34313725490197,1610612747,0,0,2024-02-24T03:43:20Z,110000,False,23.0,20.0,1,left,MISS A. Reaves driving Layup - blocked,"[1630559, 1641705]",1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,3.04,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,
12,PT11M27.00S,2024-02-24T03:43:15.3Z,1,REGULAR,block,,[],1641705,,,1610612747,0,0,2024-02-24T03:43:17Z,120000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2024-02-24T03:43:15.3Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2024-02-24T03:43:20Z,130000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M22.00S,2024-02-24T03:43:21.0Z,1,REGULAR,foul,personal,['3freethrow'],203076,,,1610612759,0,0,2024-02-24T03:43:32Z,140000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Wembanyama 3 FT),"[203076, 1641705]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,1627526.0,1.0,0.0,Wembanyama,1641705.0,,,,
16,PT11M22.00S,2024-02-24T03:43:50.3Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],1641705,,,1610612759,0,1,2024-02-24T03:43:50Z,160000,False,,,0,,V. Wembanyama Free Throw 1 of 3 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
17,PT11M22.00S,2024-02-24T03:44:07.2Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],1641705,,,1610612759,0,2,2024-02-24T03:44:07Z,170000,False,,,0,,V. Wembanyama Free Throw 2 of 3 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,,,,,,,,2.0,,,
18,PT11M22.00S,2024-02-24T03:44:24.5Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],1641705,,,1610612759,0,3,2024-02-24T03:44:24Z,180000,False,,,0,,V. Wembanyama Free Throw 3 of 3 (3 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,,,,,,,,3.0,,,
19,PT11M11.00S,2024-02-24T03:44:38.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,8.590670170827863,51.470588235294116,1610612747,2,3,2024-02-24T03:44:42Z,190000,False,-7.0,28.0,1,left,L. James alley-oop Layup (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,alley-oop,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,2.93,Made,,,,,,,,,,,,2.0,A. Reaves,1630559.0,1.0
21,PT10M49.00S,2024-02-24T03:45:01.3Z,1,REGULAR,foul,personal,['2freethrow'],1629060,,,1610612759,2,3,2024-02-24T03:45:07Z,210000,False,,,0,,R. Hachimura shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1629060, 1641705]",1610612747.0,LAL,shooting,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,200834.0,1.0,0.0,Wembanyama,1641705.0,,,,
23,PT10M49.00S,2024-02-24T03:45:33.0Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,2,4,2024-02-24T03:45:33Z,230000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (4 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,,,,,,,,4.0,,,
24,PT10M49.00S,2024-02-24T03:45:50.4Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,2,5,2024-02-24T03:45:50Z,240000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (5 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,,,,,,,,,,,,5.0,,,
25,PT10M31.00S,2024-02-24T03:46:11.8Z,1,REGULAR,foul,personal,['2freethrow'],1641705,,,1610612747,2,5,2024-02-24T03:46:17Z,250000,False,,,0,,V. Wembanyama shooting personal FOUL (1 PF) (Davis 2 FT),"[1641705, 203076]",1610612759.0,SAS,shooting,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,200834.0,1.0,0.0,Davis,203076.0,,,,
27,PT10M31.00S,2024-02-24T03:46:52.6Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,2,5,2024-02-24T03:46:52Z,270000,False,,,0,,MISS A. Davis Free Throw 1 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
28,PT10M31.00S,2024-02-24T03:46:52.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,2,5,2024-02-24T03:46:52Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,
29,PT10M31.00S,2024-02-24T03:47:12.0Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,3,5,2024-02-24T03:47:12Z,290000,False,,,0,,A. Davis Free Throw 2 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Made,,,,,,,,,,,,1.0,,,
