actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-26T03:41:02.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-26T03:41:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-26T03:41:06.2Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2024-01-26T03:41:06Z,40000,False,,,0,,Jump Ball A. Davis vs. N. Vucevic: Tip to D. Russell,"[1626156, 203076, 202696]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Davis,203076.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-26T03:41:19.3Z,1,REGULAR,3pt,Jump Shot,[],2544,11.350197109067011,3.67647058823529,1610612747,3,0,2024-01-26T03:41:23Z,70000,False,232.0,54.0,1,left,L. James 3PT  (3 PTS) (A. Davis 1 AST),"[2544, 203076]",1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,23.79,Made,3.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-01-26T03:41:41.1Z,1,REGULAR,2pt,Jump Shot,[],201942,79.81274638633377,73.77450980392157,1610612741,3,2,2024-01-26T03:41:47Z,90000,False,119.0,137.0,1,right,D. DeRozan 18' Jump Shot (2 PTS) (C. White 1 AST),"[201942, 1629632]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Right Center,18.16,Made,2.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,
12,PT11M04.00S,2024-01-26T03:42:04.1Z,1,REGULAR,violation,kicked ball,[],1627936,,,1610612747,3,2,2024-01-26T03:42:08Z,120000,False,,,0,,A. Caruso kicked ball VIOLATION,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,2534.0,,,,,,,,,,,,,
13,PT10M58.00S,2024-01-26T03:42:13.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,9.379106438896187,50.49019607843137,1610612747,5,2,2024-01-26T03:42:18Z,130000,False,-2.0,36.0,1,left,A. Davis alley-oop DUNK (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.58,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
15,PT10M47.00S,2024-01-26T03:42:23.6Z,1,REGULAR,3pt,Jump Shot,[],1627936,65.48948751642575,44.11764705882353,1610612741,5,5,2024-01-26T03:42:28Z,150000,False,-29.0,272.0,1,right,A. Caruso 27' 3PT pullup (3 PTS),[1627936],1610612741.0,CHI,pullup,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Center,27.35,Made,3.0,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2024-01-26T03:42:38.3Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,5,5,2024-01-26T03:42:43Z,160000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1627936]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Caruso,1627936.0,,,,,,,,,,
17,PT10M33.00S,2024-01-26T03:42:38.3Z,1,REGULAR,steal,,[],1627936,,,1610612741,5,5,2024-01-26T03:42:40Z,170000,False,,,0,,A. Caruso STEAL (1 STL),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M29.00S,2024-01-26T03:42:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627936,91.24507227332458,52.450980392156865,1610612741,5,7,2024-01-26T03:42:47Z,180000,False,12.0,30.0,1,right,A. Caruso running Layup (5 PTS),[1627936],1610612741.0,CHI,running,,,Caruso,A. Caruso,,,,,Restricted Area,0-8 Center,3.22,Made,5.0,,,,,,,,,,,,,,,,,
