actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-23T02:41:12.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-23T02:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-23T02:41:14.0Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2024-03-23T02:41:14Z,40000,False,,,0,,Jump Ball A. Davis vs. M. Bamba: Tip to L. James,"[2544, 203076, 1628964]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-23T02:41:26.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,92.29632063074901,44.11764705882353,1610612747,0,0,2024-03-23T02:42:12Z,70000,False,-29.0,20.0,1,right,MISS L. James cutting Layup - blocked,"[2544, 1628964]",1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,3.55,Missed,Bamba,1628964.0,,,,,,,,,,,,,,,,
8,PT11M46.00S,2024-03-23T02:41:26.5Z,1,REGULAR,block,,[],1628964,,,1610612747,0,0,2024-03-23T02:41:29Z,80000,False,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-03-23T02:41:29.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2024-03-23T02:41:30Z,90000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M36.00S,2024-03-23T02:41:36.0Z,1,REGULAR,2pt,Jump Shot,[],202699,12.00722733245729,78.67647058823529,1610612755,0,0,2024-03-23T02:41:40Z,100000,False,-143.0,60.0,1,left,MISS T. Harris 15' step back Shot,[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,15.56,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2024-03-23T02:41:40.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,0,2024-03-23T02:41:40Z,110000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M29.00S,2024-03-23T02:41:42.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630559,67.7233902759527,70.34313725490196,1610612747,0,0,2024-03-23T02:42:38Z,120000,False,102.0,251.0,1,right,MISS A. Reaves 27' running pullup 3PT,[1630559],1610612747.0,LAL,running pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2024-03-23T02:41:45.9Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2024-03-23T02:41:49Z,130000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,
14,PT11M11.00S,2024-03-23T02:42:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,34.74047306176085,46.32352941176471,1610612755,0,0,2024-03-23T02:42:03Z,140000,False,18.0,274.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,27.47,Missed,,,,,,,,,,,,,,,,,,
