actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-18T01:41:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-18T01:41:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-18T01:41:35.1Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612742,0,0,2024-01-18T01:41:35Z,40000,False,,,0,,Jump Ball D. Lively II vs. A. Davis: Tip to K. Irving,"[202681, 1641726, 203076]",1610612742.0,DAL,startperiod,K. Irving,202681.0,Irving,K. Irving,Lively II,1641726.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-01-18T01:41:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641726,7.013797634691201,56.127450980392155,1610612742,0,2,2024-01-18T01:42:24Z,70000,False,-31.0,13.0,1,left,D. Lively II cutting Layup (2 PTS) (L. Doncic 1 AST),"[1641726, 1629029]",1610612742.0,DAL,cutting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,3.34,Made,2.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-01-18T01:42:04.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,93.08475689881735,49.754901960784316,1610612747,2,2,2024-01-18T01:42:09Z,90000,False,-1.0,13.0,1,right,A. Davis cutting DUNK (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.26,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2024-01-18T01:42:18.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,6.356767411300922,50.245098039215684,1610612742,2,4,2024-01-18T01:42:22Z,110000,False,-1.0,7.0,1,left,D. Lively II DUNK (4 PTS) (L. Doncic 2 AST),"[1641726, 1629029]",1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,0.74,Made,4.0,L. Doncic,1629029.0,2.0,,,,,,,,,,,,,,
13,PT11M02.00S,2024-01-18T01:42:30.5Z,1,REGULAR,turnover,bad pass,[],1630559,,,1610612747,2,4,2024-01-18T01:42:35Z,130000,False,,,0,,A. Reaves bad pass TURNOVER (1 TO),"[1630559, 1641726]",1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Lively II,1641726.0,,,,,,,,,,,
14,PT11M02.00S,2024-01-18T01:42:30.5Z,1,REGULAR,steal,,[],1641726,,,1610612742,2,4,2024-01-18T01:42:32Z,140000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2024-01-18T01:42:37.4Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612742,2,4,2024-01-18T01:42:43Z,150000,False,,,0,,K. Irving bad pass out-of-bounds TURNOVER (1 TO),[202681],1610612742.0,DAL,bad pass,,,Irving,K. Irving,,,,,Above the Break 3,24+ Center,,,,,,,1.0,,,1627524.0,,,,,,,,,,
16,PT10M45.00S,2024-01-18T01:42:57.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626156,85.72601839684626,42.40196078431373,1610612747,2,4,2024-01-18T01:43:57Z,160000,False,-38.0,82.0,1,right,MISS D. Russell 9' pullup Shot,[1626156],1610612747.0,LAL,pullup,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,9.01,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2024-01-18T01:43:00.9Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,2,4,2024-01-18T01:43:03Z,170000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M37.00S,2024-01-18T01:43:07.8Z,1,REGULAR,foul,offensive,[],203501,,,1610612742,2,4,2024-01-18T01:43:16Z,180000,False,,,0,,T. Hardaway Jr. offensive FOUL (1 PF),"[203501, 1626156]",1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1627524.0,,,,,1.0,0.0,Russell,1626156.0,,
20,PT10M37.00S,2024-01-18T01:43:07.8Z,1,REGULAR,turnover,offensive foul,[],203501,,,1610612742,2,4,2024-01-18T01:43:07Z,200000,False,,,0,,T. Hardaway Jr. offensive foul TURNOVER (1 TO),[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,1.0,,,1627524.0,,,,,,,,,,
21,PT10M23.00S,2024-01-18T01:43:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626156,91.63929040735874,45.58823529411765,1610612747,4,4,2024-01-18T01:43:37Z,210000,False,-22.0,26.0,1,right,D. Russell cutting Layup (2 PTS) (A. Davis 1 AST),"[1626156, 203076]",1610612747.0,LAL,cutting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,3.42,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,
23,PT10M09.00S,2024-01-18T01:43:45.5Z,1,REGULAR,2pt,Jump Shot,[],1629029,24.753613666228645,60.53921568627451,1610612742,4,4,2024-01-18T01:43:51Z,230000,False,-53.0,180.0,1,left,MISS L. Doncic 18' step back Shot,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,18.77,Missed,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2024-01-18T01:43:49.5Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,4,4,2024-01-18T01:43:51Z,240000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Center,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
26,PT09M58.00S,2024-01-18T01:44:14.3Z,1,REGULAR,3pt,Jump Shot,[],1627752,92.16491458607096,4.166666666666657,1610612747,4,4,2024-01-18T01:44:18Z,260000,False,-229.0,21.0,1,right,MISS T. Prince 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,23.02,Missed,,,,,,,,,,,,,,,,,,
27,PT09M57.00S,2024-01-18T01:44:15.3Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,4,4,2024-01-18T01:44:18Z,270000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Left Corner 3,24+ Left,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,
