actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-06T03:12:52.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-06T03:12:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-06T03:12:55.5Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-12-06T03:12:55Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Davis: Tip to D. Booker,"[1626164, 203994, 203076]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Nurkic,203994.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-06T03:13:07.2Z,1,REGULAR,3pt,Jump Shot,[],201142,28.95860709592641,74.01960784313725,1610612756,0,0,2023-12-06T03:13:15Z,70000,False,-120.0,220.0,1,left,MISS K. Durant 25' 3PT,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-12-06T03:13:08.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,0,2023-12-06T03:13:15Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-12-06T03:13:36.0Z,1,REGULAR,3pt,Jump Shot,[],1626156,75.08212877792378,17.40196078431373,1610612747,3,0,2023-12-06T03:13:40Z,100000,False,-163.0,182.0,1,right,D. Russell 24' 3PT  (3 PTS) (L. James 1 AST),"[1626156, 2544]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,24.41,Made,,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,
12,PT11M03.00S,2023-12-06T03:14:06.9Z,1,REGULAR,turnover,3-second-violation,[],203994,,,1610612756,3,0,2023-12-06T03:14:15Z,120000,False,,,0,,J. Nurkic 3-second-violation TURNOVER (1 TO),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1199.0,1.0,,,,,,,,,,,
13,PT10M48.00S,2023-12-06T03:14:27.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,75.08212877792378,15.931372549019613,1610612747,3,0,2023-12-06T03:14:32Z,130000,False,-170.0,182.0,1,right,MISS D. Russell 24' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2023-12-06T03:14:30.0Z,1,REGULAR,rebound,defensive,[],201569,,,1610612756,3,0,2023-12-06T03:14:32Z,140000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612756.0,PHX,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Left Center,,,13.0,,,,,,,1.0,1.0,0.0,,,,,,,,
15,PT10M38.00S,2023-12-06T03:14:36.7Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],201142,7.802233902759525,73.0392156862745,1610612756,3,2,2023-12-06T03:15:31Z,150000,False,-115.0,21.0,1,left,K. Durant 11' running pullup Jump Shot (2 PTS) (E. Gordon 1 AST),"[201142, 201569]",1610612756.0,PHX,running pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,11.71,Made,,2.0,E. Gordon,201569.0,1.0,,,,,,,,,,,,,
16,PT10M22.00S,2023-12-06T03:14:53.6Z,1,REGULAR,2pt,Jump Shot,[],203076,89.01116951379764,25.24509803921569,1610612747,3,2,2023-12-06T03:14:59Z,160000,False,-124.0,51.0,1,right,MISS A. Davis 13' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,13.38,Missed,,,,,,,,,,,,,,,,,,
