actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-10T03:40:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-10T03:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-10T03:40:45.6Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2024-01-10T03:40:45Z,40000,False,,,0,,Jump Ball S. Barnes vs. A. Davis: Tip to I. Quickley,"[1630193, 1630567, 203076]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Barnes,1630567.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-01-10T03:40:58.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,93.47897503285151,53.18627450980392,1610612761,0,2,2024-01-10T03:41:03Z,70000,False,16.0,9.0,1,right,P. Siakam Layup (2 PTS) (S. Barnes 1 AST),"[1627783, 1630567]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.82,Made,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
9,PT11M18.00S,2024-01-10T03:41:22.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,12.13863337713535,57.35294117647059,1610612747,2,2,2024-01-10T03:41:26Z,90000,False,-37.0,62.0,1,left,A. Davis 7' turnaround Hook (2 PTS),[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.18,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M03.00S,2024-01-10T03:41:36.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,87.0400788436268,57.84313725490196,1610612761,2,4,2024-01-10T03:41:40Z,100000,False,39.0,69.0,1,right,S. Barnes 7' Hook (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,7.96,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M50.00S,2024-01-10T03:41:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,6.044678055190531,45.12101715686274,1610612747,4,4,2024-01-10T03:42:01Z,110000,False,24.0,4.0,1,left,A. Davis cutting Layup (4 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.48,Made,4.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
13,PT10M50.00S,2024-01-10T03:42:00.2Z,1,REGULAR,foul,personal,['1freethrow'],201152,,,1610612747,4,4,2024-01-10T03:42:07Z,130000,False,,,0,,T. Young shooting personal FOUL (1 PF) (Davis 1 FT),"[201152, 203076]",1610612761.0,TOR,shooting,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,,201246.0,1.0,0.0,Davis,203076.0,,,,,,,,,
15,PT10M50.00S,2024-01-10T03:42:25.9Z,1,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,5,4,2024-01-10T03:42:25Z,150000,False,,,0,,A. Davis Free Throw 1 of 1 (5 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2024-01-10T03:42:46.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,68.9060446780552,29.143688725490193,1610612761,5,7,2024-01-10T03:42:52Z,170000,False,-104.0,240.0,1,right,S. Barnes 26' 3PT  (5 PTS) (P. Siakam 1 AST),"[1630567, 1627783]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,26.15,Made,5.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
19,PT10M12.00S,2024-01-10T03:43:03.8Z,1,REGULAR,3pt,Jump Shot,[],1627752,23.833771353482263,86.51960784313725,1610612747,5,7,2024-01-10T03:43:10Z,190000,False,-183.0,172.0,1,left,MISS T. Prince 25' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,25.05,Missed,,,,,,,,,,,,,,,,,,
