actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-25T02:10:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-25T02:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-25T02:10:43.0Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2024-03-25T02:10:43Z,40000,False,,,0,,Jump Ball M. Turner vs. A. Davis: Tip to P. Siakam,"[1627783, 1626167, 203076]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-25T02:10:56.9Z,1,REGULAR,3pt,Jump Shot,[],1630174,29.09001314060447,80.3921568627451,1610612754,0,3,2024-03-25T02:11:02Z,70000,False,-152.0,221.0,1,left,A. Nesmith 26' 3PT  (3 PTS) (P. Siakam 1 AST),"[1630174, 1627783]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,26.81,Made,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-03-25T02:11:22.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,84.80617608409987,52.450980392156865,1610612747,0,3,2024-03-25T02:11:49Z,90000,False,12.0,90.0,1,right,MISS A. Reaves 9' driving Layup,[1630559],1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,9.11,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2024-03-25T02:11:25.5Z,1,REGULAR,rebound,offensive,[],1630559,,,1610612747,0,3,2024-03-25T02:11:29Z,110000,False,,,0,,A. Reaves REBOUND (Off:1 Def:0),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M12.00S,2024-03-25T02:11:27.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630559,92.42772667542707,20.588235294117652,1610612747,0,3,2024-03-25T02:11:34Z,120000,False,-147.0,19.0,1,right,MISS A. Reaves 14' fadeaway Shot,[1630559],1610612747.0,LAL,fadeaway,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,14.83,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2024-03-25T02:11:27.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,3,2024-03-25T02:11:34Z,130000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M06.00S,2024-03-25T02:11:32.7Z,1,REGULAR,2pt,Layup,['fastbreak'],1627783,7.145203679369246,67.40196078431373,1610612754,0,3,2024-03-25T02:11:43Z,140000,False,-87.0,15.0,1,left,MISS P. Siakam 8' running Layup - blocked,"[1627783, 1629060]",1610612754.0,IND,running,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,8.82,Missed,,,,,,,,,Hachimura,1629060.0,,,,,,,,
15,PT11M06.00S,2024-03-25T02:11:32.7Z,1,REGULAR,block,,[],1629060,,,1610612754,0,3,2024-03-25T02:11:35Z,150000,False,,,0,,R. Hachimura BLOCK (1 BLK),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2024-03-25T02:11:32.7Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,3,2024-03-25T02:11:43Z,160000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M57.00S,2024-03-25T02:11:42.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203915,91.63929040735874,50.245098039215684,1610612747,2,3,2024-03-25T02:11:57Z,170000,False,1.0,26.0,1,right,S. Dinwiddie driving DUNK (2 PTS),[203915],1610612747.0,LAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,2.61,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M43.00S,2024-03-25T02:11:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,7.933639947437584,41.666666666666664,1610612754,2,3,2024-03-25T02:13:27Z,180000,False,42.0,22.0,1,left,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
