actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-15T03:40:59.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-15T03:40:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-15T03:41:05.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2023-11-15T03:41:05Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. A. Davis: Tip to Team (MEM),"[1628991, 203076]",1610612763.0,MEM,startperiod,Team (MEM),Jackson Jr.,1628991.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-11-15T03:41:52.7Z,1,REGULAR,3pt,Jump Shot,[],1631367,93.2161629434954,2.6960784313725554,1610612763,0,3,2023-11-15T03:41:58Z,80000,False,-237.0,11.0,1,right,J. Gilyard 3PT  (3 PTS) (J. Jackson Jr. 1 AST),"[1631367, 1628991]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,23.68,Made,3.0,Gilyard,J. Gilyard,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,,,,
10,PT11M15.00S,2023-11-15T03:42:14.1Z,1,REGULAR,2pt,Jump Shot,[],203076,12.401445466491452,72.79411764705883,1610612747,0,3,2023-11-15T03:42:20Z,100000,False,-114.0,64.0,1,left,MISS A. Davis 13' turnaround Shot - blocked,"[203076, 202687]",1610612747.0,LAL,turnaround,,,,,,Mid-Range,8-16 Left,13.08,Missed,,Davis,A. Davis,,,,Biyombo,202687.0,,,,,,,,,,,,
671,PT11M15.00S,2023-11-15T03:42:14.1Z,1,REGULAR,block,,[],202687,,,1610612747,0,3,2023-11-15T06:43:46Z,105000,False,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2023-11-15T03:42:14.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,0,3,2023-11-15T06:43:46Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,Mid-Range,8-16 Left,,,,,,,,,,,10.0,,,,,,,,,,,
13,PT11M09.00S,2023-11-15T03:42:32.5Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203076,30.4862023653088,51.865042892156865,1610612747,0,3,2023-11-15T03:42:37Z,130000,False,-9.0,234.0,1,left,MISS A. Davis 23' pullup Shot,[203076],1610612747.0,LAL,pullup,,,,,,Mid-Range,16-24 Center,23.43,Missed,,Davis,A. Davis,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2023-11-15T03:42:36.5Z,1,REGULAR,rebound,defensive,[],203935,,,1610612763,0,3,2023-11-15T03:42:37Z,140000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612763.0,MEM,,,,,,,Mid-Range,16-24 Center,,,,Smart,M. Smart,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M54.00S,2023-11-15T03:42:47.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,85.46320630749014,58.57843137254902,1610612763,0,3,2023-11-15T03:43:19Z,150000,False,43.0,84.0,1,right,MISS J. Jackson Jr. 9' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,,,,In The Paint (Non-RA),8-16 Center,9.44,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
16,PT10M51.00S,2023-11-15T03:42:50.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,3,2023-11-15T03:42:53Z,160000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,,James,L. James,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M37.00S,2023-11-15T03:43:04.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203076,8.853482260183966,48.529411764705884,1610612747,2,3,2023-11-15T03:43:08Z,170000,False,7.0,31.0,1,left,A. Davis cutting DUNK (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,cutting,,,,,,Restricted Area,0-8 Center,3.16,Made,2.0,Davis,A. Davis,L. James,2544.0,1.0,,,,,,,,,,,,,,
19,PT10M17.00S,2023-11-15T03:43:23.7Z,1,REGULAR,2pt,Jump Shot,[],203935,78.63009198423127,56.127450980392155,1610612763,2,3,2023-11-15T03:43:28Z,190000,False,31.0,148.0,1,right,MISS M. Smart 15' step back Shot,[203935],1610612763.0,MEM,step back,,,,,,Mid-Range,8-16 Center,15.15,Missed,,Smart,M. Smart,,,,,,,,,,,,,,,,,
20,PT10M14.00S,2023-11-15T03:43:26.7Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,3,2023-11-15T03:43:28Z,200000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,,,,Mid-Range,8-16 Center,,,,Davis,A. Davis,,,,,,19.0,1.0,1.0,0.0,,,,,,,,
21,PT10M08.00S,2023-11-15T03:43:33.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,23.521681997371886,11.741727941176478,1610612747,5,3,2023-11-15T03:44:27Z,210000,False,191.0,169.0,1,left,D. Russell 25' 3PT pullup (3 PTS),[1626156],1610612747.0,LAL,pullup,,,,,,Above the Break 3,24+ Right Center,25.5,Made,3.0,Russell,D. Russell,,,,,,,,,,,,,,,,,
22,PT09M46.00S,2023-11-15T03:43:54.8Z,1,REGULAR,3pt,Jump Shot,[],1628991,63.78120893561104,42.64705882352941,1610612763,5,3,2023-11-15T03:44:00Z,220000,False,-37.0,288.0,1,right,MISS J. Jackson Jr. 29' 3PT,[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,29.03,Missed,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
23,PT09M44.00S,2023-11-15T03:43:56.8Z,1,REGULAR,rebound,offensive,[],202687,,,1610612763,5,3,2023-11-15T03:44:00Z,230000,False,,,0,,B. Biyombo REBOUND (Off:1 Def:0),[202687],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Biyombo,B. Biyombo,,,,,,22.0,1.0,0.0,1.0,,,,,,,,
24,PT09M42.00S,2023-11-15T03:43:59.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203935,93.47897503285151,3.67647058823529,1610612763,5,6,2023-11-15T03:44:05Z,240000,False,-232.0,9.0,1,right,M. Smart 3PT  (3 PTS) (B. Biyombo 1 AST),"[203935, 202687]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,23.18,Made,3.0,Smart,M. Smart,B. Biyombo,202687.0,1.0,,,,,,,,,,,,,,
26,PT09M26.00S,2023-11-15T03:44:15.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629629,9.773324572930349,48.0392156862745,1610612747,5,6,2023-11-15T03:44:21Z,260000,False,10.0,39.0,1,left,MISS C. Reddish driving Layup - blocked,"[1629629, 202687]",1610612747.0,LAL,driving,,,,,,Restricted Area,0-8 Center,4.06,Missed,,Reddish,C. Reddish,,,,Biyombo,202687.0,,,,,,,,,,,,
27,PT09M26.00S,2023-11-15T03:44:15.3Z,1,REGULAR,block,,[],202687,,,1610612747,5,6,2023-11-15T03:44:18Z,270000,False,,,0,,B. Biyombo BLOCK (2 BLK),[202687],1610612763.0,MEM,,,,,,,Restricted Area,0-8 Center,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,
28,PT09M26.00S,2023-11-15T03:44:15.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,5,6,2023-11-15T03:44:21Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,26.0,,,,,,,,,,,
