actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-14T03:41:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-14T03:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-14T03:41:13.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2024-02-14T03:41:13Z,40000,False,,,0,,Jump Ball A. Davis vs. J. Duren: Tip to L. James,"[2544, 203076, 1631105]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-02-14T03:41:21.8Z,1,REGULAR,foul,personal,['2freethrow'],1641709,,,1610612747,0,0,2024-02-14T03:41:35Z,70000,False,,,0,,A. Thompson shooting personal FOUL (1 PF) (Hachimura 2 FT),"[1641709, 1629060]",1610612765.0,DET,shooting,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,203054.0,1.0,0.0,Hachimura,1629060.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2024-02-14T03:41:47.4Z,1,REGULAR,freethrow,1 of 2,[],1629060,,,1610612747,0,0,2024-02-14T03:41:47Z,90000,False,,,0,,MISS R. Hachimura Free Throw 1 of 2,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M49.00S,2024-02-14T03:41:47.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612747,0,0,2024-02-14T03:41:47Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M49.00S,2024-02-14T03:42:00.9Z,1,REGULAR,freethrow,2 of 2,[],1629060,,,1610612747,1,0,2024-02-14T03:42:00Z,110000,False,,,0,,R. Hachimura Free Throw 2 of 2 (1 PTS),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M31.00S,2024-02-14T03:42:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,93.34756898817345,50.49019607843137,1610612765,1,2,2024-02-14T03:42:28Z,120000,False,2.0,10.0,1,right,A. Thompson driving reverse Layup (2 PTS) (S. Fontecchio 1 AST),"[1641709, 1631323]",1610612765.0,DET,driving reverse,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.03,S. Fontecchio,1631323.0,1.0,,,,,,,,
15,PT11M14.00S,2024-02-14T03:42:50.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,12.00722733245729,49.754901960784316,1610612747,1,2,2024-02-14T03:42:54Z,150000,False,1.0,60.0,1,left,MISS D. Russell 6' driving floating Shot,[1626156],1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.04,,,,,,,,,,,
16,PT11M11.00S,2024-02-14T03:42:53.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,1,2,2024-02-14T03:42:54Z,160000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,15.0,,,,,,1.0,1.0,0.0,,,,,
17,PT11M02.00S,2024-02-14T03:43:01.0Z,1,REGULAR,3pt,Jump Shot,[],1631093,93.08475689881735,3.4313725490196134,1610612765,1,2,2024-02-14T03:43:06Z,170000,False,-233.0,13.0,1,right,MISS J. Ivey 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.31,,,,,,,,,,,
18,PT10M58.00S,2024-02-14T03:43:05.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,1,2,2024-02-14T03:43:06Z,180000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Left Corner 3,24+ Left,,,,,,,17.0,,,,,,1.0,1.0,0.0,,,,,
19,PT10M47.00S,2024-02-14T03:43:16.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,8.327858081471746,55.14705882352941,1610612747,3,2,2024-02-14T03:43:21Z,190000,False,-26.0,26.0,1,left,R. Hachimura driving Layup (3 PTS),[1629060],1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,,,,,,Made,,3.0,3.64,,,,,,,,,,,
20,PT10M23.00S,2024-02-14T03:43:42.0Z,1,REGULAR,turnover,offensive goaltending,[],1641709,,,1610612765,3,2,2024-02-14T03:44:05Z,200000,False,,,0,,A. Thompson offensive goaltending TURNOVER (1 TO),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,,,,
21,PT10M02.00S,2024-02-14T03:44:17.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203076,10.430354796320628,52.205882352941174,1610612747,3,2,2024-02-14T03:44:20Z,210000,False,-11.0,46.0,1,left,MISS A. Davis turnaround Hook,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,4.68,,,,,,,,,,,
22,PT10M00.00S,2024-02-14T03:44:19.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,2,2024-02-14T03:44:20Z,220000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,21.0,,,,,,1.0,1.0,0.0,,,,,
23,PT09M56.00S,2024-02-14T03:44:26.6Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,3,2,2024-02-14T03:47:20Z,230000,False,,,0,,J. Duren offensive FOUL (1 PF),"[1631105, 1630559]",1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Right Center,203054.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
25,PT09M56.00S,2024-02-14T03:44:26.6Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,3,2,2024-02-14T03:44:26Z,250000,False,,,0,,J. Duren offensive foul TURNOVER (1 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,16-24 Right Center,203054.0,,,,,,,,,,,,,,,1.0,,,,
26,PT09M44.00S,2024-02-14T03:44:50.0Z,1,REGULAR,turnover,out-of-bounds,[],2544,,,1610612747,3,2,2024-02-14T03:47:11Z,260000,False,,,0,,L. James lost ball out-of-bounds TURNOVER (1 TO),[2544],1610612747.0,LAL,lost ball,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,202035.0,,,,,,,,,,,,,,,1.0,,,,
27,PT09M34.00S,2024-02-14T03:45:03.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631093,88.09132720105124,53.67647058823529,1610612765,3,2,2024-02-14T03:45:13Z,270000,False,18.0,59.0,1,right,MISS J. Ivey 6' Jump Shot - blocked,"[1631093, 203076]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,6.22,,,,,,,,Davis,203076.0,,
28,PT09M34.00S,2024-02-14T03:45:03.7Z,1,REGULAR,block,,[],203076,,,1610612765,3,2,2024-02-14T03:45:07Z,280000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT09M29.00S,2024-02-14T03:45:08.7Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,3,2,2024-02-14T03:45:13Z,290000,False,,,0,,C. Cunningham REBOUND (Off:1 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,27.0,,,,,,2.0,1.0,1.0,,,,,
30,PT09M27.00S,2024-02-14T03:45:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1631105,91.90210249671485,49.50980392156863,1610612765,3,4,2024-02-14T03:45:21Z,300000,False,-2.0,24.0,1,right,J. Duren reverse Layup (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,2.37,C. Cunningham,1630595.0,1.0,,,,,,,,
32,PT09M15.00S,2024-02-14T03:45:22.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,7.7529566360052655,97.28094362745098,1610612747,6,4,2024-02-14T03:45:43Z,320000,False,-236.0,20.0,1,left,D. Russell 3PT  (3 PTS) (A. Reaves 1 AST),"[1626156, 1630559]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Left Corner 3,24+ Left,,,,,,Made,,3.0,23.73,A. Reaves,1630559.0,1.0,,,,,,,,
34,PT08M57.00S,2024-02-14T03:45:40.0Z,1,REGULAR,3pt,Jump Shot,[],1631093,73.37385019710908,85.04901960784314,1610612765,6,4,2024-02-14T03:45:46Z,340000,False,175.0,198.0,1,right,MISS J. Ivey 26' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,26.42,,,,,,,,,,,
35,PT08M57.00S,2024-02-14T03:45:40.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,6,4,2024-02-14T03:45:46Z,350000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,,,,34.0,,,,,,1.0,1.0,0.0,,,,,
36,PT08M38.00S,2024-02-14T03:45:59.0Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,6,4,2024-02-14T03:46:10Z,360000,False,,,0,,L. James lost ball TURNOVER (2 TO),"[2544, 1631105]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,2.0,,,Duren,1631105.0
37,PT08M38.00S,2024-02-14T03:45:59.0Z,1,REGULAR,steal,,[],1631105,,,1610612765,6,4,2024-02-14T03:46:00Z,370000,False,,,0,,J. Duren STEAL (1 STL),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
38,PT08M32.00S,2024-02-14T03:46:04.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631105,92.42772667542707,51.22549019607843,1610612765,6,6,2024-02-14T03:49:01Z,380000,False,6.0,19.0,1,right,J. Duren running alley-oop DUNK (4 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,running alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,1.97,C. Cunningham,1630595.0,2.0,,,,,,,,
40,PT08M29.00S,2024-02-14T03:46:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,5.699737187910642,55.14705882352941,1610612747,6,6,2024-02-14T03:46:18Z,400000,False,-26.0,1.0,1,left,MISS A. Davis Layup - blocked,"[203076, 1631093]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,2.57,,,,,,,,Ivey,1631093.0,,
41,PT08M29.00S,2024-02-14T03:46:08.9Z,1,REGULAR,block,,[],1631093,,,1610612747,6,6,2024-02-14T03:46:13Z,410000,False,,,0,,J. Ivey BLOCK (1 BLK),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M29.00S,2024-02-14T03:46:08.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,6,6,2024-02-14T03:46:18Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,40.0,,,,,,,,,,,,,
44,PT08M26.00S,2024-02-14T03:46:26.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,29.48423127463863,79.90196078431373,1610612747,6,6,2024-02-14T03:46:31Z,440000,False,-150.0,225.0,1,left,MISS L. James 26' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,26.99,,,,,,,,,,,
45,PT08M23.00S,2024-02-14T03:46:29.0Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,6,6,2024-02-14T03:46:31Z,450000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Left Center,,,,,,,44.0,,,,,,2.0,2.0,0.0,,,,,
