actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-31T02:40:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-31T02:40:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-31T02:40:43.5Z,1,REGULAR,jumpball,recovered,[],1628365,,,1610612753,0,0,2023-10-31T02:40:43Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. A. Davis: Tip to M. Fultz,"[1628365, 1628976, 203076]",1610612753.0,ORL,startperiod,M. Fultz,1628365.0,Fultz,M. Fultz,Carter Jr.,1628976.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-10-31T02:40:55.4Z,1,REGULAR,2pt,Jump Shot,[],1628365,12.089356110381075,30.369178921568633,1610612753,0,0,2023-10-31T02:41:07Z,70000,False,98.0,61.0,1,left,MISS M. Fultz 11' pullup Shot,[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,8-16 Right,11.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-10-31T02:40:55.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2023-10-31T02:41:07Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Mid-Range,8-16 Right,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-10-31T02:41:01.3Z,1,REGULAR,foul,personal,[],203076,,,1610612753,0,0,2023-10-31T02:41:11Z,90000,False,,,0,,A. Davis loose ball personal FOUL (1 PF),"[203076, 1628976]",1610612747.0,LAL,loose ball,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,202901.0,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,,,,,
11,PT11M35.00S,2023-10-31T02:41:21.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630591,30.66688567674113,25.490196078431367,1610612753,0,3,2023-10-31T02:41:28Z,110000,False,123.0,236.0,1,left,J. Suggs 26' 3PT  (3 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,26.57,Made,,,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,
13,PT11M19.00S,2023-10-31T02:41:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,91.37647831800263,49.01960784313726,1610612747,2,3,2023-10-31T02:41:42Z,130000,False,-5.0,29.0,1,right,A. Reaves cutting Layup (2 PTS) (D. Russell 1 AST),"[1630559, 1626156]",1610612747.0,LAL,cutting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.9,Made,,,,,,,2.0,D. Russell,1626156.0,1.0,,,,,,,,
15,PT11M07.00S,2023-10-31T02:41:49.2Z,1,REGULAR,3pt,Jump Shot,[],1628976,31.192509855453352,71.32352941176471,1610612753,2,6,2023-10-31T02:41:58Z,150000,False,-107.0,241.0,1,left,W. Carter Jr. 26' 3PT bank (3 PTS) (M. Fultz 1 AST),"[1628976, 1628365]",1610612753.0,ORL,bank,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Left Center,26.32,Made,,,,,,,3.0,M. Fultz,1628365.0,1.0,,,,,,,,
17,PT10M43.00S,2023-10-31T02:42:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,92.42772667542707,44.85294117647059,1610612747,4,6,2023-10-31T02:42:17Z,170000,False,-26.0,19.0,1,right,A. Davis Layup (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.18,Made,,,,,,,2.0,L. James,2544.0,1.0,,,,,,,,
19,PT10M29.00S,2023-10-31T02:42:26.8Z,1,REGULAR,2pt,Jump Shot,[],1631094,16.606438896189218,31.372549019607845,1610612753,4,6,2023-10-31T02:42:31Z,190000,False,93.0,104.0,1,left,MISS P. Banchero 13' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,13.93,Missed,,,,,,,,,,,,,,,,,,
