actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-02T02:22:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-02T02:22:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-02T02:22:44.2Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2023-11-02T02:22:44Z,40000,False,,,0,,Jump Ball A. Davis vs. I. Zubac: Tip to D. Russell,"[1626156, 203076, 1627826]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Davis,203076.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-11-02T02:22:52.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,31.84954007884363,73.52941176470588,1610612747,0,0,2023-11-02T02:22:56Z,70000,False,-118.0,247.0,1,left,MISS D. Russell 27' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,27.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-11-02T02:22:55.4Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2023-11-02T02:22:55Z,80000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2023-11-02T02:22:58.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],2544,28.95860709592641,23.529411764705884,1610612747,0,0,2023-11-02T02:23:04Z,90000,False,132.0,220.0,1,left,MISS L. James 25' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2023-11-02T02:23:00.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2023-11-02T02:23:04Z,100000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M16.00S,2023-11-02T02:23:22.6Z,1,REGULAR,3pt,Jump Shot,[],201566,86.12023653088042,5.14705882352942,1610612746,0,0,2023-11-02T02:23:26Z,110000,False,-224.0,78.0,1,right,MISS R. Westbrook 3PT,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Left Corner 3,24+ Left,23.75,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-11-02T02:23:24.6Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,0,2023-11-02T02:23:26Z,120000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Left Corner 3,24+ Left,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M07.00S,2023-11-02T02:23:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,18.7089356110381,53.18627450980392,1610612747,0,0,2023-11-02T02:23:49Z,130000,False,-16.0,123.0,1,left,MISS A. Davis 12' fadeaway Shot,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,12.44,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2023-11-02T02:23:34.7Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2023-11-02T02:23:36Z,140000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
