actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-09T03:16:09.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-09T03:16:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-09T03:16:12.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-03-09T03:16:12Z,40000,False,,,0,,Jump Ball B. Lopez vs. A. Davis: Tip to G. Antetokounmpo,"[203507, 201572, 203076]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-09T03:16:27.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.356767411300922,51.470588235294116,1610612749,0,2,2024-03-09T03:16:33Z,70000,False,-7.0,7.0,1,left,G. Antetokounmpo driving DUNK (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2024-03-09T03:16:49.8Z,1,REGULAR,3pt,Jump Shot,[],1630559,66.67214191852825,40.68627450980392,1610612747,0,2,2024-03-09T03:16:54Z,80000,False,-47.0,261.0,1,right,MISS A. Reaves 26' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,26.49,Missed,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2024-03-09T03:16:52.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2024-03-09T03:16:54Z,90000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M08.00S,2024-03-09T03:17:00.2Z,1,REGULAR,3pt,Jump Shot,[],203081,33.55781865965835,53.67647058823529,1610612749,0,2,2024-03-09T03:17:27Z,100000,False,-18.0,263.0,1,left,MISS D. Lillard 26' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2024-03-09T03:17:03.2Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,0,2,2024-03-09T03:17:04Z,110000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M55.00S,2024-03-09T03:17:13.1Z,1,REGULAR,2pt,Jump Shot,[],203915,78.49868593955321,30.14705882352942,1610612747,0,2,2024-03-09T03:17:18Z,120000,False,-99.0,150.0,1,right,MISS S. Dinwiddie 17' pullup Shot,[203915],1610612747.0,LAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Left Center,17.96,Missed,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2024-03-09T03:17:18.1Z,1,REGULAR,rebound,defensive,[],203109,,,1610612749,0,2,2024-03-09T03:17:18Z,130000,False,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Mid-Range,16-24 Left Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M45.00S,2024-03-09T03:17:26.8Z,1,REGULAR,turnover,out-of-bounds,[],1627736,,,1610612749,0,2,2024-03-09T03:17:33Z,140000,False,,,0,,M. Beasley step out-of-bounds TURNOVER (1 TO),[1627736],1610612749.0,MIL,step,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Right,,,,,,,,202041.0,1.0,,,,,,,,,,,
15,PT10M30.00S,2024-03-09T03:17:46.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203076,84.01773981603154,24.019607843137265,1610612747,0,2,2024-03-09T03:18:16Z,150000,False,-130.0,98.0,1,right,MISS A. Davis 16' pullup Shot,[203076],1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,16.25,Missed,,,,,,,,,,,,,,,,,,
16,PT10M27.00S,2024-03-09T03:17:49.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2024-03-09T03:17:51Z,160000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,
17,PT10M19.00S,2024-03-09T03:17:57.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201572,5.042706964520377,49.26470588235294,1610612749,0,4,2024-03-09T03:18:01Z,170000,False,4.0,-5.0,1,left,B. Lopez cutting DUNK (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,
19,PT10M07.00S,2024-03-09T03:18:12.1Z,1,REGULAR,foul,personal,[],203081,,,1610612747,0,4,2024-03-09T03:18:18Z,190000,False,,,0,,D. Lillard personal FOUL (1 PF),"[203081, 1626156]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1629178.0,,,,,1.0,0.0,Russell,1626156.0,,,,
21,PT10M00.00S,2024-03-09T03:18:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,83.75492772667542,52.450980392156865,1610612747,0,4,2024-03-09T03:18:47Z,210000,False,12.0,100.0,1,right,MISS D. Russell 10' driving floating Shot,[1626156],1610612747.0,LAL,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,10.1,Missed,,,,,,,,,,,,,,,,,,
22,PT09M54.00S,2024-03-09T03:18:46.2Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612747,0,4,2024-03-09T03:18:46Z,220000,False,,,0,,D. Russell REBOUND (Off:1 Def:0),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,21.0,1.0,0.0,1.0,,,,,,,,,,,,,
23,PT09M54.00S,2024-03-09T03:18:46.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626156,94.40999984741211,50.0,1610612747,2,4,2024-03-09T03:18:49Z,230000,False,0.0,0.0,1,right,D. Russell putback Layup (2 PTS),[1626156],1610612747.0,LAL,putback,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2024-03-09T03:18:57.6Z,1,REGULAR,3pt,Jump Shot,[],203507,23.833771353482263,13.235294117647058,1610612749,2,4,2024-03-09T03:19:28Z,240000,False,184.0,172.0,1,left,MISS G. Antetokounmpo 25' pullup 3PT,[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,25.14,Missed,,,,,,,,,,,,,,,,,,
25,PT09M41.00S,2024-03-09T03:18:59.6Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,2,4,2024-03-09T03:19:02Z,250000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,
26,PT09M29.00S,2024-03-09T03:19:12.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,86.7772667542707,51.96078431372549,1610612747,4,4,2024-03-09T03:19:17Z,260000,False,10.0,72.0,1,right,A. Davis 7' turnaround bank Hook (2 PTS),[203076],1610612747.0,LAL,turnaround bank,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.25,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2024-03-09T03:19:23.8Z,1,REGULAR,3pt,Jump Shot,[],1627736,5.174113009198422,96.56862745098039,1610612749,4,4,2024-03-09T03:19:28Z,270000,False,-233.0,-4.0,1,left,MISS M. Beasley 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Left Corner 3,24+ Left,23.28,Missed,,,,,,,,,,,,,,,,,,
28,PT09M14.00S,2024-03-09T03:19:26.9Z,1,REGULAR,rebound,offensive,[],203109,,,1610612749,4,4,2024-03-09T03:19:26Z,280000,False,,,0,,J. Crowder REBOUND (Off:1 Def:1),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Left Corner 3,24+ Left,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,
29,PT09M08.00S,2024-03-09T03:19:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1626156,,,1610612749,4,4,2024-03-09T03:19:42Z,290000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Crowder 2 FT),"[1626156, 203109]",1610612747.0,LAL,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,,,202041.0,,,,,1.0,0.0,Crowder,203109.0,,,,
31,PT09M08.00S,2024-03-09T03:20:07.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203109,,,1610612749,4,5,2024-03-09T03:20:07Z,310000,False,,,0,,J. Crowder Free Throw 1 of 2 (1 PTS),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT09M08.00S,2024-03-09T03:20:24.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203109,,,1610612749,4,6,2024-03-09T03:20:24Z,320000,False,,,0,,J. Crowder Free Throw 2 of 2 (2 PTS),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M54.00S,2024-03-09T03:20:38.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,91.37647831800263,54.65686274509804,1610612747,6,6,2024-03-09T03:20:45Z,330000,False,23.0,29.0,1,right,A. Davis driving reverse Layup (4 PTS),[203076],1610612747.0,LAL,driving reverse,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,3.69,Made,4.0,,,,,,,,,,,,,,,,,
34,PT08M38.00S,2024-03-09T03:20:54.0Z,1,REGULAR,3pt,Jump Shot,[],203081,29.61563731931669,25.490196078431367,1610612749,6,6,2024-03-09T03:21:47Z,340000,False,123.0,226.0,1,left,MISS D. Lillard 25' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
35,PT08M35.00S,2024-03-09T03:20:57.0Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,6,6,2024-03-09T03:20:58Z,350000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:2),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
36,PT08M28.00S,2024-03-09T03:21:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,89.14257555847568,54.65686274509804,1610612747,6,6,2024-03-09T03:21:10Z,360000,False,23.0,50.0,1,right,MISS A. Davis cutting Layup,[203076],1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,5.48,Missed,,,,,,,,,,,,,,,,,,
37,PT08M26.00S,2024-03-09T03:21:07.2Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,6,6,2024-03-09T03:21:10Z,370000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,
