actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-16T03:41:42.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-16T03:41:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-16T03:41:46.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2024-01-16T03:41:46Z,40000,False,,,0,,Jump Ball A. Davis vs. C. Holmgren: Tip to D. Russell,"[1626156, 203076, 1631096]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Davis,203076.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-01-16T03:41:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,7.802233902759525,47.549019607843135,1610612747,0,0,2024-01-16T03:41:56Z,70000,False,12.0,21.0,1,left,MISS T. Prince cutting Layup - blocked,"[1627752, 1630581]",1610612747.0,LAL,cutting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,2.42,Missed,Giddey,1630581.0,,,,,,,,,,,,,,,,
8,PT11M49.00S,2024-01-16T03:41:52.8Z,1,REGULAR,block,,[],1630581,,,1610612747,0,0,2024-01-16T03:41:55Z,80000,False,,,0,,J. Giddey BLOCK (1 BLK),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2024-01-16T03:41:55.8Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2024-01-16T03:41:56Z,90000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M33.00S,2024-01-16T03:42:09.0Z,1,REGULAR,3pt,Jump Shot,[],1630581,80.07555847568989,4.166666666666657,1610612760,0,3,2024-01-16T03:42:13Z,100000,False,-229.0,135.0,1,right,J. Giddey 26' 3PT  (3 PTS) (J. Williams 1 AST),"[1630581, 1631114]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,26.59,Made,,,,,,,3.0,J. Williams,1631114.0,1.0,,,,,,,,
12,PT11M15.00S,2024-01-16T03:42:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1631096,,,1610612747,0,3,2024-01-16T03:43:00Z,120000,False,,,0,,C. Holmgren shooting personal FOUL (1 PF) (Davis 2 FT),"[1631096, 203076]",1610612760.0,OKC,shooting,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627519.0,1.0,0.0,Davis,203076.0,,,
14,PT11M15.00S,2024-01-16T03:43:01.3Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,1,3,2024-01-16T03:43:01Z,140000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
15,PT11M15.00S,2024-01-16T03:43:18.9Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,2,3,2024-01-16T03:43:18Z,150000,False,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
16,PT11M03.00S,2024-01-16T03:43:32.9Z,1,REGULAR,3pt,Jump Shot,[],1631096,74.95072273324573,87.25490196078431,1610612760,2,6,2024-01-16T03:43:37Z,160000,False,186.0,183.0,1,right,C. Holmgren 26' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1631096, 1628983]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,26.11,Made,,,,,,,3.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,
18,PT10M45.00S,2024-01-16T03:43:50.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,14.766754270696453,36.76470588235294,1610612747,2,6,2024-01-16T03:43:54Z,180000,False,66.0,86.0,1,left,MISS A. Davis 10' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Right,10.88,Missed,,,,,,,,,,,,,,,,,,
