actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-03T03:41:01.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T03:41:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-03T03:41:03.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2023-12-03T03:41:03Z,40000,False,,,0,,Jump Ball A. Davis vs. A. Sengun: Tip to L. James,"[2544, 203076, 1630578]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-03T03:41:16.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,11.48160315374507,56.372549019607845,1610612747,0,0,2023-12-03T03:41:24Z,70000,False,-32.0,55.0,1,left,MISS A. Davis 6' turnaround Shot,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,6.39,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-03T03:41:18.5Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2023-12-03T03:41:24Z,80000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M40.00S,2023-12-03T03:41:24.2Z,1,REGULAR,violation,kicked ball,[],1627752,,,1610612745,0,0,2023-12-03T03:41:30Z,90000,False,,,0,,T. Prince kicked ball VIOLATION,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,,,,,,,,,202027.0,,,,,,,,,,,,,
10,PT11M30.00S,2023-12-03T03:41:46.8Z,1,REGULAR,foul,offensive,[],1630224,,,1610612745,0,0,2023-12-03T03:41:57Z,100000,False,,,0,,J. Green offensive FOUL (1 PF),"[1630224, 203076]",1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,1.0,0.0,Davis,203076.0,,,,,,,,,
12,PT11M30.00S,2023-12-03T03:41:46.8Z,1,REGULAR,turnover,offensive foul,[],1630224,,,1610612745,0,0,2023-12-03T03:41:46Z,120000,False,,,0,,J. Green offensive foul TURNOVER (1 TO),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,202037.0,,,,,1.0,,,,,,,,
13,PT11M17.00S,2023-12-03T03:42:27.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627752,10.298948751642584,95.09803921568627,1610612747,3,0,2023-12-03T03:42:36Z,130000,False,-225.0,44.0,1,left,T. Prince 3PT  (3 PTS) (D. Russell 1 AST),"[1627752, 1626156]",1610612747.0,LAL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,22.98,Made,,,,,,,,,,,3.0,D. Russell,1626156.0,1.0,,,,
15,PT11M05.00S,2023-12-03T03:42:40.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,71.53416557161628,42.64705882352941,1610612745,3,2,2023-12-03T03:42:43Z,150000,False,-37.0,215.0,1,right,J. Green 21' step back Jump Shot (2 PTS),[1630224],1610612745.0,HOU,step back,,,Green,J. Green,,,,,Mid-Range,16-24 Center,21.82,Made,,,,,,,,,,,2.0,,,,,,,
16,PT10M51.00S,2023-12-03T03:42:53.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,10.298948751642584,48.0392156862745,1610612747,3,2,2023-12-03T03:42:59Z,160000,False,10.0,44.0,1,left,MISS A. Davis cutting Layup,[203076],1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
