actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-19T02:40:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-19T02:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-19T02:41:02.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2024-03-19T02:41:02Z,40000,False,,,0,,Jump Ball A. Davis vs. C. Capela: Tip to D. Russell,"[1626156, 203076, 203991]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Davis,203076.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-03-19T02:41:11.4Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,0,0,2024-03-19T03:01:19Z,70000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1627749]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,1.0,Murray,1627749.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2024-03-19T02:41:11.4Z,1,REGULAR,steal,,[],1627749,,,1610612737,0,0,2024-03-19T03:01:19Z,80000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2024-03-19T02:41:17.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630552,7.670827858081481,50.98039215686275,1610612737,0,2,2024-03-19T02:41:23Z,90000,False,-5.0,20.0,1,left,J. Johnson running DUNK (2 PTS) (D. Murray 1 AST),"[1630552, 1627749]",1610612737.0,ATL,running,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,2.02,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,
11,PT11M43.00S,2024-03-19T02:41:21.5Z,1,REGULAR,foul,personal,['1freethrow'],1630559,,,1610612737,0,2,2024-03-19T02:41:31Z,110000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Johnson 1 FT),"[1630559, 1630552]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,,,,2530.0,1.0,0.0,Johnson,1630552.0,,,,,,
13,PT11M43.00S,2024-03-19T02:41:46.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630552,,,1610612737,0,2,2024-03-19T02:41:52Z,130000,False,,,0,,MISS J. Johnson Free Throw 1 of 1,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
14,PT11M39.00S,2024-03-19T02:41:50.4Z,1,REGULAR,rebound,offensive,[],203992,,,1610612737,0,2,2024-03-19T02:41:52Z,140000,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:0),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,
15,PT11M38.00S,2024-03-19T02:41:52.8Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612737,0,2,2024-03-19T02:42:23Z,150000,False,,,0,,D. Murray lost ball out-of-bounds TURNOVER (1 TO),[1627749],1610612737.0,ATL,lost ball,,,Murray,D. Murray,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,1630886.0,,,,,,,,,,
16,PT11M38.00S,2024-03-19T02:42:00.6Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612747,0,2,2024-03-19T02:42:05Z,160000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,1630886.0,,,,,,,,,,
17,PT11M26.00S,2024-03-19T02:42:13.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,93.74178712220763,46.32352941176471,1610612747,0,2,2024-03-19T02:42:17Z,170000,False,-18.0,6.0,1,right,MISS L. James Layup - blocked,"[2544, 1630552]",1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,1.94,Missed,,,,,,,,,,,,,,Johnson,1630552.0
18,PT11M26.00S,2024-03-19T02:42:13.7Z,1,REGULAR,block,,[],1630552,,,1610612747,0,2,2024-03-19T02:42:16Z,180000,False,,,0,,J. Johnson BLOCK (1 BLK),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT11M24.00S,2024-03-19T02:42:15.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,2,2024-03-19T02:42:17Z,190000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,
20,PT11M21.00S,2024-03-19T02:42:19.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627749,8.722076215505908,40.19607843137255,1610612737,0,2,2024-03-19T02:43:16Z,200000,False,49.0,29.0,1,left,MISS D. Murray running Shot,[1627749],1610612737.0,ATL,running,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,5.72,Missed,,,,,,,,,,,,,,,
21,PT11M17.00S,2024-03-19T02:42:23.8Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2024-03-19T02:42:29Z,210000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT11M10.00S,2024-03-19T02:42:30.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,90.98226018396846,96.32352941176471,1610612747,0,2,2024-03-19T02:42:34Z,220000,False,232.0,32.0,1,right,MISS D. Russell 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Right Corner 3,24+ Right,,,,23.38,Missed,,,,,,,,,,,,,,,
23,PT11M07.00S,2024-03-19T02:42:33.3Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,0,2,2024-03-19T02:42:34Z,230000,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,22.0,2.0,1.0,1.0,,
24,PT10M56.00S,2024-03-19T02:42:43.6Z,1,REGULAR,3pt,Jump Shot,[],203992,16.95137976346912,3.1632965686274446,1610612737,0,5,2024-03-19T02:42:48Z,240000,False,234.0,107.0,1,left,B. Bogdanovic 25' 3PT  (3 PTS) (D. Murray 2 AST),"[203992, 1627749]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,,25.74,Made,3.0,D. Murray,1627749.0,2.0,,,,,,,,,,,
