actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-12T03:05:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-12T03:05:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-12T03:05:46.8Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-01-12T03:05:46Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Davis: Tip to B. Beal,"[203078, 203994, 203076]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-01-12T03:06:18.6Z,1,REGULAR,3pt,Jump Shot,[],1628960,8.196452036793687,4.166666666666657,1610612756,0,3,2024-01-12T03:06:24Z,80000,False,229.0,25.0,1,left,G. Allen 3PT  (3 PTS) (B. Beal 1 AST),"[1628960, 203078]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Right Corner 3,24+ Right,23.05,Made,3.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,
10,PT11M20.00S,2024-01-12T03:06:40.4Z,1,REGULAR,3pt,Jump Shot,[],1627752,85.3318002628121,96.07843137254902,1610612747,0,3,2024-01-12T03:06:44Z,100000,False,230.0,85.0,1,right,MISS T. Prince 24' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Right Corner 3,24+ Right,24.57,Missed,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2024-01-12T03:06:42.4Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,0,3,2024-01-12T03:06:44Z,110000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Right Corner 3,24+ Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M13.00S,2024-01-12T03:06:48.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201142,24.490801576872528,86.02941176470588,1610612756,0,6,2024-01-12T03:06:56Z,120000,False,-180.0,178.0,1,left,K. Durant 25' 3PT running pullup (3 PTS) (D. Booker 1 AST),"[201142, 1626164]",1610612756.0,PHX,running pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,25.3,Made,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
14,PT11M05.00S,2024-01-12T03:06:57.1Z,1,REGULAR,3pt,Jump Shot,[],1627752,74.4250985545335,12.990196078431367,1610612747,3,6,2024-01-12T03:07:02Z,140000,False,-185.0,188.0,1,right,T. Prince 26' 3PT step back (3 PTS) (L. James 1 AST),"[1627752, 2544]",1610612747.0,LAL,step back,,,Prince,T. Prince,,,,,Above the Break 3,24+ Left Center,26.37,Made,3.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
16,PT10M48.00S,2024-01-12T03:07:12.6Z,1,REGULAR,3pt,Jump Shot,[],1628960,21.59986859395532,90.68627450980392,1610612756,3,6,2024-01-12T03:07:17Z,160000,False,-203.0,151.0,1,left,MISS G. Allen 25' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,25.3,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2024-01-12T03:07:16.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,6,2024-01-12T03:07:17Z,170000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M34.00S,2024-01-12T03:07:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630559,92.55913272010513,53.67647058823529,1610612747,5,6,2024-01-12T03:07:30Z,180000,False,18.0,17.0,1,right,A. Reaves cutting Layup (2 PTS) (L. James 2 AST),"[1630559, 2544]",1610612747.0,LAL,cutting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,2.53,Made,2.0,L. James,2544.0,2.0,,,,,,,,,,,,,,
21,PT10M11.00S,2024-01-12T03:08:06.7Z,1,REGULAR,3pt,Jump Shot,[],1628960,19.628777923784497,7.843137254901961,1610612756,5,6,2024-01-12T03:08:10Z,210000,False,211.0,132.0,1,left,MISS G. Allen 24' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,24.87,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2024-01-12T03:08:09.7Z,1,REGULAR,rebound,defensive,[],1627752,,,1610612747,5,6,2024-01-12T03:08:10Z,220000,False,,,0,,T. Prince REBOUND (Off:0 Def:1),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Above the Break 3,24+ Right Center,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,
23,PT09M55.00S,2024-01-12T03:08:23.3Z,1,REGULAR,2pt,Jump Shot,[],2544,92.42772667542707,32.1078431372549,1610612747,7,6,2024-01-12T03:08:26Z,230000,False,-89.0,19.0,1,right,L. James 9' fadeaway Jump Shot (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,fadeaway,,,James,L. James,,,,,Mid-Range,8-16 Left,9.14,Made,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
25,PT09M44.00S,2024-01-12T03:08:33.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,18.31471747700394,79.16666666666666,1610612756,7,8,2024-01-12T03:10:34Z,250000,False,-146.0,120.0,1,left,D. Booker 18' pullup Jump Shot (2 PTS) (B. Beal 2 AST),"[1626164, 203078]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,18.86,Made,2.0,B. Beal,203078.0,2.0,,,,,,,,,,,,,,
26,PT09M29.00S,2024-01-12T03:08:47.9Z,1,REGULAR,2pt,Jump Shot,[],203076,77.84165571616295,73.77450980392157,1610612747,7,8,2024-01-12T03:08:56Z,260000,False,119.0,156.0,1,right,MISS A. Davis 19' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Right Center,19.6,Missed,,,,,,,,,,,,,,,,,,
27,PT09M27.00S,2024-01-12T03:08:49.9Z,1,REGULAR,rebound,defensive,[],203994,,,1610612756,7,8,2024-01-12T03:08:56Z,270000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,16-24 Right Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
29,PT09M16.00S,2024-01-12T03:09:01.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,32.37516425755584,72.05882352941177,1610612756,7,11,2024-01-12T03:09:05Z,280000,False,-110.0,252.0,1,left,D. Booker 27' 3PT pullup (5 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,27.49,Made,5.0,,,,,,,,,,,,,,,,,
44,PT09M06.00S,2024-01-12T03:09:06.5Z,1,REGULAR,turnover,lost ball,[],203076,,,1610612747,7,11,2024-01-12T03:13:36Z,285000,False,,,0,,A. Davis lost ball TURNOVER (1 TO),"[203076, 201142]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Durant,201142.0,,,,,,,
45,PT09M06.00S,2024-01-12T03:09:06.5Z,1,REGULAR,steal,,[],201142,,,1610612756,7,11,2024-01-12T03:13:36Z,287500,False,,,0,,K. Durant STEAL (1 STL),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M01.00S,2024-01-12T03:09:16.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626164,22.519710906701704,91.91176470588235,1610612756,7,11,2024-01-12T03:13:40Z,320000,False,-210.0,159.0,1,left,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,,
