actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-04T03:11:00.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T03:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-01-04T03:11:05.3Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2024-01-04T03:11:05Z,40000,False,,,0,,Jump Ball B. Adebayo vs. A. Davis: Tip to K. Lowry,"[200768, 1628389, 203076]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-04T03:11:16.5Z,1,REGULAR,foul,personal,['2freethrow'],1630559,,,1610612748,0,0,2024-01-04T03:11:24Z,70000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Lowry 2 FT),"[1630559, 200768]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,202007.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-01-04T03:11:46.6Z,1,REGULAR,freethrow,1 of 2,[],200768,,,1610612748,0,1,2024-01-04T03:11:46Z,90000,False,,,0,,K. Lowry Free Throw 1 of 2 (1 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2024-01-04T03:12:09.9Z,1,REGULAR,freethrow,2 of 2,[],200768,,,1610612748,0,2,2024-01-04T03:12:09Z,100000,False,,,0,,K. Lowry Free Throw 2 of 2 (2 PTS),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M25.00S,2024-01-04T03:12:29.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,93.61038107752957,48.529411764705884,1610612747,2,2,2024-01-04T03:12:51Z,110000,False,-7.0,8.0,1,right,L. James cutting Layup (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,cutting,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.06,A. Reaves,1630559.0,1.0,,,,,,,,,
13,PT11M09.00S,2024-01-04T03:12:46.6Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,2,2,2024-01-04T03:12:52Z,130000,False,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left Center,2002.0,,,,,,,,,,,1.0,,,,,,,,
14,PT10M52.00S,2024-01-04T03:13:10.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],2544,65.09526938239159,58.33333333333333,1610612747,2,2,2024-01-04T03:13:13Z,140000,False,42.0,276.0,1,right,MISS L. James 27' 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,Missed,,27.87,,,,,,,,,,,,
15,PT10M49.00S,2024-01-04T03:13:13.1Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,2,2024-01-04T03:13:13Z,150000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,
16,PT10M34.00S,2024-01-04T03:13:27.5Z,1,REGULAR,3pt,Jump Shot,[],1631107,23.702365308804204,87.99019607843137,1610612748,2,2,2024-01-04T03:13:32Z,160000,False,-190.0,170.0,1,left,MISS N. Jovic 25' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.52,,,,,,,,,,,,
