actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-16T03:13:53.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-16T03:13:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2023-11-16T03:13:55.9Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2023-11-16T03:13:55Z,40000,False,,,0,,Jump Ball D. Sabonis vs. A. Davis: Tip to D. Fox,"[1628368, 1627734, 203076]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Sabonis,1627734.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2023-11-16T03:13:58.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.670827858081481,50.98039215686275,1610612758,0,2,2023-11-16T03:24:28Z,70000,False,-5.0,20.0,1,left,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.02,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M57.00S,2023-11-16T03:14:01.2Z,1,REGULAR,foul,personal,['1freethrow'],1626156,,,1610612758,0,2,2023-11-16T03:14:08Z,80000,False,,,0,,D. Russell shooting personal FOUL (1 PF) (Fox 1 FT),"[1626156, 1628368]",1610612747.0,LAL,shooting,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,1628953.0,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,
10,PT11M57.00S,2023-11-16T03:14:24.6Z,1,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,0,3,2023-11-16T03:14:24Z,100000,False,,,0,,D. Fox Free Throw 1 of 1 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M42.00S,2023-11-16T03:14:43.0Z,1,REGULAR,3pt,Jump Shot,[],1627752,92.42772667542707,1.7156862745098067,1610612747,0,3,2023-11-16T03:14:47Z,120000,False,-241.0,19.0,1,right,MISS T. Prince 24' 3PT,[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,24.21,Missed,,,,,,,,,,,,,,,,,,
12,PT11M42.00S,2023-11-16T03:14:43.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,3,2023-11-16T03:14:47Z,130000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M34.00S,2023-11-16T03:14:50.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,31.84954007884363,73.52941176470588,1610612758,0,3,2023-11-16T03:14:57Z,140000,False,-118.0,247.0,1,left,MISS K. Huerter 27' 3PT,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,27.35,Missed,,,,,,,,,,,,,,,,,,
14,PT11M30.00S,2023-11-16T03:14:54.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,3,2023-11-16T03:14:57Z,150000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M20.00S,2023-11-16T03:15:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,93.08475689881735,51.71568627450981,1610612747,2,3,2023-11-16T03:15:11Z,160000,False,9.0,13.0,1,right,A. Davis cutting Layup (2 PTS) (L. James 1 AST),"[203076, 2544]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.52,Made,2.0,,,,,,,,,,L. James,2544.0,1.0,,,,,
17,PT10M59.00S,2023-11-16T03:15:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,8.196452036793687,54.65686274509804,1610612758,2,5,2023-11-16T03:15:30Z,180000,False,-23.0,25.0,1,left,D. Sabonis Layup (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.38,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2023-11-16T03:15:37.5Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,2,5,2023-11-16T03:15:41Z,190000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1627734]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Sabonis,1627734.0,,
19,PT10M47.00S,2023-11-16T03:15:37.5Z,1,REGULAR,steal,,[],1627734,,,1610612758,2,5,2023-11-16T03:16:29Z,200000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M43.00S,2023-11-16T03:15:40.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627734,7.013797634691201,52.205882352941174,1610612758,2,7,2023-11-16T03:15:45Z,210000,False,-11.0,13.0,1,left,D. Sabonis running DUNK (4 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.73,Made,4.0,,,,,,,,,,D. Fox,1628368.0,1.0,,,,,
22,PT10M30.00S,2023-11-16T03:15:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,90.45663600525624,53.431372549019606,1610612747,4,7,2023-11-16T03:18:04Z,230000,False,17.0,37.0,1,right,T. Prince driving Layup (2 PTS) (D. Russell 1 AST),"[1627752, 1626156]",1610612747.0,LAL,driving,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,4.1,Made,2.0,,,,,,,,,,D. Russell,1626156.0,1.0,,,,,
24,PT10M23.00S,2023-11-16T03:16:01.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,31.192509855453352,67.8921568627451,1610612758,4,7,2023-11-16T03:20:58Z,250000,False,-89.0,241.0,1,left,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
25,PT10M21.00S,2023-11-16T03:16:03.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,4,7,2023-11-16T03:16:11Z,260000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,
27,PT10M09.00S,2023-11-16T03:16:27.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,90.5880420499343,50.73529411764706,1610612747,4,7,2023-11-16T03:23:11Z,280000,False,4.0,36.0,1,right,MISS T. Prince cutting Layup,[1627752],1610612747.0,LAL,cutting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,,,,,,,,,,,,,,
28,PT10M07.00S,2023-11-16T03:16:29.9Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,4,7,2023-11-16T03:16:34Z,290000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT09M56.00S,2023-11-16T03:16:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,8.722076215505908,50.98039215686275,1610612758,4,7,2023-11-16T03:24:50Z,300000,False,-5.0,29.0,1,left,MISS D. Fox driving Layup - blocked,"[1628368, 203076]",1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,2.99,Missed,,,,,,,,,,,,,,,,,Davis,203076.0
