actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
18,PT10M29.00S,2024-03-01T03:43:00.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,0,2024-03-01T03:43:01Z,180000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M27.00S,2024-03-01T03:43:01.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,7.013797634691201,49.26470588235294,1610612764,3,2,2024-03-01T03:43:08Z,190000,False,4.0,13.0,1,left,D. Avdija running Layup (2 PTS),[1630166],1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,1.39,Made,,,,,2.0,,,,,,,,
20,PT10M13.00S,2024-03-01T03:43:15.6Z,1,REGULAR,3pt,Jump Shot,[],2544,77.44743758212877,9.803921568627445,1610612747,3,2,2024-03-01T03:43:21Z,200000,False,-201.0,159.0,1,right,MISS L. James 25' pullup 3PT,[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,,,,25.66,Missed,,,,,,,,,,,,,
21,PT10M11.00S,2024-03-01T03:43:17.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,3,2,2024-03-01T03:43:21Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,20.0,,,,,,,,,,,,
23,PT09M58.00S,2024-03-01T03:43:34.6Z,1,REGULAR,3pt,Jump Shot,[],1630166,31.980946123521676,68.38235294117646,1610612764,3,5,2024-03-01T03:43:39Z,230000,False,-92.0,248.0,1,left,D. Avdija 26' 3PT  (5 PTS) (M. Bagley III 1 AST),"[1630166, 1628963]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,26.46,Made,,,,,5.0,M. Bagley III,1628963.0,1.0,,,,,
25,PT09M44.00S,2024-03-01T03:43:49.2Z,1,REGULAR,3pt,Jump Shot,[],2544,89.14257555847568,96.32352941176471,1610612747,3,5,2024-03-01T03:43:54Z,250000,False,232.0,50.0,1,right,MISS L. James 3PT,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,,,,,,23.69,Missed,,,,,,,,,,,,,
26,PT09M41.00S,2024-03-01T03:43:52.2Z,1,REGULAR,rebound,defensive,[],1629013,,,1610612764,3,5,2024-03-01T03:43:54Z,260000,False,,,0,,L. Shamet REBOUND (Off:0 Def:1),[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Right Corner 3,24+ Right,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,
27,PT09M34.00S,2024-03-01T03:43:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,8.196452036793687,42.64705882352941,1610612764,3,5,2024-03-01T03:44:07Z,270000,False,37.0,25.0,1,left,MISS K. Kuzma driving Layup - blocked,"[1628398, 203076]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.42,Missed,,,,,,,,,,Davis,203076.0,,
37,PT09M34.00S,2024-03-01T03:43:59.5Z,1,REGULAR,block,,[],203076,,,1610612764,3,5,2024-03-01T03:45:05Z,275000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M30.00S,2024-03-01T03:44:03.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,5,2024-03-01T03:44:07Z,280000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,
29,PT09M29.00S,2024-03-01T03:44:04.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",2544,93.34756898817345,50.0,1610612747,5,5,2024-03-01T03:44:15Z,290000,False,0.0,10.0,1,right,L. James running DUNK (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,1.0,Made,,,,,2.0,,,,,,,,
30,PT09M10.00S,2024-03-01T03:44:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629013,8.459264126149804,43.13725490196079,1610612764,5,5,2024-03-01T03:44:43Z,300000,False,34.0,27.0,1,left,MISS L. Shamet driving reverse Layup,[1629013],1610612764.0,WAS,driving reverse,,,Shamet,L. Shamet,,,,,Restricted Area,0-8 Center,,,,,,4.37,Missed,,,,,,,,,,,,,
31,PT09M10.00S,2024-03-01T03:44:23.0Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,5,5,2024-03-01T03:44:43Z,310000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,,30.0,2.0,1.0,1.0,,,,,,,,,
32,PT09M10.00S,2024-03-01T03:44:28.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,5.590000152587891,50.0,1610612764,5,7,2024-03-01T03:44:28Z,320000,False,0.0,0.0,1,left,M. Bagley III putback Layup (2 PTS),[1628963],1610612764.0,WAS,putback,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,,,,,2.0,,,,,,,,
33,PT09M10.00S,2024-03-01T03:44:29.4Z,1,REGULAR,foul,personal,['1freethrow'],1630559,,,1610612764,5,7,2024-03-01T03:44:39Z,330000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Bagley III 1 FT),"[1630559, 1628963]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,1627964.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,,,,,,,,
35,PT09M10.00S,2024-03-01T03:44:58.5Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1628963,,,1610612764,5,7,2024-03-01T03:45:06Z,350000,False,,,0,,MISS M. Bagley III Free Throw 1 of 1,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
36,PT09M07.00S,2024-03-01T03:45:01.5Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,5,7,2024-03-01T03:45:06Z,360000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,,,,
38,PT08M59.00S,2024-03-01T03:45:09.3Z,1,REGULAR,turnover,bad pass,[],1626156,,,1610612747,5,7,2024-03-01T03:45:12Z,370000,False,,,0,,D. Russell bad pass TURNOVER (1 TO),"[1626156, 1630166]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,,,Avdija,1630166.0
39,PT08M59.00S,2024-03-01T03:45:09.3Z,1,REGULAR,steal,,[],1630166,,,1610612764,5,7,2024-03-01T03:45:11Z,380000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M54.00S,2024-03-01T03:45:14.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629013,25.279237844940866,84.80392156862746,1610612764,5,7,2024-03-01T03:45:21Z,390000,False,-174.0,185.0,1,left,MISS L. Shamet 25' running 3PT,[1629013],1610612764.0,WAS,running,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Left Center,,,,,,25.4,Missed,,,,,,,,,,,,,
41,PT08M49.00S,2024-03-01T03:45:19.1Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,5,7,2024-03-01T03:45:21Z,400000,False,,,0,,D. Avdija REBOUND (Off:1 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,,,40.0,2.0,1.0,1.0,,,,,,,,,
42,PT08M44.00S,2024-03-01T03:45:24.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626145,12.401445466491452,54.411764705882355,1610612764,5,9,2024-03-01T03:45:28Z,410000,False,-22.0,64.0,1,left,T. Jones 6' driving floating Jump Shot (2 PTS),[1626145],1610612764.0,WAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.78,Made,,,,,2.0,,,,,,,,
43,PT08M28.00S,2024-03-01T03:45:39.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,84.01773981603154,56.127450980392155,1610612747,7,9,2024-03-01T03:45:45Z,420000,False,31.0,98.0,1,right,A. Reaves 10' pullup Jump Shot (2 PTS),[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.24,Made,,,,,2.0,,,,,,,,
44,PT08M15.00S,2024-03-01T03:45:52.2Z,1,REGULAR,3pt,Jump Shot,[],1630166,35.134691195795014,71.07843137254902,1610612764,7,12,2024-03-01T03:45:58Z,430000,False,-105.0,278.0,1,left,D. Avdija 29' 3PT  (8 PTS) (T. Jones 1 AST),"[1630166, 1626145]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,,,,29.71,Made,,,,,8.0,T. Jones,1626145.0,1.0,,,,,
46,PT07M49.00S,2024-03-01T03:46:18.3Z,1,REGULAR,3pt,Jump Shot,[],1626156,67.27168199737187,74.24172794117646,1610612747,10,12,2024-03-01T03:46:24Z,450000,False,121.0,255.0,1,right,D. Russell 28' 3PT  (6 PTS) (L. James 1 AST),"[1626156, 2544]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,28.24,Made,,,,,6.0,L. James,2544.0,1.0,,,,,
48,PT07M31.00S,2024-03-01T03:46:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,8.590670170827863,54.16666666666667,1610612764,10,14,2024-03-01T03:46:41Z,470000,False,-21.0,28.0,1,left,M. Bagley III cutting Layup (4 PTS) (D. Avdija 1 AST),"[1628963, 1630166]",1610612764.0,WAS,cutting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,3.51,Made,,,,,4.0,D. Avdija,1630166.0,1.0,,,,,
50,PT07M25.00S,2024-03-01T03:46:45.7Z,1,REGULAR,foul,personal,[],1628963,,,1610612747,10,14,2024-03-01T03:46:52Z,490000,False,,,0,,M. Bagley III personal FOUL (2 PF),"[1628963, 203076]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,1627964.0,2.0,0.0,Davis,203076.0,,,,,,,,,,,,,,,
52,PT07M25.00S,2024-03-01T03:46:55.9Z,1,REGULAR,substitution,out,[],1628963,,,1610612747,10,14,2024-03-01T03:47:00Z,510000,False,,,0,,SUB out: M. Bagley III,[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M25.00S,2024-03-01T03:46:55.9Z,1,REGULAR,substitution,in,[],1626158,,,1610612747,10,14,2024-03-01T03:47:00Z,520000,False,,,0,,SUB in: R. Holmes,[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M14.00S,2024-03-01T03:47:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,92.42772667542707,49.01960784313726,1610612747,12,14,2024-03-01T03:47:23Z,530000,False,-5.0,19.0,1,right,D. Russell driving Layup (8 PTS),[1626156],1610612747.0,LAL,driving,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,1.93,Made,,,,,8.0,,,,,,,,
55,PT07M02.00S,2024-03-01T03:47:30.5Z,1,REGULAR,2pt,Jump Shot,[],1626158,5.042706964520377,32.35294117647058,1610612764,12,16,2024-03-01T03:47:37Z,540000,False,88.0,-5.0,1,left,R. Holmes 8' floating Jump Shot (2 PTS) (D. Avdija 2 AST),"[1626158, 1630166]",1610612764.0,WAS,floating,,,Holmes,R. Holmes,,,,,Mid-Range,8-16 Right,,,,,,8.83,Made,,,,,2.0,D. Avdija,1630166.0,2.0,,,,,
57,PT06M54.00S,2024-03-01T03:47:39.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],2544,92.95335085413929,50.73529411764706,1610612747,14,16,2024-03-01T03:47:49Z,560000,False,4.0,14.0,1,right,L. James driving DUNK (4 PTS),[2544],1610612747.0,LAL,driving,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,1.42,Made,,,,,4.0,,,,,,,,
58,PT06M53.00S,2024-03-01T03:47:45.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,14,16,2024-03-01T03:47:45Z,570000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M53.00S,2024-03-01T03:50:20.6Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,14,16,2024-03-01T03:50:43Z,580000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M53.00S,2024-03-01T03:50:20.6Z,1,REGULAR,substitution,out,[],1629013,,,1610612764,14,16,2024-03-01T03:50:43Z,590000,False,,,0,,SUB out: L. Shamet,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M53.00S,2024-03-01T03:50:20.6Z,1,REGULAR,substitution,in,[],1629673,,,1610612764,14,16,2024-03-01T03:50:43Z,600000,False,,,0,,SUB in: J. Poole,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M53.00S,2024-03-01T03:50:20.6Z,1,REGULAR,substitution,in,[],1630557,,,1610612764,14,16,2024-03-01T03:50:43Z,610000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M33.00S,2024-03-01T03:51:00.9Z,1,REGULAR,turnover,lost ball,[],1628398,,,1610612764,14,16,2024-03-01T03:51:11Z,620000,False,,,0,,K. Kuzma lost ball TURNOVER (1 TO),"[1628398, 1629060]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,,,Hachimura,1629060.0
64,PT06M33.00S,2024-03-01T03:51:00.9Z,1,REGULAR,steal,,[],1629060,,,1610612747,14,16,2024-03-01T03:51:02Z,630000,False,,,0,,R. Hachimura STEAL (1 STL),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M30.00S,2024-03-01T03:51:05.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629060,88.74835742444152,52.450980392156865,1610612747,14,16,2024-03-01T03:52:29Z,640000,False,12.0,53.0,1,right,MISS R. Hachimura running Layup - blocked,"[1629060, 1628398]",1610612747.0,LAL,running,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.47,Missed,,,,,,,,,,Kuzma,1628398.0,,
66,PT06M30.00S,2024-03-01T03:51:05.6Z,1,REGULAR,block,,[],1628398,,,1610612747,14,16,2024-03-01T03:51:07Z,650000,False,,,0,,K. Kuzma BLOCK (1 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M28.00S,2024-03-01T03:51:07.6Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,14,16,2024-03-01T03:52:29Z,660000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,
68,PT06M27.00S,2024-03-01T03:51:11.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', '2ndchance']",203076,88.61695137976346,50.73529411764706,1610612747,14,16,2024-03-01T03:53:46Z,670000,False,4.0,55.0,1,right,MISS A. Davis DUNK - blocked,"[203076, 1628398]",1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.46,Missed,,,,,,,,,,Kuzma,1628398.0,,
69,PT06M27.00S,2024-03-01T03:51:11.4Z,1,REGULAR,block,,[],1628398,,,1610612747,14,16,2024-03-01T03:51:14Z,680000,False,,,0,,K. Kuzma BLOCK (2 BLK),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M26.00S,2024-03-01T03:51:12.4Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,14,16,2024-03-01T03:53:46Z,690000,False,,,0,,A. Davis REBOUND (Off:2 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,68.0,2.0,0.0,2.0,,,,,,,,,
71,PT06M26.00S,2024-03-01T03:51:17.3Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'fromturnover']",203076,94.40999984741211,50.0,1610612747,16,16,2024-03-01T03:54:06Z,700000,False,0.0,0.0,1,right,A. Davis putback DUNK (2 PTS),[203076],1610612747.0,LAL,putback,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,2.0,,,,,,,,
72,PT06M13.00S,2024-03-01T03:51:19.8Z,1,REGULAR,3pt,Jump Shot,[],1626145,7.933639947437584,96.56862745098039,1610612764,16,16,2024-03-01T03:51:27Z,710000,False,-233.0,22.0,1,left,MISS T. Jones 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,,,23.38,Missed,,,,,,,,,,,,,
73,PT06M13.00S,2024-03-01T03:51:19.8Z,1,REGULAR,rebound,offensive,[],1630557,,,1610612764,16,16,2024-03-01T03:51:27Z,720000,False,,,0,,C. Kispert REBOUND (Off:1 Def:0),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,
74,PT06M08.00S,2024-03-01T03:51:25.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630557,12.401445466491452,50.49019607843137,1610612764,16,18,2024-03-01T03:54:54Z,730000,False,-2.0,64.0,1,left,C. Kispert 6' floating Jump Shot (2 PTS),[1630557],1610612764.0,WAS,floating,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.41,Made,,,,,2.0,,,,,,,,
75,PT05M56.00S,2024-03-01T03:51:39.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,91.50788436268068,57.35294117647059,1610612747,16,18,2024-03-01T03:51:44Z,740000,False,37.0,27.0,1,right,MISS R. Hachimura driving Layup - blocked,"[1629060, 1629673]",1610612747.0,LAL,driving,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.58,Missed,,,,,,,,,,Poole,1629673.0,,
76,PT05M56.00S,2024-03-01T03:51:39.4Z,1,REGULAR,block,,[],1629673,,,1610612747,16,18,2024-03-01T03:51:41Z,750000,False,,,0,,J. Poole BLOCK (1 BLK),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
77,PT05M56.00S,2024-03-01T03:51:39.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,16,18,2024-03-01T03:51:44Z,760000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,75.0,,,,,,,,,,,,
79,PT05M50.00S,2024-03-01T03:51:57.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626156,71.66557161629436,80.88235294117646,1610612747,16,18,2024-03-01T03:52:15Z,780000,False,154.0,214.0,1,right,MISS D. Russell 26' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,26.37,Missed,,,,,,,,,,,,,
80,PT05M42.00S,2024-03-01T03:52:05.1Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,16,18,2024-03-01T03:52:15Z,790000,False,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Above the Break 3,24+ Right Center,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,
81,PT05M38.00S,2024-03-01T03:52:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,8.196452036793687,41.666666666666664,1610612764,16,18,2024-03-01T03:52:21Z,800000,False,42.0,25.0,1,left,MISS J. Poole floating Shot,[1629673],1610612764.0,WAS,floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.84,Missed,,,,,,,,,,,,,
82,PT05M36.00S,2024-03-01T03:52:11.1Z,1,REGULAR,rebound,defensive,[],1629060,,,1610612747,16,18,2024-03-01T03:52:21Z,810000,False,,,0,,R. Hachimura REBOUND (Off:0 Def:1),[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,
