actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-01T03:40:55.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-01T03:40:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-01T03:40:57.5Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2024-03-01T03:40:57Z,40000,False,,,0,,Jump Ball A. Davis vs. M. Bagley III: Tip to L. James,"[2544, 203076, 1628963]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2024-03-01T03:41:08.2Z,1,REGULAR,foul,personal,[],1628963,,,1610612747,0,0,2024-03-01T03:41:17Z,70000,False,,,0,,M. Bagley III personal FOUL (1 PF),"[1628963, 203076]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Mid-Range,8-16 Left,201638.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-03-01T03:41:33.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203076,88.35413929040736,50.245098039215684,1610612747,0,0,2024-03-01T03:41:38Z,90000,False,1.0,57.0,1,right,MISS A. Davis turnaround Hook,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.7,Missed,,,,,,,,,,,,,
10,PT11M34.00S,2024-03-01T03:41:35.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,0,0,2024-03-01T03:41:38Z,100000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M19.00S,2024-03-01T03:41:50.5Z,1,REGULAR,3pt,Jump Shot,[],1629013,10.95597897503285,4.656862745098039,1610612764,0,0,2024-03-01T03:41:55Z,110000,False,227.0,50.0,1,left,MISS L. Shamet 3PT,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Right Corner 3,24+ Right,,,,,,23.23,Missed,,,,,,,,,,,,,
12,PT11M15.00S,2024-03-01T03:41:54.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,0,2024-03-01T03:41:55Z,120000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Right Corner 3,24+ Right,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M07.00S,2024-03-01T03:42:15.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,73.50525624178712,15.686274509803923,1610612747,3,0,2024-03-01T03:42:20Z,140000,False,-172.0,197.0,1,right,D. Russell 26' 3PT  (3 PTS) (A. Davis 1 AST),"[1626156, 203076]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,26.1,Made,,,,,3.0,A. Davis,203076.0,1.0,,,,,
16,PT10M55.00S,2024-03-01T03:42:29.4Z,1,REGULAR,turnover,out-of-bounds,[],1629013,,,1610612764,3,0,2024-03-01T03:42:40Z,160000,False,,,0,,L. Shamet step out-of-bounds TURNOVER (1 TO),[1629013],1610612764.0,WAS,step,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,,,,
17,PT10M36.00S,2024-03-01T03:42:53.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,78.36727989487517,8.088235294117652,1610612747,3,0,2024-03-01T03:43:01Z,170000,False,-210.0,151.0,1,right,MISS D. Russell 25' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,25.82,Missed,,,,,,,,,,,,,
