actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-23T03:40:48.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T03:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-23T03:40:52.3Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2023-11-23T03:40:52Z,40000,False,,,0,,Jump Ball A. Davis vs. D. Lively II: Tip to D. Russell,"[1626156, 203076, 1641726]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Davis,203076.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M53.00S,2023-11-23T03:40:58.9Z,1,REGULAR,foul,personal,[],1629684,,,1610612747,0,0,2023-11-23T03:41:08Z,70000,False,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 2544]",1610612742.0,DAL,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Left Center,1204.0,1.0,0.0,James,2544.0,,,,,,,,,,,,,,,
10,PT11M43.00S,2023-11-23T03:41:47.1Z,1,REGULAR,turnover,offensive goaltending,[],203076,,,1610612747,0,0,2023-11-23T03:42:07Z,100000,False,,,0,,A. Davis offensive goaltending TURNOVER (1 TO),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,201245.0,,,,,1.0,,,,,,,,,,,,,,
11,PT11M21.00S,2023-11-23T03:42:12.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,8.853482260183966,45.09803921568627,1610612742,0,0,2023-11-23T03:42:18Z,110000,False,25.0,31.0,1,left,MISS L. Doncic driving Layup - blocked,"[1629029, 203076]",1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,3.93,Missed,Davis,203076.0,,,,,,,,,,
12,PT11M21.00S,2023-11-23T03:42:12.9Z,1,REGULAR,block,,[],203076,,,1610612742,0,0,2023-11-23T03:42:16Z,120000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2023-11-23T03:42:16.9Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2023-11-23T03:42:18Z,130000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
14,PT11M14.00S,2023-11-23T03:42:20.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,92.29632063074901,49.26470588235294,1610612747,0,0,2023-11-23T03:42:32Z,140000,False,-4.0,20.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,2.02,Missed,,,,,,,,,,,,
15,PT11M11.00S,2023-11-23T03:42:23.3Z,1,REGULAR,rebound,offensive,[],1627752,,,1610612747,0,0,2023-11-23T03:42:32Z,150000,False,,,0,,T. Prince REBOUND (Off:1 Def:0),[1627752],1610612747.0,LAL,,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,
16,PT11M08.00S,2023-11-23T03:42:25.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631108,70.3515111695138,82.84313725490196,1610612747,0,0,2023-11-23T03:42:35Z,160000,False,164.0,226.0,1,right,MISS M. Christie 27' 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,,,,,,,27.95,Missed,,,,,,,,,,,,
17,PT11M06.00S,2023-11-23T03:42:27.3Z,1,REGULAR,rebound,defensive,[],1627884,,,1610612742,0,0,2023-11-23T03:42:35Z,170000,False,,,0,,D. Jones Jr. REBOUND (Off:0 Def:1),[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
19,PT10M50.00S,2023-11-23T03:42:43.6Z,1,REGULAR,2pt,Jump Shot,[],202681,22.38830486202366,52.94117647058824,1610612742,0,2,2023-11-23T03:42:49Z,190000,False,-15.0,158.0,1,left,K. Irving 15' pullup Jump Shot (2 PTS),[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,8-16 Center,,,,,,,15.87,Made,,,,,,,2.0,,,,,
21,PT10M23.00S,2023-11-23T03:43:10.6Z,1,REGULAR,3pt,Jump Shot,[],1626156,69.69448094612352,75.0,1610612747,0,2,2023-11-23T03:43:14Z,210000,False,125.0,232.0,1,right,MISS D. Russell 26' 3PT,[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,,26.39,Missed,,,,,,,,,,,,
22,PT10M21.00S,2023-11-23T03:43:12.6Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,0,2,2023-11-23T03:43:14Z,220000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT10M14.00S,2023-11-23T03:43:19.5Z,1,REGULAR,2pt,Jump Shot,[],202681,25.016425755584763,39.21568627450981,1610612742,0,2,2023-11-23T03:43:23Z,230000,False,54.0,183.0,1,left,MISS K. Irving 19' fadeaway Shot,[202681],1610612742.0,DAL,fadeaway,,,Irving,K. Irving,,,,,Mid-Range,16-24 Center,,,,,,,19.05,Missed,,,,,,,,,,,,
24,PT10M12.00S,2023-11-23T03:43:21.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,2,2023-11-23T03:43:23Z,240000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,
25,PT10M06.00S,2023-11-23T03:43:27.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,90.19382391590013,51.71568627450981,1610612747,0,2,2023-11-23T03:43:35Z,250000,False,9.0,40.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,4.06,Missed,,,,,,,,,,,,
26,PT10M02.00S,2023-11-23T03:43:31.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,2,2023-11-23T03:43:35Z,260000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT09M57.00S,2023-11-23T03:43:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,27.11892247043363,83.57843137254902,1610612742,0,2,2023-11-23T03:43:43Z,270000,False,-168.0,202.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,,,,,,,26.3,Missed,,,,,,,,,,,,
28,PT09M54.00S,2023-11-23T03:43:39.0Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612747,0,2,2023-11-23T03:43:43Z,280000,False,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612747.0,LAL,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT09M44.00S,2023-11-23T03:43:49.7Z,1,REGULAR,3pt,Jump Shot,[],1631108,70.22010512483574,25.0,1610612747,3,2,2023-11-23T03:43:53Z,290000,False,-125.0,227.0,1,right,M. Christie 25' 3PT  (3 PTS) (A. Davis 1 AST),"[1631108, 203076]",1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,,,,25.95,Made,,,,,,,3.0,A. Davis,203076.0,1.0,,
