actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-27T02:16:03.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-27T02:16:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-27T02:16:07.3Z,1,REGULAR,jumpball,recovered,[],201569,,,1610612756,0,0,2023-10-27T02:16:07Z,40000,False,,,0,,Jump Ball J. Nurkic vs. A. Davis: Tip to E. Gordon,"[201569, 203994, 203076]",1610612756.0,PHX,startperiod,E. Gordon,201569.0,Gordon,E. Gordon,Nurkic,203994.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-10-27T02:16:20.9Z,1,REGULAR,turnover,bad pass,[],201142,,,1610612756,0,0,2023-10-27T02:16:25Z,70000,False,,,0,,K. Durant bad pass TURNOVER (1 TO),"[201142, 203076]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,1.0,Davis,203076.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-10-27T02:16:20.9Z,1,REGULAR,steal,,[],203076,,,1610612747,0,0,2023-10-27T02:16:23Z,80000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2023-10-27T02:16:27.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203076,92.0335085413929,52.94117647058824,1610612747,2,0,2023-10-27T02:16:37Z,90000,False,15.0,22.0,1,right,A. Davis cutting Layup (2 PTS) (D. Russell 1 AST),"[203076, 1626156]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,2.68,Made,2.0,D. Russell,1626156.0,1.0,,,,,,,,,,,
11,PT11M37.00S,2023-10-27T02:16:31.8Z,1,REGULAR,foul,personal,['1freethrow'],203994,,,1610612747,2,0,2023-10-27T02:16:39Z,110000,False,,,0,,J. Nurkic shooting personal FOUL (1 PF) (Davis 1 FT),"[203994, 203076]",1610612756.0,PHX,shooting,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,,,,,203593.0,1.0,0.0,Davis,203076.0,,,,,,
13,PT11M37.00S,2023-10-27T02:16:57.1Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",203076,,,1610612747,3,0,2023-10-27T02:16:57Z,130000,False,,,0,,A. Davis Free Throw 1 of 1 (3 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
14,PT11M22.00S,2023-10-27T02:17:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,10.036136662286467,48.0392156862745,1610612756,3,0,2023-10-27T02:17:16Z,140000,False,10.0,42.0,1,left,MISS J. Nurkic driving Layup,[203994],1610612756.0,PHX,driving,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,4.29,Missed,,,,,,,,,,,,,,,
15,PT11M20.00S,2023-10-27T02:17:14.8Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,3,0,2023-10-27T02:17:16Z,150000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,
16,PT11M15.00S,2023-10-27T02:17:20.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627752,89.14257555847568,4.411764705882348,1610612747,3,0,2023-10-27T02:17:27Z,160000,False,-228.0,50.0,1,right,MISS T. Prince running 3PT,[1627752],1610612747.0,LAL,running,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,,23.32,Missed,,,,,,,,,,,,,,,
17,PT11M13.00S,2023-10-27T02:17:22.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,3,0,2023-10-27T02:17:27Z,170000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,
