actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-25T02:10:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-25T02:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-02-25T02:10:24.5Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-02-25T02:10:24Z,40000,False,,,0,,Jump Ball M. Williams vs. N. Queta: Tip to C. Gillespie,"[1631221, 1631109, 1629674]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-25T02:10:34.4Z,1,REGULAR,turnover,bad pass,[],1626220,,,1610612756,0,0,2026-02-25T02:10:38Z,70000,False,,,0,,R. O'Neale bad pass TURNOVER (1 TO),"[1626220, 1631248]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,1.0,Scheierman,1631248.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-02-25T02:10:34.4Z,1,REGULAR,steal,,[],1631248,,,1610612738,0,0,2026-02-25T02:10:36Z,80000,False,,,0,,B. Scheierman STEAL (1 STL),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-02-25T02:10:40.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628401,31.225361366622867,22.54901960784314,1610612738,0,3,2026-02-25T02:10:49Z,90000,False,137.0,241.0,1,left,D. White 27' 3PT running (3 PTS) (S. Hauser 1 AST),"[1628401, 1630573]",1610612738.0,BOS,running,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,27.74,Made,3.0,S. Hauser,1630573.0,1.0,,,,,,,,,,,
11,PT11M24.00S,2026-02-25T02:10:55.6Z,1,REGULAR,3pt,Jump Shot,[],1630224,92.72339027595268,1.2254901960784315,1610612756,3,3,2026-02-25T02:11:19Z,110000,False,-244.0,16.0,1,right,J. Green 24' 3PT step back (3 PTS),[1630224],1610612756.0,PHX,step back,,,Green,J. Green,,,,,Left Corner 3,24+ Left,,,,24.44,Made,3.0,,,,,,,,,,,,,,
12,PT11M04.00S,2026-02-25T02:11:14.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,31.35676741130092,70.09803921568627,1610612738,3,6,2026-02-25T02:11:19Z,120000,False,-100.0,242.0,1,left,S. Hauser 26' 3PT  (3 PTS) (D. White 1 AST),"[1630573, 1628401]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,26.23,Made,3.0,D. White,1628401.0,1.0,,,,,,,,,,,
14,PT10M52.00S,2026-02-25T02:11:28.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,94.95729303547962,52.94117647058824,1610612756,3,6,2026-02-25T02:12:03Z,140000,False,15.0,-5.0,1,right,MISS J. Green driving Layup - blocked,"[1630224, 1629674]",1610612756.0,PHX,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,1.56,Missed,,,,,Queta,1629674.0,,,,,,,,,
15,PT10M52.00S,2026-02-25T02:11:28.8Z,1,REGULAR,block,,[],1629674,,,1610612756,3,6,2026-02-25T02:11:30Z,150000,False,,,0,,N. Queta BLOCK (1 BLK),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2026-02-25T02:11:30.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,3,6,2026-02-25T02:12:03Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,14.0,,,,,,,,
