actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-09T02:12:40.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-09T02:12:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-09T02:12:42.9Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2026-03-09T02:12:42Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. M. Diabaté: Tip to D. Booker,"[1626164, 1642345, 1631217]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ighodaro,1642345.0,Diabaté,1631217.0,,,,,,,,,,,,,,,,,,,,,,
25,PT11M44.00S,2026-03-09T02:13:00.7Z,1,REGULAR,turnover,out-of-bounds,[],1630224,,,1610612756,0,0,2026-03-09T02:15:17Z,95000,False,,,0,,J. Green lost ball out-of-bounds TURNOVER (1 TO),[1630224],1610612756.0,PHX,lost ball,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1628168.0,1.0,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2026-03-09T02:13:23.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641706,90.3580814717477,80.3921568627451,1610612766,0,2,2026-03-09T02:15:17Z,110000,False,152.0,38.0,1,right,B. Miller 15' pullup Jump Shot (2 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,pullup,,,Miller,B. Miller,,,,,Mid-Range,8-16 Right,,,15.67,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,
13,PT11M09.00S,2026-03-09T02:13:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,8.360709592641262,58.82352941176471,1610612756,0,2,2026-03-09T02:13:42Z,130000,False,-44.0,26.0,1,left,MISS D. Booker pullup Shot - blocked,"[1626164, 1641706]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,5.12,Missed,,,,,Miller,1641706.0,,,,,,,,,,
14,PT11M09.00S,2026-03-09T02:13:38.4Z,1,REGULAR,block,,[],1641706,,,1610612756,0,2,2026-03-09T02:13:40Z,140000,False,,,0,,B. Miller BLOCK (1 BLK),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2026-03-09T02:13:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,2,2026-03-09T02:13:42Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,13.0,,,,,,,,,
17,PT11M02.00S,2026-03-09T02:14:01.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630224,32.14520367936925,61.51960784313726,1610612756,3,2,2026-03-09T02:17:01Z,170000,False,-58.0,250.0,1,left,J. Green 25' 3PT pullup (3 PTS) (O. Ighodaro 1 AST),"[1630224, 1642345]",1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,25.63,Made,3.0,O. Ighodaro,1642345.0,1.0,,,,,,,,,,,,
18,PT10M44.00S,2026-03-09T02:14:18.5Z,1,REGULAR,3pt,Jump Shot,[],1641706,71.69842312746385,77.69607843137256,1610612766,3,5,2026-03-09T02:14:22Z,180000,False,138.0,214.0,1,right,B. Miller 25' 3PT  (5 PTS) (K. Knueppel 1 AST),"[1641706, 1642851]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Right Center,,,25.45,Made,5.0,K. Knueppel,1642851.0,1.0,,,,,,,,,,,,
20,PT10M23.00S,2026-03-09T02:14:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,9.149145860709593,57.107843137254896,1610612756,5,5,2026-03-09T02:14:43Z,200000,False,-36.0,34.0,1,left,J. Green driving Layup (5 PTS),[1630224],1610612756.0,PHX,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,4.88,Made,5.0,,,,,,,,,,,,,,,
