actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-23T01:10:43.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-23T01:10:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-23T01:10:46.9Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612757,0,0,2026-02-23T01:10:47Z,40000,False,,,0,,Jump Ball D. Clingan vs. M. Williams: Tip to J. Holiday,"[201950, 1642270, 1631109]",1610612757.0,POR,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Clingan,1642270.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-23T01:10:59.5Z,1,REGULAR,3pt,Jump Shot,[],201950,4.812746386333772,94.6078431372549,1610612757,0,0,2026-02-23T01:11:05Z,70000,False,-223.0,-7.0,1,left,MISS J. Holiday 3PT,[201950],1610612757.0,POR,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-02-23T01:11:03.5Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,0,0,2026-02-23T01:11:05Z,80000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2026-02-23T01:11:23.3Z,1,REGULAR,3pt,Jump Shot,[],1642346,68.41327201051249,74.75490196078431,1610612756,0,0,2026-02-23T01:11:28Z,90000,False,124.0,244.0,1,right,MISS R. Dunn 27' 3PT,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Right Center,27.4,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2026-02-23T01:11:26.3Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,0,0,2026-02-23T01:11:28Z,100000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M06.00S,2026-02-23T01:11:36.5Z,1,REGULAR,3pt,Jump Shot,[],1642270,32.53942181340342,55.63725490196079,1610612757,0,0,2026-02-23T01:11:41Z,110000,False,-28.0,253.0,1,left,MISS D. Clingan 25' 3PT,[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Center,25.5,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2026-02-23T01:11:38.5Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,0,0,2026-02-23T01:11:41Z,120000,False,,,0,,R. Dunn REBOUND (Off:0 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,Above the Break 3,24+ Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2026-02-23T01:11:45.0Z,1,REGULAR,foul,personal,[],203924,,,1610612756,0,0,2026-02-23T01:11:49Z,130000,False,,,0,,J. Grant personal FOUL (1 PF),"[203924, 1630224]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,,,,,,,101283.0,1.0,0.0,Green,1630224.0,,,,,,,,,
15,PT11M01.00S,2026-02-23T01:11:58.6Z,1,REGULAR,substitution,out,[],1630166,,,1610612756,0,0,2026-02-23T01:12:10Z,150000,False,,,0,,SUB out: D. Avdija,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
