actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-03T02:11:03.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-03T02:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-03T02:11:06.0Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-01-03T02:11:06Z,40000,False,,,0,,Jump Ball M. Williams vs. M. Raynaud: Tip to C. Gillespie,"[1631221, 1631109, 1642875]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Raynaud,1642875.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-03T02:11:17.3Z,1,REGULAR,3pt,Jump Shot,[],1626164,67.36202365308804,38.970588235294116,1610612756,0,0,2026-01-03T02:11:59Z,70000,False,-55.0,254.0,1,right,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,26.02,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-01-03T02:11:20.3Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,0,0,2026-01-03T02:11:21Z,80000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2026-01-03T02:11:23.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626164,79.97700394218134,46.07843137254902,1610612756,2,0,2026-01-03T02:11:46Z,90000,False,-20.0,136.0,1,right,D. Booker 13' step back Jump Shot (2 PTS) (R. O'Neale 1 AST),"[1626164, 1626220]",1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,13.71,Made,,,,,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,
11,PT11M15.00S,2026-01-03T02:11:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630173,4.5499342969776615,98.0392156862745,1610612758,2,0,2026-01-03T02:11:53Z,110000,False,-240.0,-10.0,1,left,MISS P. Achiuwa 24' 3PT,[1630173],1610612758.0,SAC,,,,Achiuwa,P. Achiuwa,,,,,Left Corner 3,24+ Left,24.04,Missed,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2026-01-03T02:11:53.0Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,2,0,2026-01-03T02:11:53Z,120000,False,,,0,,M. Williams REBOUND (Off:1 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Left Corner 3,24+ Left,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
13,PT10M59.00S,2026-01-03T02:12:07.2Z,1,REGULAR,turnover,out-of-bounds,[],1631109,,,1610612756,2,0,2026-01-03T02:12:17Z,130000,False,,,0,,M. Williams bad pass out-of-bounds TURNOVER (1 TO),[1631109],1610612756.0,PHX,bad pass,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627962.0,1.0,,,,,,,,
14,PT10M50.00S,2026-01-03T02:12:18.8Z,1,REGULAR,foul,personal,[],1631221,,,1610612758,2,0,2026-01-03T02:12:40Z,140000,False,,,0,,C. Gillespie personal FOUL (1 PF),"[1631221, 201942]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1627962.0,,1.0,0.0,DeRozan,201942.0,,,,
17,PT10M40.00S,2026-01-03T02:13:10.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631099,16.245072273324574,47.30392156862745,1610612758,2,2,2026-01-03T02:13:14Z,170000,False,13.0,100.0,1,left,K. Murray 10' pullup Jump Shot (2 PTS),[1631099],1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,10.11,Made,,,,,2.0,,,,,,,,,,,,,
