actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-27T02:10:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-27T02:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-27T02:10:35.8Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-02-27T02:10:35Z,40000,False,,,0,,Jump Ball M. Williams vs. D. Ayton: Tip to C. Gillespie,"[1631221, 1631109, 1629028]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2026-02-27T02:10:57.1Z,1,REGULAR,3pt,Jump Shot,[],1626220,73.14388961892247,85.5392156862745,1610612756,3,0,2026-02-27T02:11:28Z,70000,False,178.0,200.0,1,right,R. O'Neale 26' 3PT pullup (3 PTS) (J. Green 1 AST),"[1626220, 1630224]",1610612756.0,PHX,pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,26.75,Made,3.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,
9,PT11M13.00S,2026-02-27T02:11:18.6Z,1,REGULAR,2pt,Jump Shot,[],1629029,14.273981603153747,69.85294117647058,1610612747,3,2,2026-02-27T02:12:30Z,90000,False,-99.0,82.0,1,left,L. Dončić 12' fadeaway Jump Shot (2 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Left,12.86,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M03.00S,2026-02-27T02:11:29.4Z,1,REGULAR,2pt,Jump Shot,[],1630224,92.06636005256242,16.176470588235293,1610612756,5,2,2026-02-27T02:13:27Z,100000,False,-169.0,22.0,1,right,J. Green 17' pullup Jump Shot (2 PTS),[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left,17.05,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M47.00S,2026-02-27T02:11:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],2544,8.229303547963205,41.66666666666667,1610612747,5,4,2026-02-27T02:11:48Z,110000,False,42.0,25.0,1,left,L. James cutting Layup (2 PTS) (A. Reaves 1 AST),"[2544, 1630559]",1610612747.0,LAL,cutting,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,4.86,Made,2.0,A. Reaves,1630559.0,1.0,,,,,,,,,,,,,,
13,PT10M38.00S,2026-02-27T02:11:53.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,64.60249671484888,55.63725490196079,1610612756,5,4,2026-02-27T02:11:58Z,130000,False,28.0,280.0,1,right,MISS R. O'Neale 28' pullup 3PT,[1626220],1610612756.0,PHX,pullup,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,28.16,Missed,,,,,,,,,,,,,,,,,,
14,PT10M36.00S,2026-02-27T02:11:55.7Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612747,5,4,2026-02-27T02:14:28Z,140000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M34.00S,2026-02-27T02:12:00.2Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612747,5,4,2026-02-27T02:12:09Z,160000,False,,,0,,L. Dončić step out-of-bounds TURNOVER (1 TO),[1629029],1610612747.0,LAL,step,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1627526.0,1.0,,,,,,,,
17,PT10M16.00S,2026-02-27T02:12:36.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,72.7496714848883,15.686274509803921,1610612756,5,4,2026-02-27T02:15:16Z,170000,False,-172.0,204.0,1,right,MISS J. Green 26' pullup 3PT,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,26.63,Missed,,,,,,,,,,,,,,,,,,
