actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-12T02:10:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-12T02:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-12T02:10:26.9Z,1,REGULAR,jumpball,recovered,[],1630692,,,1610612756,0,0,2026-02-12T02:10:26Z,40000,False,,,0,,Jump Ball M. Williams vs. C. Holmgren: Tip to J. Goodwin,"[1630692, 1631109, 1631096]",1610612756.0,PHX,startperiod,J. Goodwin,1630692.0,Goodwin,J. Goodwin,Williams,1631109.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-12T02:10:37.7Z,1,REGULAR,3pt,Jump Shot,[],1626220,69.46452036793693,18.137254901960784,1610612756,3,0,2026-02-12T02:10:42Z,70000,False,-159.0,235.0,1,right,R. O'Neale 28' 3PT  (3 PTS) (D. Brooks 1 AST),"[1626220, 1628415]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,28.35,Made,3.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2026-02-12T02:10:56.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,33.196452036793694,53.92156862745098,1610612760,3,3,2026-02-12T02:11:00Z,90000,False,-20.0,260.0,1,left,L. Dort 26' 3PT  (3 PTS) (C. Holmgren 1 AST),"[1629652, 1631096]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,26.02,Made,3.0,C. Holmgren,1631096.0,1.0,,,,,,,,,,,,,,
11,PT11M18.00S,2026-02-12T02:11:07.3Z,1,REGULAR,turnover,traveling,[],1631109,,,1610612756,3,3,2026-02-12T02:11:13Z,110000,False,,,0,,M. Williams traveling TURNOVER (1 TO),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,202037.0,1.0,,,,,,,,,,,,
12,PT11M04.00S,2026-02-12T02:11:30.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628392,6.783837056504599,43.13725490196079,1610612760,3,5,2026-02-12T02:11:34Z,120000,False,34.0,11.0,1,left,I. Hartenstein alley-oop DUNK (2 PTS) (C. Wallace 1 AST),"[1628392, 1641717]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,3.61,Made,2.0,C. Wallace,1641717.0,1.0,,,,,,,,,,,,,,
14,PT10M50.00S,2026-02-12T02:11:43.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630692,83.26215505913272,48.28431372549019,1610612756,3,5,2026-02-12T02:11:48Z,140000,False,-9.0,105.0,1,right,MISS J. Goodwin 10' driving floating Shot,[1630692],1610612756.0,PHX,driving floating,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Center,10.52,Missed,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2026-02-12T02:11:45.8Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,3,5,2026-02-12T02:12:32Z,150000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,
16,PT10M48.00S,2026-02-12T02:11:47.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631109,94.40999984741211,50.0,1610612756,5,5,2026-02-12T02:12:37Z,160000,False,0.0,0.0,1,right,M. Williams tip Layup (2 PTS),[1631109],1610612756.0,PHX,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M34.00S,2026-02-12T02:11:58.9Z,1,REGULAR,3pt,Jump Shot,[],1629652,23.340998685939553,8.823529411764707,1610612760,5,5,2026-02-12T02:12:04Z,170000,False,206.0,167.0,1,left,MISS L. Dort 26' 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Right Center,26.5,Missed,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2026-02-12T02:12:00.9Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,5,5,2026-02-12T02:12:04Z,180000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M16.00S,2026-02-12T02:12:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,85.75886990801577,37.254901960784316,1610612756,7,5,2026-02-12T02:12:23Z,190000,False,-64.0,81.0,1,right,D. Brooks 10' turnaround fadeaway bank Jump Shot (2 PTS),[1628415],1610612756.0,PHX,turnaround fadeaway bank,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,10.34,Made,2.0,,,,,,,,,,,,,,,,,
20,PT10M02.00S,2026-02-12T02:12:30.8Z,1,REGULAR,3pt,Jump Shot,[],1631114,31.61957950065703,31.127450980392158,1610612760,7,8,2026-02-12T02:12:35Z,200000,False,94.0,245.0,1,left,J. Williams 26' 3PT pullup (3 PTS),[1631114],1610612760.0,OKC,pullup,,,Williams,J. Williams,,,,,Above the Break 3,24+ Right Center,26.23,Made,3.0,,,,,,,,,,,,,,,,,
