actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2026-03-25T03:12:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-25T03:12:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2026-03-25T03:13:02.1Z,1,REGULAR,violation,jumpball,[],203999,,,0,0,0,2026-03-25T03:13:02Z,40000,False,,,0,,N. Jokić jumpball VIOLATION,[203999],1610612743.0,DEN,202007.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M46.00S,2026-03-25T03:13:25.0Z,1,REGULAR,3pt,Jump Shot,[],1631221,11.645860709592641,2.450980392156863,1610612756,3,0,2026-03-25T03:14:32Z,50000,False,238.0,57.0,1,left,C. Gillespie 24' 3PT pullup (3 PTS) (J. Green 1 AST),"[1631221, 1630224]",1610612756.0,PHX,,Gillespie,C. Gillespie,pullup,Right Corner 3,24+ Right,24.44,Made,3.0,J. Green,1630224.0,1.0,,,,,,,,,,,,,,,,,,,
7,PT11M24.00S,2026-03-25T03:13:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,88.51839684625493,53.67647058823529,1610612743,3,0,2026-03-25T03:13:49Z,70000,False,18.0,55.0,1,right,MISS A. Gordon cutting Layup,[203932],1610612743.0,DEN,,Gordon,A. Gordon,cutting,In The Paint (Non-RA),0-8 Center,5.84,Missed,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2026-03-25T03:13:46.6Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,0,2026-03-25T03:13:49Z,80000,False,,,0,,A. Gordon REBOUND (Off:1 Def:0),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,In The Paint (Non-RA),0-8 Center,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2026-03-25T03:13:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203932,94.40999984741211,50.0,1610612743,3,0,2026-03-25T03:13:48Z,90000,False,0.0,0.0,1,right,MISS A. Gordon tip Layup,[203932],1610612743.0,DEN,,Gordon,A. Gordon,tip,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2026-03-25T03:13:49.1Z,1,REGULAR,rebound,offensive,[],203932,,,1610612743,3,0,2026-03-25T03:13:49Z,100000,False,,,0,,A. Gordon REBOUND (Off:2 Def:0),[203932],1610612743.0,DEN,,Gordon,A. Gordon,,Mid-Range,8-16 Left,,,,,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2026-03-25T03:13:49.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203932,94.40999984741211,50.0,1610612743,3,2,2026-03-25T03:13:55Z,110000,False,0.0,0.0,1,right,A. Gordon putback Layup (2 PTS),[203932],1610612743.0,DEN,,Gordon,A. Gordon,putback,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2026-03-25T03:13:56.2Z,1,REGULAR,3pt,Jump Shot,[],1631221,22.421156373193167,89.2156862745098,1610612756,3,2,2026-03-25T03:14:00Z,120000,False,-196.0,158.0,1,left,MISS C. Gillespie 25' 3PT,[1631221],1610612756.0,PHX,,Gillespie,C. Gillespie,,Above the Break 3,24+ Left Center,25.2,Missed,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2026-03-25T03:13:59.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2026-03-25T03:14:00Z,130000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,Jokić,N. Jokić,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M05.00S,2026-03-25T03:14:03.8Z,1,REGULAR,3pt,Jump Shot,[],1627750,71.43561103810775,20.833333333333336,1610612743,3,2,2026-03-25T03:14:10Z,140000,False,-146.0,216.0,1,right,MISS J. Murray 26' pullup 3PT,[1627750],1610612743.0,DEN,,Murray,J. Murray,pullup,Above the Break 3,24+ Left Center,26.06,Missed,,,,,,,,,,,,,,,,,,,,,,,
