actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-05T01:10:36.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-05T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-05T01:10:38.2Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-01-05T01:10:38Z,40000,False,,,0,,Jump Ball M. Williams vs. C. Holmgren: Tip to C. Gillespie,"[1631221, 1631109, 1631096]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Williams,1631109.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-05T01:10:51.2Z,1,REGULAR,3pt,Jump Shot,[],1626220,28.203022339027594,20.34313725490196,1610612756,0,0,2026-01-05T01:10:55Z,70000,False,148.0,213.0,1,left,MISS R. O'Neale 25' step back 3PT,[1626220],1610612756.0,PHX,step back,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,25.92,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-01-05T01:10:53.2Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,0,0,2026-01-05T01:10:55Z,80000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2026-01-05T01:11:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,86.15308804204993,47.794117647058826,1610612760,0,2,2026-01-05T01:11:16Z,90000,False,-11.0,78.0,1,right,S. Gilgeous-Alexander 7' driving floating bank Jump Shot (2 PTS),[1628983],1610612760.0,OKC,driving floating bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.85,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M09.00S,2026-01-05T01:11:28.5Z,1,REGULAR,foul,personal,[],1641717,,,1610612756,0,2,2026-01-05T01:11:35Z,100000,False,,,0,,C. Wallace personal FOUL (1 PF),"[1641717, 1631109]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,203591.0,1.0,0.0,Williams,1631109.0,,,,,,,,
12,PT11M02.00S,2026-01-05T01:11:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631221,8.623521681997373,41.42156862745098,1610612756,2,2,2026-01-05T01:11:55Z,120000,False,43.0,29.0,1,left,C. Gillespie driving Layup (2 PTS),[1631221],1610612756.0,PHX,driving,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,5.16,Made,,,,,2.0,,,,,,,,,,,,,
13,PT10M50.00S,2026-01-05T01:12:04.6Z,1,REGULAR,3pt,Jump Shot,[],1629652,93.24901445466492,95.58823529411765,1610612760,2,2,2026-01-05T01:12:08Z,130000,False,228.0,11.0,1,right,MISS L. Dort 3PT,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,22.82,Missed,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2026-01-05T01:12:07.6Z,1,REGULAR,rebound,defensive,[],1631221,,,1610612756,2,2,2026-01-05T01:12:08Z,140000,False,,,0,,C. Gillespie REBOUND (Off:0 Def:1),[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,Right Corner 3,24+ Right,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M34.00S,2026-01-05T01:12:26.9Z,1,REGULAR,foul,personal,['2freethrow'],1641717,,,1610612756,2,2,2026-01-05T01:12:33Z,160000,False,,,0,,C. Wallace shooting personal FOUL (2 PF) (Booker 2 FT),"[1641717, 1626164]",1610612760.0,OKC,shooting,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,203591.0,2.0,0.0,Booker,1626164.0,,,,,,,,
