actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-30T02:10:49.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-30T02:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-30T02:10:51.4Z,1,REGULAR,jumpball,recovered,[],1642346,,,1610612756,0,0,2025-10-30T02:10:51Z,40000,False,,,0,,Jump Ball M. Williams vs. J. Jackson Jr.: Tip to R. Dunn,"[1642346, 1631109, 1628991]",1610612756.0,PHX,startperiod,R. Dunn,1642346.0,Dunn,R. Dunn,Williams,1631109.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-10-30T02:11:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631109,92.85479632063075,44.6078431372549,1610612756,2,0,2025-10-30T02:11:06Z,70000,False,-27.0,15.0,1,right,M. Williams cutting Layup (2 PTS) (R. O'Neale 1 AST),"[1631109, 1626220]",1610612756.0,PHX,cutting,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,3.07,Made,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-10-30T02:11:20.8Z,1,REGULAR,turnover,double dribble,[],1629630,,,1610612763,2,0,2025-10-30T02:11:31Z,90000,False,,,0,,J. Morant double dribble TURNOVER (1 TO),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Right Center,,,,,,,101284.0,1.0,,,,,,,,,,,,
10,PT11M12.00S,2025-10-30T02:11:45.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628960,82.21090670170827,39.950980392156865,1610612756,4,0,2025-10-30T02:11:54Z,100000,False,-50.0,115.0,1,right,G. Allen 12' driving floating Jump Shot (2 PTS) (D. Booker 1 AST),"[1628960, 1626164]",1610612756.0,PHX,driving floating,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,12.52,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
12,PT11M01.00S,2025-10-30T02:11:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629111,17.0335085413929,43.38235294117647,1610612763,4,2,2025-10-30T02:12:05Z,120000,False,33.0,108.0,1,left,J. Landale 11' Jump Shot (2 PTS) (K. Caldwell-Pope 1 AST),"[1629111, 203484]",1610612763.0,MEM,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Center,11.26,Made,2.0,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,,,,,
14,PT10M46.00S,2025-10-30T02:12:11.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642346,92.9862023653088,51.470588235294116,1610612756,6,2,2025-10-30T02:12:15Z,140000,False,7.0,13.0,1,right,R. Dunn cutting DUNK (2 PTS) (M. Williams 1 AST),"[1642346, 1631109]",1610612756.0,PHX,cutting,,,Dunn,R. Dunn,,,,,Restricted Area,0-8 Center,1.53,Made,2.0,M. Williams,1631109.0,1.0,,,,,,,,,,,,,,
16,PT10M32.00S,2025-10-30T02:12:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203484,17.16491458607096,46.568627450980394,1610612763,6,2,2025-10-30T02:12:29Z,160000,False,17.0,109.0,1,left,MISS K. Caldwell-Pope 11' driving floating Shot,[203484],1610612763.0,MEM,driving floating,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),8-16 Center,11.02,Missed,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2025-10-30T02:12:27.0Z,1,REGULAR,rebound,defensive,[],1642346,,,1610612756,6,2,2025-10-30T02:12:29Z,170000,False,,,0,,R. Dunn REBOUND (Off:0 Def:1),[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M27.00S,2025-10-30T02:12:31.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,74.58935611038108,10.049019607843137,1610612756,6,2,2025-10-30T02:12:37Z,180000,False,-200.0,186.0,1,right,MISS R. O'Neale 27' running 3PT,[1626220],1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,27.32,Missed,,,,,,,,,,,,,,,,,,
