actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-09T02:10:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-09T02:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-09T02:10:25.3Z,1,REGULAR,jumpball,recovered,[],1630692,,,1610612756,0,0,2026-04-09T02:10:25Z,40000,False,,,0,,Jump Ball K. Maluach vs. M. Bagley III: Tip to J. Goodwin,"[1630692, 1642863, 1628963]",1610612756.0,PHX,startperiod,J. Goodwin,1630692.0,Goodwin,J. Goodwin,Maluach,1642863.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-04-09T02:10:42.1Z,1,REGULAR,3pt,Jump Shot,[],1630692,89.83245729303549,99.01960784313727,1610612756,3,0,2026-04-09T02:10:46Z,70000,False,245.0,43.0,1,right,J. Goodwin 24' 3PT  (3 PTS) (D. Brooks 1 AST),"[1630692, 1628415]",1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Right Corner 3,24+ Right,24.89,Made,3.0,D. Brooks,1628415.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-04-09T02:11:01.5Z,1,REGULAR,3pt,Jump Shot,[],1642948,34.11629434954008,44.11764705882353,1610612742,3,0,2026-04-09T02:11:08Z,90000,False,29.0,268.0,1,left,MISS R. Nembhard 26' 3PT,[1642948],1610612742.0,DAL,,,,Nembhard,R. Nembhard,,,,,Above the Break 3,24+ Center,26.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2026-04-09T02:11:04.5Z,1,REGULAR,rebound,defensive,[],1642863,,,1610612756,3,0,2026-04-09T02:11:08Z,100000,False,,,0,,K. Maluach REBOUND (Off:0 Def:1),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Above the Break 3,24+ Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M11.00S,2026-04-09T02:11:10.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,72.09264126149803,17.647058823529413,1610612756,3,0,2026-04-09T02:12:42Z,110000,False,-162.0,210.0,1,right,MISS D. Booker 26' running pullup 3PT,[1626164],1610612756.0,PHX,running pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.49,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2026-04-09T02:11:13.7Z,1,REGULAR,rebound,offensive,[],1642863,,,1610612756,3,0,2026-04-09T02:11:16Z,120000,False,,,0,,K. Maluach REBOUND (Off:1 Def:1),[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Above the Break 3,24+ Left Center,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,
13,PT11M08.00S,2026-04-09T02:11:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642863,94.40999984741211,50.0,1610612756,3,0,2026-04-09T02:11:15Z,130000,False,0.0,0.0,1,right,MISS K. Maluach tip Layup,[1642863],1610612756.0,PHX,tip,,,Maluach,K. Maluach,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2026-04-09T02:11:15.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,3,0,2026-04-09T02:11:15Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,13.0,,,,,,,,,,,,,
16,PT11M04.00S,2026-04-09T02:11:32.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626164,95.87713534822602,51.71568627450981,1610612756,3,0,2026-04-09T02:11:36Z,160000,False,9.0,-14.0,1,right,MISS D. Booker Layup,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2026-04-09T02:11:34.5Z,1,REGULAR,rebound,defensive,[],1642843,,,1610612742,3,0,2026-04-09T02:15:50Z,170000,False,,,0,,C. Flagg REBOUND (Off:0 Def:1),[1642843],1610612742.0,DAL,,,,Flagg,C. Flagg,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M59.00S,2026-04-09T02:11:37.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642843,23.866622864651774,12.5,1610612742,3,0,2026-04-09T02:16:09Z,180000,False,188.0,172.0,1,left,MISS C. Flagg 25' running pullup 3PT,[1642843],1610612742.0,DAL,running pullup,,,Flagg,C. Flagg,,,,,Above the Break 3,24+ Right Center,25.43,Missed,,,,,,,,,,,,,,,,,,
19,PT10M55.00S,2026-04-09T02:11:41.9Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,3,0,2026-04-09T02:11:44Z,190000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M46.00S,2026-04-09T02:11:50.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,82.60512483574244,60.29411764705882,1610612756,3,0,2026-04-09T02:16:37Z,200000,False,51.0,111.0,1,right,MISS J. Green 12' pullup Shot,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,12.24,Missed,,,,,,,,,,,,,,,,,,
21,PT10M43.00S,2026-04-09T02:11:53.6Z,1,REGULAR,rebound,defensive,[],1631108,,,1610612742,3,0,2026-04-09T02:11:58Z,210000,False,,,0,,M. Christie REBOUND (Off:0 Def:1),[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT10M37.00S,2026-04-09T02:12:00.0Z,1,REGULAR,3pt,Jump Shot,[],1631108,24.655059132720105,89.2156862745098,1610612742,3,3,2026-04-09T02:12:03Z,220000,False,-196.0,179.0,1,left,M. Christie 26' 3PT  (3 PTS) (C. Flagg 1 AST),"[1631108, 1642843]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,26.57,Made,3.0,C. Flagg,1642843.0,1.0,,,,,,,,,,,,,,
24,PT10M20.00S,2026-04-09T02:12:17.2Z,1,REGULAR,2pt,Jump Shot,[],1628415,88.38699080157687,70.58823529411765,1610612756,3,3,2026-04-09T02:12:23Z,240000,False,103.0,57.0,1,right,MISS D. Brooks 11' pullup Shot,[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,11.75,Missed,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2026-04-09T02:12:20.2Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,3,3,2026-04-09T02:12:23Z,250000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:0),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Mid-Range,8-16 Right,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,
26,PT10M17.00S,2026-04-09T02:12:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630692,94.40999984741211,50.0,1610612756,3,3,2026-04-09T02:12:22Z,260000,False,0.0,0.0,1,right,MISS J. Goodwin tip Layup,[1630692],1610612756.0,PHX,tip,,,Goodwin,J. Goodwin,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
27,PT10M17.00S,2026-04-09T02:12:23.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612742,3,3,2026-04-09T02:12:23Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,26.0,,,,,,,,,,,,,
29,PT10M07.00S,2026-04-09T02:12:41.3Z,1,REGULAR,2pt,Jump Shot,[],203114,4.418528252299605,17.647058823529413,1610612742,3,3,2026-04-09T02:12:46Z,290000,False,162.0,-11.0,1,left,MISS K. Middleton 16' pullup Shot,[203114],1610612742.0,DAL,pullup,,,Middleton,K. Middleton,,,,,Mid-Range,16-24 Right,16.22,Missed,,,,,,,,,,,,,,,,,,
30,PT10M03.00S,2026-04-09T02:12:45.3Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,3,3,2026-04-09T02:12:46Z,300000,False,,,0,,J. Goodwin REBOUND (Off:1 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Mid-Range,16-24 Right,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
31,PT09M51.00S,2026-04-09T02:12:57.9Z,1,REGULAR,3pt,Jump Shot,[],1642863,68.54467805519053,27.696078431372552,1610612756,3,3,2026-04-09T02:13:03Z,310000,False,-112.0,243.0,1,right,MISS K. Maluach 26' 3PT,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Above the Break 3,24+ Left Center,26.75,Missed,,,,,,,,,,,,,,,,,,
32,PT09M48.00S,2026-04-09T02:13:00.9Z,1,REGULAR,rebound,offensive,[],1630692,,,1610612756,3,3,2026-04-09T02:13:03Z,320000,False,,,0,,J. Goodwin REBOUND (Off:2 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,,,,,31.0,3.0,1.0,2.0,,,,,,,,,,
33,PT09M40.00S,2026-04-09T02:13:09.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628415,81.94809461235218,40.68627450980392,1610612756,3,3,2026-04-09T02:13:14Z,330000,False,-47.0,117.0,1,right,MISS D. Brooks 12' turnaround fadeaway Shot,[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,12.61,Missed,,,,,,,,,,,,,,,,,,
34,PT09M37.00S,2026-04-09T02:13:12.5Z,1,REGULAR,rebound,defensive,[],203114,,,1610612742,3,3,2026-04-09T02:13:14Z,340000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612742.0,DAL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,
35,PT09M33.00S,2026-04-09T02:13:16.2Z,1,REGULAR,turnover,out-of-bounds,[],203114,,,1610612742,3,3,2026-04-09T02:13:24Z,350000,False,,,0,,K. Middleton bad pass out-of-bounds TURNOVER (1 TO),[203114],1610612742.0,DAL,bad pass,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,2003.0,1.0,,,,,,,,
