actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-22T02:10:26.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-22T02:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-22T02:10:29.6Z,1,REGULAR,jumpball,recovered,[],1631221,,,1610612756,0,0,2026-03-22T02:10:29Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. M. Turner: Tip to C. Gillespie,"[1631221, 1642345, 1626167]",1610612756.0,PHX,startperiod,C. Gillespie,1631221.0,Gillespie,C. Gillespie,Ighodaro,1642345.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-22T02:10:38.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642345,94.30026281208936,52.450980392156865,1610612756,0,0,2026-03-22T02:10:47Z,70000,False,12.0,1.0,1,right,MISS O. Ighodaro cutting Layup - blocked,"[1642345, 1626167]",1610612756.0,PHX,cutting,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,1.23,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
8,PT11M47.00S,2026-03-22T02:10:38.8Z,1,REGULAR,block,,[],1626167,,,1610612756,0,0,2026-03-22T02:10:40Z,80000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M47.00S,2026-03-22T02:10:38.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2026-03-22T02:10:47Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M42.00S,2026-03-22T02:11:08.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630224,94.30026281208936,49.754901960784316,1610612756,2,0,2026-03-22T02:13:36Z,110000,False,-1.0,1.0,1,right,J. Green driving Layup (2 PTS) (O. Ighodaro 1 AST),"[1630224, 1642345]",1610612756.0,PHX,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.16,Made,,,,2.0,O. Ighodaro,1642345.0,1.0,,,,,,,,,,,
13,PT11M23.00S,2026-03-22T02:11:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631172,5.469776609724048,49.50980392156863,1610612749,2,0,2026-03-22T02:11:29Z,130000,False,2.0,-1.0,1,left,MISS O. Dieng driving Layup,[1631172],1610612749.0,MIL,driving,,,Dieng,O. Dieng,,,,,Restricted Area,0-8 Center,0.27,Missed,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2026-03-22T02:11:27.2Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612756,2,0,2026-03-22T02:11:29Z,140000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,13.0,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M18.00S,2026-03-22T02:11:30.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,76.16622864651774,9.803921568627452,1610612756,2,0,2026-03-22T02:14:50Z,150000,False,-201.0,172.0,1,right,MISS D. Booker 26' running 3PT,[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,26.42,Missed,,,,,,,,,,,,,,,,,,
16,PT11M12.00S,2026-03-22T02:11:36.4Z,1,REGULAR,rebound,offensive,[],1630224,,,1610612756,2,0,2026-03-22T02:14:50Z,160000,False,,,0,,J. Green REBOUND (Off:1 Def:1),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,15.0,,,,,2.0,1.0,1.0,,,,,,,,
