actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-21T22:10:18.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-21T22:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-21T22:10:20.7Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612756,0,0,2026-02-21T22:10:20Z,40000,False,,,0,,Jump Ball M. Williams vs. W. Carter Jr.: Tip to R. O'Neale,"[1626220, 1631109, 1628976]",1610612756.0,PHX,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Williams,1631109.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-02-21T22:10:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,67.88764783180025,64.95098039215686,1610612756,0,0,2026-02-21T22:10:45Z,70000,False,75.0,249.0,1,right,MISS J. Green 26' step back 3PT,[1630224],1610612756.0,PHX,step back,,,Green,J. Green,,,,,Above the Break 3,24+ Center,26.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-02-21T22:10:38.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612756,0,0,2026-02-21T22:10:45Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M40.00S,2026-02-21T22:10:45.0Z,1,REGULAR,foul,personal,[],1630217,,,1610612756,0,0,2026-02-21T22:12:24Z,100000,False,,,0,,D. Bane loose ball personal FOUL (1 PF),"[1630217, 1631109]",1610612753.0,ORL,loose ball,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,1146.0,1.0,0.0,Williams,1631109.0,,,,,,,,,,,,
12,PT11M35.00S,2026-02-21T22:11:01.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631221,71.04139290407359,22.30392156862745,1610612756,0,0,2026-02-21T22:13:06Z,120000,False,-138.0,220.0,1,right,MISS C. Gillespie 25' pullup 3PT,[1631221],1610612756.0,PHX,pullup,,,Gillespie,C. Gillespie,,,,,Above the Break 3,24+ Left Center,25.97,Missed,,,,,,,,,,,,,,,,,,
13,PT11M33.00S,2026-02-21T22:11:03.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2026-02-21T22:11:06Z,130000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,12.0,,,,,,1.0,1.0,0.0,,,,,,,,,
14,PT11M27.00S,2026-02-21T22:11:12.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1631094,7.046649145860711,42.15686274509804,1610612753,0,2,2026-02-21T22:11:24Z,140000,False,39.0,14.0,1,left,P. Banchero driving Layup (2 PTS) (A. Black 1 AST),"[1631094, 1641710]",1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,4.15,Made,,,,,,,,,,2.0,A. Black,1641710.0,1.0,,,,,
16,PT11M27.00S,2026-02-21T22:11:16.0Z,1,REGULAR,violation,defensive goaltending,[],1631109,,,1610612753,0,2,2026-02-21T22:11:24Z,160000,False,,,0,,M. Williams defensive goaltending VIOLATION,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,,,,,,1146.0,,,,,,,,,,,,,,,,
17,PT11M08.00S,2026-02-21T22:11:37.4Z,1,REGULAR,2pt,Jump Shot,[],1628415,86.5473061760841,27.696078431372552,1610612756,0,2,2026-02-21T22:14:28Z,170000,False,-112.0,74.0,1,right,MISS D. Brooks 13' driving floating Shot - blocked,"[1628415, 1631094]",1610612756.0,PHX,driving floating,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,13.38,Missed,,,,,,,,,,,,,,Banchero,1631094.0,,,
18,PT11M08.00S,2026-02-21T22:11:37.4Z,1,REGULAR,block,,[],1631094,,,1610612756,0,2,2026-02-21T22:11:39Z,180000,False,,,0,,P. Banchero BLOCK (1 BLK),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
19,PT11M05.00S,2026-02-21T22:11:40.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2026-02-21T22:11:42Z,190000,False,,,0,,P. Banchero REBOUND (Off:0 Def:2),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Left,,,17.0,,,,,,2.0,2.0,0.0,,,,,,,,,
20,PT11M01.00S,2026-02-21T22:11:44.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641783,6.915243101182654,3.1862745098039214,1610612753,0,2,2026-02-21T22:11:50Z,200000,False,234.0,13.0,1,left,MISS T. da Silva running 3PT,[1641783],1610612753.0,ORL,running,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
21,PT10M58.00S,2026-02-21T22:11:47.2Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,0,2,2026-02-21T22:11:50Z,210000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Right Corner 3,24+ Right,,,20.0,,,,,,1.0,1.0,0.0,,,,,,,,,
22,PT10M51.00S,2026-02-21T22:11:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,90.48948751642575,37.99019607843137,1610612756,0,2,2026-02-21T22:12:01Z,220000,False,-60.0,37.0,1,right,MISS J. Green 7' driving Layup - blocked,"[1630224, 1630217]",1610612756.0,PHX,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.04,Missed,,,,,,,,,,,,,,Bane,1630217.0,,,
23,PT10M51.00S,2026-02-21T22:11:55.8Z,1,REGULAR,block,,[],1630217,,,1610612756,0,2,2026-02-21T22:11:59Z,230000,False,,,0,,D. Bane BLOCK (1 BLK),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M51.00S,2026-02-21T22:11:55.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612753,0,2,2026-02-21T22:13:40Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,,,,,,,,,,,,,,,,,
26,PT10M51.00S,2026-02-21T22:12:18.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,0,2,2026-02-21T22:13:40Z,260000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT10M38.00S,2026-02-21T22:15:21.6Z,1,REGULAR,turnover,traveling,[],1641710,,,1610612753,0,2,2026-02-21T22:15:33Z,280000,False,,,0,,A. Black traveling TURNOVER (1 TO),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Right Center,,,,1146.0,,,,,,,,,,,,,,1.0,,
29,PT10M23.00S,2026-02-21T22:15:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630224,67.36202365308804,75.73529411764706,1610612756,0,2,2026-02-21T22:15:50Z,290000,False,129.0,254.0,1,right,MISS J. Green 28' 3PT,[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,28.5,Missed,,,,,,,,,,,,,,,,,,
30,PT10M21.00S,2026-02-21T22:15:47.5Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,0,2,2026-02-21T22:15:50Z,300000,False,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,29.0,,,,,,1.0,1.0,0.0,,,,,,,,,
31,PT10M15.00S,2026-02-21T22:15:54.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630217,9.806176084099869,52.450980392156865,1610612753,0,4,2026-02-21T22:15:59Z,310000,False,-12.0,40.0,1,left,D. Bane running Layup (2 PTS),[1630217],1610612753.0,ORL,running,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,4.16,Made,,,,,,,,,,2.0,,,,,,,,
32,PT10M01.00S,2026-02-21T22:16:07.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,85.62746386333771,40.68627450980392,1610612756,0,4,2026-02-21T22:16:12Z,320000,False,-47.0,83.0,1,right,MISS J. Green 9' driving Layup - blocked,"[1630224, 1641710]",1610612756.0,PHX,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,9.48,Missed,,,,,,,,,,,,,,Black,1641710.0,,,
33,PT10M01.00S,2026-02-21T22:16:07.4Z,1,REGULAR,block,,[],1641710,,,1610612756,0,4,2026-02-21T22:16:09Z,330000,False,,,0,,A. Black BLOCK (1 BLK),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
