actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-03-06T02:10:29.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T02:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-06T02:10:32.8Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2026-03-06T02:10:32Z,40000,False,,,0,,Jump Ball O. Ighodaro vs. G. Yabusele: Tip to D. Booker,"[1626164, 1642345, 1627824]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Ighodaro,1642345.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-03-06T02:10:52.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,20.05584756898817,76.22549019607843,1610612756,0,0,2026-03-06T02:10:56Z,70000,False,-131.0,136.0,1,left,MISS J. Green 18' pullup Shot,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,18.89,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2026-03-06T02:10:55.0Z,1,REGULAR,rebound,defensive,[],1631159,,,1610612741,0,0,2026-03-06T02:10:56Z,80000,False,,,0,,L. Miller REBOUND (Off:0 Def:1),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,Mid-Range,16-24 Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M15.00S,2026-03-06T02:11:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629012,85.3646517739816,42.64705882352941,1610612741,0,2,2026-03-06T02:11:17Z,90000,False,-37.0,85.0,1,right,C. Sexton 9' pullup Jump Shot (2 PTS),[1629012],1610612741.0,CHI,pullup,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,9.27,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M00.00S,2026-03-06T02:11:32.3Z,1,REGULAR,turnover,traveling,[],1626220,,,1610612756,0,2,2026-03-06T02:11:55Z,100000,False,,,0,,R. O'Neale traveling TURNOVER (1 TO),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,16-24 Left,,,,,,,,201639.0,1.0,,,,,,,,,,,
11,PT10M44.00S,2026-03-06T02:12:03.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627824,83.65637319316689,46.07843137254902,1610612741,0,2,2026-03-06T02:12:07Z,110000,False,-20.0,101.0,1,right,MISS G. Yabusele 10' driving Layup - blocked,"[1627824, 1642345]",1610612741.0,CHI,driving,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),8-16 Center,10.3,Missed,,,,,,,,Ighodaro,1642345.0,,,,,,,,,
12,PT10M44.00S,2026-03-06T02:12:03.6Z,1,REGULAR,block,,[],1642345,,,1610612741,0,2,2026-03-06T02:12:05Z,120000,False,,,0,,O. Ighodaro BLOCK (1 BLK),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2026-03-06T02:12:03.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,2,2026-03-06T02:12:07Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT10M29.00S,2026-03-06T02:12:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,13.748357424441524,51.9607843137255,1610612756,2,2,2026-03-06T02:12:35Z,150000,False,-10.0,77.0,1,left,D. Booker 7' fadeaway Jump Shot (2 PTS),[1626164],1610612756.0,PHX,fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,7.73,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M07.00S,2026-03-06T02:12:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,92.32917214191852,55.63725490196079,1610612741,2,2,2026-03-06T02:13:34Z,160000,False,28.0,20.0,1,right,MISS G. Yabusele cutting Layup,[1627824],1610612741.0,CHI,cutting,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,3.43,Missed,,,,,,,,,,,,,,,,,,
