actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-03T01:11:00.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-03T01:11:00Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-11-03T01:11:04.8Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2025-11-03T01:11:04Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. M. Williams: Tip to S. Castle,"[1642264, 1641705, 1631109]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Wembanyama,1641705.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-11-03T01:11:12.5Z,1,REGULAR,turnover,bad pass,[],1642264,,,1610612759,0,0,2025-11-03T01:11:19Z,70000,False,,,0,,S. Castle bad pass TURNOVER (1 TO),"[1642264, 1626164]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,8-16 Right,1.0,Booker,1626164.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-11-03T01:11:12.5Z,1,REGULAR,steal,,[],1626164,,,1610612756,0,0,2025-11-03T01:11:14Z,80000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-11-03T01:11:27.9Z,1,REGULAR,violation,kicked ball,[],1641705,,,1610612756,0,0,2025-11-03T01:11:48Z,90000,False,,,0,,V. Wembanyama kicked ball VIOLATION,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,2534.0,,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-11-03T01:11:50.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626164,73.9323258869908,44.11764705882353,1610612756,0,0,2025-11-03T01:11:55Z,100000,False,-29.0,193.0,1,right,MISS D. Booker 19' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,19.47,Missed,,,,,,,,,,,,,,
11,PT11M27.00S,2025-11-03T01:11:51.7Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,0,2025-11-03T01:11:55Z,110000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M11.00S,2025-11-03T01:12:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,6.307490144546649,48.65196078431372,1610612759,0,0,2025-11-03T01:12:21Z,120000,False,7.0,7.0,1,left,MISS S. Castle driving Layup - blocked,"[1642264, 1631109]",1610612759.0,SAS,driving,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,0.95,Missed,,,,,Williams,1631109.0,,,,,,,,
13,PT11M11.00S,2025-11-03T01:12:08.1Z,1,REGULAR,block,,[],1631109,,,1610612759,0,0,2025-11-03T01:15:06Z,130000,False,,,0,,M. Williams BLOCK (1 BLK),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2025-11-03T01:12:11.1Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,0,0,2025-11-03T01:12:12Z,140000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
15,PT11M06.00S,2025-11-03T01:12:13.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626220,76.03482260183968,86.27450980392157,1610612756,0,0,2025-11-03T01:12:22Z,150000,False,181.0,173.0,1,right,MISS R. O'Neale 25' running 3PT,[1626220],1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,,25.05,Missed,,,,,,,,,,,,,,
16,PT11M02.00S,2025-11-03T01:12:17.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,0,0,2025-11-03T01:12:22Z,160000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M49.00S,2025-11-03T01:12:30.1Z,1,REGULAR,2pt,Jump Shot,[],1630170,15.193823915900131,20.833333333333336,1610612759,0,2,2025-11-03T01:12:36Z,170000,False,146.0,90.0,1,left,D. Vassell 17' fadeaway Jump Shot (2 PTS),[1630170],1610612759.0,SAS,fadeaway,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right,,,,,17.15,Made,,,,,,,2.0,,,,,,,
18,PT10M23.00S,2025-11-03T01:12:56.5Z,1,REGULAR,2pt,Jump Shot,[],1631109,93.51182654402102,20.588235294117645,1610612756,0,2,2025-11-03T01:13:01Z,180000,False,-147.0,8.0,1,right,MISS M. Williams 14' Jump Shot,[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Mid-Range,8-16 Left,,,,,14.73,Missed,,,,,,,,,,,,,,
19,PT10M20.00S,2025-11-03T01:12:59.5Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,2,2025-11-03T01:13:01Z,190000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M16.00S,2025-11-03T01:13:05.1Z,1,REGULAR,foul,personal,[],1626220,,,1610612759,0,2,2025-11-03T01:13:36Z,200000,False,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 203084]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Mid-Range,8-16 Right,,,,1628481.0,,,,,,,,,,1.0,0.0,Barnes,203084.0,,,
22,PT10M11.00S,2025-11-03T01:13:25.3Z,1,REGULAR,3pt,Jump Shot,[],203084,4.28712220762155,93.87254901960785,1610612759,0,2,2025-11-03T01:13:30Z,220000,False,-219.0,-12.0,1,left,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Left Corner 3,24+ Left,,,,,21.97,Missed,,,,,,,,,,,,,,
23,PT10M09.00S,2025-11-03T01:13:27.3Z,1,REGULAR,rebound,defensive,[],1626220,,,1610612756,0,2,2025-11-03T01:13:30Z,230000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:1),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT09M49.00S,2025-11-03T01:13:48.2Z,1,REGULAR,3pt,Jump Shot,[],1628960,63.55124835742444,31.61764705882353,1610612756,3,2,2025-11-03T01:13:53Z,240000,False,-92.0,290.0,1,right,G. Allen 30' 3PT  (3 PTS) (D. Booker 1 AST),"[1628960, 1626164]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,,,30.43,Made,,,,,,,3.0,,,,,D. Booker,1626164.0,1.0
