actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-11-30T02:10:58.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-30T02:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-30T02:11:01.4Z,1,REGULAR,jumpball,recovered,[],1642461,,,1610612743,0,0,2025-11-30T02:11:01Z,40000,False,,,0,,Jump Ball N. Jokić vs. O. Ighodaro: Tip to S. Jones,"[1642461, 203999, 1642345]",1610612743.0,DEN,startperiod,S. Jones,1642461.0,Jones,S. Jones,Jokić,203999.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-11-30T02:11:18.5Z,1,REGULAR,turnover,lost ball,[],1627750,,,1610612743,0,0,2025-11-30T02:11:22Z,70000,False,,,0,,J. Murray lost ball TURNOVER (1 TO),"[1627750, 1626220]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Center,1.0,O'Neale,1626220.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-11-30T02:11:18.5Z,1,REGULAR,steal,,[],1626220,,,1610612756,0,0,2025-11-30T02:11:20Z,80000,False,,,0,,R. O'Neale STEAL (1 STL),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-11-30T02:11:23.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628960,92.9862023653088,49.26470588235294,1610612756,2,0,2025-11-30T02:11:31Z,90000,False,-4.0,13.0,1,right,G. Allen running Layup (2 PTS) (R. O'Neale 1 AST),"[1628960, 1626220]",1610612756.0,PHX,running,,,Allen,G. Allen,,,,,Restricted Area,0-8 Center,,,,1.39,Made,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,
12,PT11M19.00S,2025-11-30T02:11:53.2Z,1,REGULAR,foul,personal,[],1628960,,,1610612743,2,0,2025-11-30T02:12:01Z,120000,False,,,0,,G. Allen personal FOUL (1 PF),"[1628960, 1629661]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,24+ Left Center,,,,,,,,,,1627963.0,1.0,0.0,Johnson,1629661.0,,,,,,
14,PT11M14.00S,2025-11-30T02:12:16.5Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,2,0,2025-11-30T02:12:29Z,140000,False,,,0,,N. Jokić bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,1628487.0,,,,,,,,,,
15,PT10M50.00S,2025-11-30T02:12:47.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628960,88.91261498028909,41.911764705882355,1610612756,2,0,2025-11-30T02:12:54Z,150000,False,-40.0,52.0,1,right,MISS G. Allen 6' driving Layup - blocked,"[1628960, 1642461]",1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,6.56,Missed,,,,,,,,,,Jones,1642461.0,,,,
16,PT10M50.00S,2025-11-30T02:12:47.6Z,1,REGULAR,block,,[],1642461,,,1610612756,2,0,2025-11-30T02:12:50Z,160000,False,,,0,,S. Jones BLOCK (1 BLK),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2025-11-30T02:12:51.6Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,2,0,2025-11-30T02:12:54Z,170000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0
19,PT10M34.00S,2025-11-30T02:13:19.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,7.835085413929041,47.05882352941176,1610612743,2,0,2025-11-30T02:13:23Z,190000,False,15.0,21.0,1,left,MISS J. Murray driving Layup,[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,2.57,Missed,,,,,,,,,,,,,,,
20,PT10M32.00S,2025-11-30T02:13:21.6Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,2,0,2025-11-30T02:13:23Z,200000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:1),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0
42,PT10M29.00S,2025-11-30T02:13:29.9Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612756,2,0,2025-11-30T02:19:17Z,215000,False,,,0,,D. Brooks step out-of-bounds TURNOVER (1 TO),[1628415],1610612756.0,PHX,step,,,Brooks,D. Brooks,,,,,Left Corner 3,24+ Left,1.0,,,,,,,,,2003.0,,,,,,,,,,
23,PT10M13.00S,2025-11-30T02:13:40.3Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,0,2025-11-30T02:13:47Z,230000,False,,,0,,N. Jokić bad pass TURNOVER (2 TO),"[203999, 1628960]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,2.0,Allen,1628960.0,,,,,,,,,,,,,,,,,
24,PT10M13.00S,2025-11-30T02:13:40.3Z,1,REGULAR,steal,,[],1628960,,,1610612756,2,0,2025-11-30T02:13:42Z,240000,False,,,0,,G. Allen STEAL (1 STL),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2025-11-30T02:13:45.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1626220,73.80091984231275,83.08823529411765,1610612756,2,0,2025-11-30T02:13:54Z,250000,False,165.0,194.0,1,right,MISS R. O'Neale 25' running 3PT,[1626220],1610612756.0,PHX,running,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,,25.48,Missed,,,,,,,,,,,,,,,
26,PT10M03.00S,2025-11-30T02:13:50.8Z,1,REGULAR,rebound,defensive,[],1642461,,,1610612743,2,0,2025-11-30T02:13:54Z,260000,False,,,0,,S. Jones REBOUND (Off:0 Def:1),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0
27,PT09M48.00S,2025-11-30T02:14:06.9Z,1,REGULAR,foul,personal,[],1626220,,,1610612743,2,0,2025-11-30T02:14:12Z,270000,False,,,0,,R. O'Neale personal FOUL (1 PF),"[1626220, 203999]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1627963.0,1.0,0.0,Jokić,203999.0,,,,,,
29,PT09M35.00S,2025-11-30T02:14:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631212,16.63929040735874,43.872549019607845,1610612743,2,0,2025-11-30T02:14:41Z,290000,False,31.0,104.0,1,left,MISS P. Watson 10' driving floating Shot,[1631212],1610612743.0,DEN,driving floating,,,Watson,P. Watson,,,,,In The Paint (Non-RA),8-16 Center,,,,10.83,Missed,,,,,,,,,,,,,,,
30,PT09M32.00S,2025-11-30T02:14:40.6Z,1,REGULAR,rebound,defensive,[],1642345,,,1610612756,2,0,2025-11-30T02:14:41Z,300000,False,,,0,,O. Ighodaro REBOUND (Off:0 Def:2),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,29.0,2.0,2.0,0.0
31,PT09M24.00S,2025-11-30T02:14:48.4Z,1,REGULAR,2pt,Jump Shot,[],1628415,87.46714848883047,71.32352941176471,1610612756,4,0,2025-11-30T02:14:53Z,310000,False,107.0,65.0,1,right,D. Brooks 12' pullup Jump Shot (2 PTS),[1628415],1610612756.0,PHX,pullup,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,,,,12.5,Made,2.0,,,,,,,,,,,,,,
32,PT09M14.00S,2025-11-30T02:14:58.3Z,1,REGULAR,turnover,lost ball,[],1629661,,,1610612743,4,0,2025-11-30T02:15:03Z,320000,False,,,0,,C. Johnson lost ball TURNOVER (1 TO),"[1629661, 1628960]",1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,1.0,Allen,1628960.0,,,,,,,,,,,,,,,,,
