actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-28T02:10:25.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-28T02:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-28T02:10:27.6Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612756,0,0,2026-01-28T02:10:27Z,40000,False,,,0,,Jump Ball M. Williams vs. N. Claxton: Tip to R. O'Neale,"[1626220, 1631109, 1629651]",1610612756.0,PHX,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Williams,1631109.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-01-28T02:10:39.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631109,85.62746386333771,49.26470588235294,1610612756,0,0,2026-01-28T02:10:49Z,70000,False,-4.0,83.0,1,right,MISS M. Williams 8' turnaround Hook,[1631109],1610612756.0,PHX,turnaround,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,8.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-01-28T02:10:42.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,0,2026-01-28T02:10:43Z,80000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-01-28T02:10:59.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,27.151773981603156,77.94117647058823,1610612751,0,0,2026-01-28T02:11:27Z,90000,False,-140.0,203.0,1,left,MISS M. Porter Jr. 24' bank 3PT,[1629008],1610612751.0,BKN,bank,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2026-01-28T02:11:02.5Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,0,0,2026-01-28T02:11:04Z,100000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M10.00S,2026-01-28T02:11:37.6Z,1,REGULAR,3pt,Jump Shot,[],1626220,63.288436268068324,45.83333333333333,1610612756,0,0,2026-01-28T02:11:42Z,120000,False,-21.0,293.0,1,right,MISS R. O'Neale 29' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Center,29.33,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2026-01-28T02:11:41.6Z,1,REGULAR,rebound,offensive,[],1628960,,,1610612756,0,0,2026-01-28T02:11:42Z,130000,False,,,0,,G. Allen REBOUND (Off:1 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT10M58.00S,2026-01-28T02:11:49.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1631109,91.80354796320631,62.254901960784316,1610612756,2,0,2026-01-28T02:11:53Z,140000,False,61.0,25.0,1,right,M. Williams 6' turnaround Hook (2 PTS),[1631109],1610612756.0,PHX,turnaround,,,Williams,M. Williams,,,,,In The Paint (Non-RA),0-8 Center,6.6,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M30.00S,2026-01-28T02:12:16.7Z,1,REGULAR,turnover,bad pass,[],1642962,,,1610612751,2,0,2026-01-28T02:12:20Z,150000,False,,,0,,D. Powell bad pass TURNOVER (1 TO),"[1642962, 1631109]",1610612751.0,BKN,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Williams,1631109.0,,,,,,,,,,
