actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-26T01:10:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-26T01:10:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-26T01:10:37.2Z,1,REGULAR,jumpball,recovered,[],1642857,,,1610612748,0,0,2026-01-26T01:10:37Z,40000,False,,,0,,Jump Ball B. Adebayo vs. M. Williams: Tip to K. Jakučionis,"[1642857, 1628389, 1631109]",1610612748.0,MIA,startperiod,K. Jakučionis,1642857.0,Jakučionis,K. Jakučionis,Adebayo,1628389.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2026-01-26T01:10:54.9Z,1,REGULAR,3pt,Jump Shot,[],1628389,9.543363994743759,2.941176470588235,1610612748,0,3,2026-01-26T01:11:01Z,70000,False,235.0,37.0,1,left,B. Adebayo 3PT  (3 PTS) (A. Wiggins 1 AST),"[1628389, 203952]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,23.82,Made,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,,,,,
22,PT11M23.00S,2026-01-26T01:11:05.3Z,1,REGULAR,turnover,bad pass,[],1631221,,,1610612756,0,3,2026-01-26T01:13:11Z,95000,False,,,0,,C. Gillespie bad pass TURNOVER (1 TO),"[1631221, 1628389]",1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Adebayo,1628389.0,,,,,,,,,,,
23,PT11M23.00S,2026-01-26T01:11:05.3Z,1,REGULAR,steal,,[],1628389,,,1610612748,0,3,2026-01-26T01:13:11Z,102500,False,,,0,,B. Adebayo STEAL (1 STL),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2026-01-26T01:11:15.8Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1626181,27.414586070959263,81.37254901960785,1610612748,0,3,2026-01-26T01:13:11Z,110000,False,-157.0,205.0,1,left,MISS N. Powell 25' running 3PT,[1626181],1610612748.0,MIA,running,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,25.83,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2026-01-26T01:11:19.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,3,2026-01-26T01:11:23Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,11.0,,,,,,,,,,
14,PT11M05.00S,2026-01-26T01:11:42.9Z,1,REGULAR,3pt,Jump Shot,[],1628960,63.02562417871223,27.941176470588236,1610612756,0,3,2026-01-26T01:11:46Z,140000,False,-110.0,295.0,1,right,MISS G. Allen 31' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,31.5,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2026-01-26T01:11:44.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,0,3,2026-01-26T01:11:46Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,14.0,,,,,,,,,,
17,PT10M46.00S,2026-01-26T01:12:11.9Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,0,3,2026-01-26T01:12:16Z,170000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1626220]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,O'Neale,1626220.0,,,,,,,,,,,
