actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-31T02:11:04.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-31T02:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2026-01-31T02:11:08.8Z,1,REGULAR,jumpball,recovered,[],1629731,,,1610612739,0,0,2026-01-31T02:11:08Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Williams: Tip to D. Wade,"[1629731, 1628386, 1631109]",1610612739.0,CLE,startperiod,D. Wade,1629731.0,Wade,D. Wade,Allen,1628386.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-01-31T02:11:20.7Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,0,0,2026-01-31T02:11:28Z,70000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,203591.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2026-01-31T02:11:40.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628960,28.991458607095925,73.77450980392157,1610612756,3,0,2026-01-31T02:11:44Z,80000,False,-119.0,220.0,1,left,G. Allen 25' 3PT pullup (3 PTS) (C. Gillespie 1 AST),"[1628960, 1631221]",1610612756.0,PHX,pullup,,,Allen,G. Allen,,,,,Above the Break 3,24+ Left Center,,,25.01,Made,3.0,C. Gillespie,1631221.0,1.0,,,,,,,,,,,,
10,PT11M19.00S,2026-01-31T02:11:51.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,84.70762155059133,47.794117647058826,1610612739,3,2,2026-01-31T02:11:55Z,100000,False,-11.0,91.0,1,right,D. Mitchell 9' driving floating Jump Shot (2 PTS) (J. Tyson 1 AST),"[1628378, 1642281]",1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,9.19,Made,2.0,J. Tyson,1642281.0,1.0,,,,,,,,,,,,
13,PT10M49.00S,2026-01-31T02:12:31.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631109,7.835085413929041,47.30392156862745,1610612756,5,2,2026-01-31T02:12:34Z,130000,False,13.0,21.0,1,left,M. Williams alley-oop DUNK (2 PTS) (R. O'Neale 1 AST),"[1631109, 1626220]",1610612756.0,PHX,alley-oop,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,2.5,Made,2.0,R. O'Neale,1626220.0,1.0,,,,,,,,,,,,
15,PT10M35.00S,2026-01-31T02:12:44.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,84.70762155059133,47.794117647058826,1610612739,5,2,2026-01-31T02:13:05Z,150000,False,-11.0,91.0,1,right,MISS J. Allen 9' turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,9.19,Missed,,,,,,,,,,,,,,,,
16,PT10M33.00S,2026-01-31T02:12:46.9Z,1,REGULAR,rebound,defensive,[],1631109,,,1610612756,5,2,2026-01-31T02:12:49Z,160000,False,,,0,,M. Williams REBOUND (Off:0 Def:1),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M23.00S,2026-01-31T02:12:56.9Z,1,REGULAR,3pt,Jump Shot,[],1626220,26.363337713534822,4.166666666666666,1610612756,5,2,2026-01-31T02:13:02Z,170000,False,229.0,195.0,1,left,MISS R. O'Neale 30' 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,30.11,Missed,,,,,,,,,,,,,,,,
18,PT10M21.00S,2026-01-31T02:13:00.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,5,2,2026-01-31T02:13:00Z,180000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,,,,,,,,,,,
20,PT10M12.00S,2026-01-31T02:13:15.7Z,1,REGULAR,2pt,Jump Shot,[],1642281,88.25558475689881,68.62745098039215,1610612739,5,2,2026-01-31T02:13:20Z,200000,False,93.0,58.0,1,right,MISS J. Tyson 10' driving bank Shot,[1642281],1610612739.0,CLE,driving bank,,,Tyson,J. Tyson,,,,,Mid-Range,8-16 Right,,,10.96,Missed,,,,,,,,,,,,,,,,
21,PT10M09.00S,2026-01-31T02:13:18.7Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,5,2,2026-01-31T02:13:20Z,210000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT09M57.00S,2026-01-31T02:13:31.8Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612756,5,2,2026-01-31T02:13:42Z,220000,False,,,0,,J. Allen shooting personal FOUL (1 PF) (Brooks 2 FT),"[1628386, 1628415]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,1627524.0,,,,,,,,,,,,1.0,0.0,Brooks,1628415.0,,,,
24,PT09M57.00S,2026-01-31T02:13:54.5Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612756,6,2,2026-01-31T02:13:54Z,240000,False,,,0,,D. Brooks Free Throw 1 of 2 (1 PTS),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
25,PT09M57.00S,2026-01-31T02:14:07.7Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612756,7,2,2026-01-31T02:14:07Z,250000,False,,,0,,D. Brooks Free Throw 2 of 2 (2 PTS),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
26,PT09M47.00S,2026-01-31T02:14:22.4Z,1,REGULAR,2pt,Jump Shot,[],1630241,91.01511169513797,85.7843137254902,1610612739,7,2,2026-01-31T02:14:26Z,260000,False,179.0,32.0,1,right,MISS S. Merrill 18' Jump Shot,[1630241],1610612739.0,CLE,,,,Merrill,S. Merrill,,,,,Mid-Range,16-24 Right,,,18.17,Missed,,,,,,,,,,,,,,,,
27,PT09M44.00S,2026-01-31T02:14:24.4Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,7,2,2026-01-31T02:14:24Z,270000,False,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,16-24 Right,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,
28,PT09M44.00S,2026-01-31T02:14:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,94.30026281208936,51.71568627450981,1610612739,7,4,2026-01-31T02:14:29Z,280000,False,9.0,1.0,1,right,J. Allen putback Layup (2 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,0.87,Made,2.0,,,,,,,,,,,,,,,
30,PT09M30.00S,2026-01-31T02:14:49.9Z,1,REGULAR,turnover,3-second-violation,[],1631109,,,1610612756,7,4,2026-01-31T02:15:07Z,300000,False,,,0,,M. Williams 3-second-violation TURNOVER (1 TO),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,,,,
31,PT09M15.00S,2026-01-31T02:15:06.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629731,83.919185282523,96.56862745098039,1610612739,7,7,2026-01-31T02:15:11Z,310000,False,233.0,99.0,1,right,D. Wade 25' 3PT  (3 PTS) (J. Allen 1 AST),"[1629731, 1628386]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Right Center,,,25.29,Made,3.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,
33,PT09M01.00S,2026-01-31T02:15:23.2Z,1,REGULAR,foul,offensive,[],1628415,,,1610612756,7,7,2026-01-31T02:15:35Z,330000,False,,,0,,D. Brooks offensive FOUL (1 PF),"[1628415, 1629731]",1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,203591.0,,,,,,,,,,,,1.0,0.0,Wade,1629731.0,,,,
35,PT09M01.00S,2026-01-31T02:15:23.2Z,1,REGULAR,turnover,offensive foul,[],1628415,,,1610612756,7,7,2026-01-31T02:15:23Z,350000,False,,,0,,D. Brooks offensive foul TURNOVER (1 TO),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,203591.0,1.0,,,,,,,,,,,,,,,,,,
36,PT08M51.00S,2026-01-31T02:15:50.1Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,7,7,2026-01-31T02:15:53Z,360000,False,,,0,,D. Mitchell bad pass TURNOVER (2 TO),"[1628378, 1631109]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,2.0,,,,,,,,,,,,,,,Williams,1631109.0,,
