actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-04-08T03:13:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-08T03:13:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-08T03:13:22.2Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2026-04-08T03:13:22Z,40000,False,,,0,,Jump Ball M. Williams vs. A. Sengun: Tip to D. Booker,"[1626164, 1631109, 1630578]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Williams,1631109.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-04-08T03:13:36.9Z,1,REGULAR,3pt,Jump Shot,[],1628415,20.844283837056505,5.392156862745098,1610612756,0,0,2026-04-08T03:13:43Z,70000,False,223.0,143.0,1,left,MISS D. Brooks 26' 3PT,[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,26.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-04-08T03:13:37.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612745,0,0,2026-04-08T03:13:43Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2026-04-08T03:14:00.3Z,1,REGULAR,3pt,Jump Shot,[],1631095,77.87450722733246,5.637254901960785,1610612745,0,3,2026-04-08T03:14:07Z,100000,False,-222.0,155.0,1,right,J. Smith Jr. 27' 3PT  (3 PTS) (A. Sengun 1 AST),"[1631095, 1630578]",1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,27.09,Made,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,
12,PT11M12.00S,2026-04-08T03:14:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,16.770696452036795,41.17647058823529,1610612756,2,3,2026-04-08T03:15:16Z,120000,False,44.0,105.0,1,left,D. Booker 11' turnaround fadeaway Jump Shot (2 PTS),[1626164],1610612756.0,PHX,turnaround fadeaway,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,11.4,Made,,2.0,,,,,,,,,,,,,,,,
13,PT10M51.00S,2026-04-08T03:14:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,94.95729303547962,51.71568627450981,1610612745,2,3,2026-04-08T03:14:40Z,130000,False,9.0,-5.0,1,right,MISS A. Thompson driving Layup - blocked,"[1641708, 1630224]",1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,1.0,Missed,,,,,,Green,1630224.0,,,,,,,,,,,
14,PT10M51.00S,2026-04-08T03:14:35.6Z,1,REGULAR,block,,[],1630224,,,1610612745,2,3,2026-04-08T03:15:29Z,140000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M48.00S,2026-04-08T03:14:38.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,2,3,2026-04-08T03:14:40Z,150000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,13.0,,,,,,,1.0,1.0,0.0,,,,,,,,
17,PT10M46.00S,2026-04-08T03:15:07.6Z,1,REGULAR,foul,offensive,[],1630224,,,1610612756,2,3,2026-04-08T03:19:21Z,170000,False,,,0,,J. Green offensive FOUL (1 PF),"[1630224, 1641708]",1610612756.0,PHX,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202027.0,1.0,0.0,Thompson,1641708.0,,,
