actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-24T01:40:52.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-24T01:40:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-24T01:40:54.9Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2024-12-24T01:40:54Z,40000,False,,,0,,Jump Ball D. Ayton vs. D. Lively II: Tip to J. Grant,"[203924, 1629028, 1641726]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Ayton,1629028.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-12-24T01:41:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,93.11760840998686,64.70588235294117,1610612757,0,0,2024-12-24T01:41:17Z,70000,False,74.0,12.0,1,right,MISS J. Grant 7' driving floating bank Shot,[203924],1610612757.0,POR,driving floating bank,,,Grant,J. Grant,,,,,In The Paint (Non-RA),0-8 Center,7.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-12-24T01:41:14.9Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,0,0,2024-12-24T01:41:17Z,80000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2024-12-24T01:41:19.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629029,25.18068331143233,12.745098039215685,1610612742,0,0,2024-12-24T01:41:45Z,90000,False,186.0,184.0,1,left,MISS L. Dončić 26' running 3PT,[1629029],1610612742.0,DAL,running,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2024-12-24T01:41:22.8Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,0,0,2024-12-24T01:41:24Z,100000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-12-24T01:41:39.1Z,1,REGULAR,violation,kicked ball,[],1641726,,,1610612757,0,0,2024-12-24T01:41:55Z,110000,False,,,0,,D. Lively II kicked ball VIOLATION,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,1627534.0,,,,,,,,,,,,,
12,PT11M09.00S,2024-12-24T01:42:02.9Z,1,REGULAR,2pt,Jump Shot,[],1631101,92.9862023653088,79.90196078431373,1610612757,0,0,2024-12-24T01:42:24Z,120000,False,150.0,13.0,1,right,MISS S. Sharpe 15' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,8-16 Right,15.01,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2024-12-24T01:42:05.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,0,0,2024-12-24T01:42:14Z,130000,False,,,0,,L. Dončić REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,Mid-Range,8-16 Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M59.00S,2024-12-24T01:42:12.4Z,1,REGULAR,3pt,Jump Shot,[],202691,27.808804204993432,19.362745098039216,1610612742,3,0,2024-12-24T01:42:18Z,140000,False,153.0,209.0,1,left,K. Thompson 25' 3PT  (3 PTS) (D. Lively II 1 AST),"[202691, 1641726]",1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.91,Made,,,,,,3.0,D. Lively II,1641726.0,1.0,,,,,,,,,
