actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-04T01:40:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-04T01:40:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-04T01:40:52.1Z,1,REGULAR,jumpball,recovered,[],203897,,,1610612758,0,0,2025-03-04T01:40:52Z,40000,False,,,0,,Jump Ball J. Valančiūnas vs. D. Powell: Tip to Z. LaVine,"[203897, 202685, 203939]",1610612758.0,SAC,startperiod,Z. LaVine,203897.0,LaVine,Z. LaVine,Valančiūnas,202685.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-03-04T01:41:03.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,6.964520367936925,46.77925857843137,1610612758,0,2,2025-03-04T01:41:09Z,70000,False,16.0,13.0,1,left,K. Murray driving finger roll Layup (2 PTS) (M. Monk 1 AST),"[1631099, 1628370]",1610612758.0,SAC,driving finger roll,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,2.07,Made,2.0,M. Monk,1628370.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2025-03-04T01:41:19.5Z,1,REGULAR,2pt,Jump Shot,[],202681,75.3777923784494,55.88235294117647,1610612742,0,2,2025-03-04T01:41:26Z,90000,False,29.0,179.0,1,right,MISS K. Irving 18' pullup Shot,[202681],1610612742.0,DAL,pullup,,,Irving,K. Irving,,,,,Mid-Range,16-24 Center,18.13,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2025-03-04T01:41:19.5Z,1,REGULAR,rebound,defensive,[],203897,,,1610612758,0,2,2025-03-04T01:43:39Z,100000,False,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612758.0,SAC,,,,LaVine,Z. LaVine,,,,,Mid-Range,16-24 Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M08.00S,2025-03-04T01:41:39.3Z,1,REGULAR,2pt,Jump Shot,[],202685,17.559132720105126,66.66666666666666,1610612758,0,4,2025-03-04T01:41:45Z,130000,False,-83.0,113.0,1,left,J. Valančiūnas 14' Jump Shot (2 PTS) (D. DeRozan 1 AST),"[202685, 201942]",1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Left,14.01,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
15,PT10M49.00S,2025-03-04T01:41:59.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203939,94.30026281208936,48.28431372549019,1610612742,2,4,2025-03-04T01:42:04Z,150000,False,-9.0,1.0,1,right,D. Powell cutting DUNK (2 PTS) (D. Exum 1 AST),"[203939, 203957]",1610612742.0,DAL,cutting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,0.87,Made,2.0,D. Exum,203957.0,1.0,,,,,,,,,,,,,,
17,PT10M34.00S,2025-03-04T01:42:13.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,8.672798948751643,52.98713235294118,1610612758,2,6,2025-03-04T01:42:54Z,170000,False,-15.0,29.0,1,left,J. Valančiūnas cutting Layup (4 PTS) (M. Monk 2 AST),"[202685, 1628370]",1610612758.0,SAC,cutting,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,3.26,Made,4.0,M. Monk,1628370.0,2.0,,,,,,,,,,,,,,
19,PT10M24.00S,2025-03-04T01:42:26.4Z,1,REGULAR,turnover,out-of-bounds,[],202681,,,1610612742,2,6,2025-03-04T01:42:33Z,190000,False,,,0,,K. Irving lost ball out-of-bounds TURNOVER (1 TO),[202681],1610612742.0,DAL,lost ball,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1626301.0,1.0,,,,,,,,
20,PT10M13.00S,2025-03-04T01:42:40.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628370,16.90210249671485,38.48039215686275,1610612758,2,6,2025-03-04T01:42:49Z,200000,False,58.0,106.0,1,left,MISS M. Monk 12' driving floating Shot,[1628370],1610612758.0,SAC,driving floating,,,Monk,M. Monk,,,,,In The Paint (Non-RA),8-16 Center,12.1,Missed,,,,,,,,,,,,,,,,,,
