actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-09T23:44:53.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-09T23:44:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-09T23:44:55.8Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-04-09T23:44:55Z,40000,False,,,0,,Jump Ball J. Hayes vs. D. Lively II: Tip to L. James,"[2544, 1629637, 1641726]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2025-04-09T23:45:00.0Z,1,REGULAR,foul,personal,['2freethrow'],1629023,,,1610612747,0,0,2025-04-09T23:45:18Z,70000,False,,,0,,P. Washington shooting personal FOUL (1 PF) (James 2 FT),"[1629023, 2544]",1610612742.0,DAL,shooting,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,1627962.0,1.0,0.0,James,2544.0,,,,,,,,,,,,,,,
9,PT11M56.00S,2025-04-09T23:45:24.4Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,0,1,2025-04-09T23:45:24Z,90000,False,,,0,,L. James Free Throw 1 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M56.00S,2025-04-09T23:45:37.7Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,0,2,2025-04-09T23:45:37Z,100000,False,,,0,,L. James Free Throw 2 of 2 (2 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M40.00S,2025-04-09T23:45:56.0Z,1,REGULAR,2pt,Jump Shot,[],203076,87.59855453350855,14.950980392156863,1610612742,0,2,2025-04-09T23:46:00Z,110000,False,-175.0,64.0,1,right,MISS A. Davis 18' step back Shot,[203076],1610612742.0,DAL,step back,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left,,,,,,Missed,,18.66,,,,,,,,,,,,
12,PT11M37.00S,2025-04-09T23:45:59.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,2,2025-04-09T23:46:00Z,120000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Left,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M31.00S,2025-04-09T23:46:04.4Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,2,2025-04-09T23:46:07Z,130000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1629023]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Washington,1629023.0,,,,,
14,PT11M31.00S,2025-04-09T23:46:04.4Z,1,REGULAR,steal,,[],1629023,,,1610612742,0,2,2025-04-09T23:46:06Z,140000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M26.00S,2025-04-09T23:46:10.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630230,90.09526938239159,3.9215686274509802,1610612742,0,2,2025-04-09T23:46:18Z,150000,False,-230.0,41.0,1,right,MISS N. Marshall running 3PT,[1630230],1610612742.0,DAL,running,,,Marshall,N. Marshall,,,,,Left Corner 3,24+ Left,,,,,,Missed,,23.39,,,,,,,,,,,,
16,PT11M25.00S,2025-04-09T23:46:11.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,0,2,2025-04-09T23:46:18Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,,,,,,,,,,,
