actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-15T02:36:16.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-15T02:36:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-15T02:36:19.1Z,1,REGULAR,jumpball,recovered,[],1629023,,,1610612742,0,0,2025-01-15T02:36:19Z,40000,False,,,0,,Jump Ball D. Lively II vs. N. Jokić: Tip to P. Washington,"[1629023, 1641726, 203999]",1610612742.0,DAL,startperiod,P. Washington,1629023.0,Washington,P. Washington,Lively II,1641726.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-15T02:36:30.5Z,1,REGULAR,3pt,Jump Shot,[],202691,69.99014454664915,71.81372549019608,1610612742,0,0,2025-01-15T02:36:36Z,70000,False,109.0,230.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-01-15T02:36:33.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,0,0,2025-01-15T02:36:36Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M39.00S,2025-01-15T02:36:54.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641726,92.06636005256242,50.245098039215684,1610612742,2,0,2025-01-15T02:36:59Z,100000,False,1.0,22.0,1,right,D. Lively II cutting DUNK (2 PTS) (N. Marshall 1 AST),"[1641726, 1630230]",1610612742.0,DAL,cutting,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,2.21,Made,,2.0,N. Marshall,1630230.0,1.0,,,,,,,,,,,,,
12,PT11M20.00S,2025-01-15T02:37:13.0Z,1,REGULAR,3pt,Jump Shot,[],1629008,30.305519053876477,70.09803921568627,1610612743,2,0,2025-01-15T02:37:17Z,120000,False,-100.0,232.0,1,left,MISS M. Porter Jr. 25' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-01-15T02:37:17.0Z,1,REGULAR,rebound,defensive,[],202681,,,1610612742,2,0,2025-01-15T02:37:17Z,130000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,Above the Break 3,24+ Left Center,,,12.0,,,,,1.0,1.0,0.0,,,,,,,,,,
14,PT11M11.00S,2025-01-15T02:37:21.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",202681,89.88173455978975,51.71185661764706,1610612742,2,0,2025-01-15T02:37:47Z,140000,False,9.0,43.0,1,right,MISS K. Irving driving floating Shot,[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,4.35,Missed,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2025-01-15T02:37:25.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,0,2025-01-15T02:37:30Z,150000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,14.0,,,,,1.0,1.0,0.0,,,,,,,,,,
16,PT10M56.00S,2025-01-15T02:37:37.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,7.884362680683312,96.34650735294117,1610612743,2,3,2025-01-15T02:37:46Z,160000,False,-232.0,22.0,1,left,M. Porter Jr. 3PT  (3 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Left Corner 3,24+ Left,23.27,Made,,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,
