actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-17T01:40:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-17T01:40:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-17T01:40:48.3Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2024-11-17T01:40:48Z,40000,False,,,0,,Jump Ball Z. Collins vs. D. Lively II: Tip to S. Castle,"[1642264, 1628380, 1641726]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Collins,1628380.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-11-17T01:41:07.3Z,1,REGULAR,2pt,Jump Shot,[],1642264,88.25558475689881,19.362745098039216,1610612759,0,0,2024-11-17T01:41:37Z,70000,False,-153.0,58.0,1,right,MISS S. Castle 16' step back Shot,[1642264],1610612759.0,SAS,step back,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left,16.38,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-11-17T01:41:10.3Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,0,0,2024-11-17T01:41:37Z,80000,False,,,0,,M. Kleber REBOUND (Off:0 Def:1),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Mid-Range,16-24 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-11-17T01:41:19.1Z,1,REGULAR,2pt,Jump Shot,[],202691,4.418528252299605,75.0,1610612742,2,0,2024-11-17T01:41:27Z,90000,False,-125.0,-11.0,1,left,K. Thompson 12' fadeaway Jump Shot (2 PTS) (K. Irving 1 AST),"[202691, 202681]",1610612742.0,DAL,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Left,12.55,Made,,,,,2.0,K. Irving,202681.0,1.0,,,,,,,,,,
11,PT11M07.00S,2024-11-17T01:41:38.1Z,1,REGULAR,turnover,bad pass,[],1630577,,,1610612759,2,0,2024-11-17T01:41:41Z,110000,False,,,0,,J. Champagnie bad pass TURNOVER (1 TO),"[1630577, 1629029]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Dončić,1629029.0,,,,,,,
12,PT11M07.00S,2024-11-17T01:41:38.1Z,1,REGULAR,steal,,[],1629029,,,1610612742,2,0,2024-11-17T01:41:39Z,120000,False,,,0,,L. Dončić STEAL (1 STL),[1629029],1610612742.0,DAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M59.00S,2024-11-17T01:41:46.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641726,6.389618922470433,47.30392156862745,1610612742,4,0,2024-11-17T01:41:51Z,130000,False,13.0,8.0,1,left,D. Lively II reverse Layup (2 PTS) (L. Dončić 1 AST),"[1641726, 1629029]",1610612742.0,DAL,reverse,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,1.55,Made,,,,,2.0,L. Dončić,1629029.0,1.0,,,,,,,,,,
15,PT10M49.00S,2024-11-17T01:41:57.1Z,1,REGULAR,3pt,Jump Shot,[],1628380,68.54467805519053,70.58823529411765,1610612759,4,0,2024-11-17T01:42:02Z,150000,False,103.0,243.0,1,right,MISS Z. Collins 26' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2024-11-17T01:42:01.1Z,1,REGULAR,rebound,defensive,[],1628467,,,1610612742,4,0,2024-11-17T01:42:02Z,160000,False,,,0,,M. Kleber REBOUND (Off:0 Def:2),[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Right Center,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,,
