actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M41.00S,2025-04-03T00:41:56.7Z,1,REGULAR,steal,,[],203915,,,1610612742,3,4,2025-04-03T00:41:58Z,190000,False,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2025-04-03T00:42:02.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,94.56307490144546,4.166666666666666,1610612742,6,4,2025-04-03T00:44:43Z,200000,False,-229.0,-1.0,1,right,K. Thompson 3PT running (3 PTS) (N. Marshall 1 AST),"[202691, 1630230]",1610612742.0,DAL,running,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,22.92,Made,,3.0,N. Marshall,1630230.0,1.0,,,,,,,,,,,,,
22,PT10M19.00S,2025-04-03T00:42:18.6Z,1,REGULAR,3pt,Jump Shot,[],1631243,8.623521681997373,4.166666666666666,1610612737,6,7,2025-04-03T00:42:22Z,220000,False,229.0,29.0,1,left,M. Gueye 3PT  (3 PTS) (O. Okongwu 1 AST),"[1631243, 1630168]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Right Corner 3,24+ Right,23.1,Made,,3.0,O. Okongwu,1630168.0,1.0,,,,,,,,,,,,,
24,PT10M01.00S,2025-04-03T00:42:36.0Z,1,REGULAR,3pt,Jump Shot,[],202691,78.13731931668858,89.95098039215686,1610612742,6,7,2025-04-03T00:42:41Z,240000,False,200.0,153.0,1,right,MISS K. Thompson 25' 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
25,PT09M57.00S,2025-04-03T00:42:40.0Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,6,7,2025-04-03T00:42:41Z,250000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,24.0,,,,,,,,1.0,1.0,0.0,,,,,,,
26,PT09M53.00S,2025-04-03T00:42:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631243,6.1268068331143235,49.754901960784316,1610612737,6,7,2025-04-03T00:42:50Z,260000,False,1.0,5.0,1,left,MISS M. Gueye running reverse Layup,[1631243],1610612737.0,ATL,running reverse,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,0.52,Missed,,,,,,,,,,,,,,,,,,
27,PT09M50.00S,2025-04-03T00:42:47.6Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,6,7,2025-04-03T00:42:47Z,270000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,26.0,,,,,,,,1.0,0.0,1.0,,,,,,,
28,PT09M47.00S,2025-04-03T00:42:50.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1642258,7.5722733245729295,52.20588235294118,1610612737,6,7,2025-04-03T00:42:55Z,280000,False,-11.0,19.0,1,left,MISS Z. Risacher driving floating Shot - blocked,"[1642258, 203076]",1610612737.0,ATL,driving floating,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,Davis,203076.0,,,,,
29,PT09M47.00S,2025-04-03T00:42:50.4Z,1,REGULAR,block,,[],203076,,,1610612737,6,7,2025-04-03T00:42:52Z,290000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT09M43.00S,2025-04-03T00:42:54.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612742,6,7,2025-04-03T00:42:54Z,300000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,28.0,,,,,,,,1.0,1.0,0.0,,,,,,,
31,PT09M42.00S,2025-04-03T00:42:55.1Z,1,REGULAR,turnover,bad pass,[],203076,,,1610612742,6,7,2025-04-03T00:42:58Z,310000,False,,,0,,A. Davis bad pass TURNOVER (1 TO),"[203076, 1642258]",1610612742.0,DAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Risacher,1642258.0,,,,,,,,,,
32,PT09M42.00S,2025-04-03T00:42:55.1Z,1,REGULAR,steal,,[],1642258,,,1610612737,6,7,2025-04-03T00:42:56Z,320000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M40.00S,2025-04-03T00:42:57.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642258,5.601182654402102,45.588235294117645,1610612737,6,9,2025-04-03T00:43:14Z,330000,False,22.0,0.0,1,left,Z. Risacher driving Layup (2 PTS),[1642258],1610612737.0,ATL,driving,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2.21,Made,,2.0,,,,,,,,,,,,,,,,
34,PT09M36.00S,2025-04-03T00:43:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,93.51182654402102,50.73529411764706,1610612742,8,9,2025-04-03T00:43:10Z,340000,False,4.0,8.0,1,right,N. Marshall running Layup (2 PTS) (S. Dinwiddie 1 AST),"[1630230, 203915]",1610612742.0,DAL,running,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,0.93,Made,,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,
36,PT09M22.00S,2025-04-03T00:43:15.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,22.421156373193167,86.27450980392157,1610612737,8,9,2025-04-03T00:46:41Z,360000,False,-181.0,158.0,1,left,MISS T. Young 24' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,24.08,Missed,,,,,,,,,,,,,,,,,,
37,PT09M20.00S,2025-04-03T00:43:17.1Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,8,9,2025-04-03T00:43:19Z,370000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,36.0,,,,,,,,1.0,1.0,0.0,,,,,,,
38,PT09M01.00S,2025-04-03T00:43:37.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641726,92.9862023653088,48.529411764705884,1610612742,10,9,2025-04-03T00:47:30Z,380000,False,-7.0,13.0,1,right,D. Lively II alley-oop DUNK (2 PTS) (S. Dinwiddie 2 AST),"[1641726, 203915]",1610612742.0,DAL,alley-oop,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,1.53,Made,,2.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,,,
